,open,high,low,close,adjclose,volume,ticker
2017-12-18,3268.033935546875,3280.5439453125,3254.177978515625,3267.922119140625,3267.922119140625,120700,000001.SS
2017-12-19,3266.01904296875,3296.93994140625,3266.01904296875,3296.5380859375,3296.5380859375,115100,000001.SS
2017-12-20,3296.739990234375,3300.2119140625,3276.1201171875,3287.60595703125,3287.60595703125,137700,000001.SS
2017-12-21,3281.117919921875,3309.222900390625,3267.404052734375,3300.05908203125,3300.05908203125,142100,000001.SS
2017-12-22,3297.68505859375,3307.327880859375,3293.44189453125,3297.06298828125,3297.06298828125,124000,000001.SS
2017-12-25,3296.2109375,3312.300048828125,3270.44091796875,3280.839111328125,3280.839111328125,142500,000001.SS
2017-12-26,3277.8369140625,3307.299072265625,3274.326904296875,3306.125,3306.125,142400,000001.SS
2017-12-27,3302.4609375,3307.080078125,3270.34912109375,3275.782958984375,3275.782958984375,162700,000001.SS
2017-12-28,3272.291015625,3304.095947265625,3263.72802734375,3296.385009765625,3296.385009765625,175400,000001.SS
2017-12-29,3295.24609375,3308.22509765625,3292.77001953125,3307.172119140625,3307.172119140625,141600,000001.SS
2018-01-02,3314.031005859375,3349.052978515625,3314.031005859375,3348.325927734375,3348.325927734375,202300,000001.SS
2018-01-03,3347.742919921875,3379.9150390625,3345.2890625,3369.10791015625,3369.10791015625,213800,000001.SS
2018-01-04,3371.0,3392.825927734375,3365.294921875,3385.7099609375,3385.7099609375,207000,000001.SS
2018-01-05,3386.464111328125,3402.069091796875,3380.2451171875,3391.75,3391.75,213100,000001.SS
2018-01-08,3391.552978515625,3412.73095703125,3384.55908203125,3409.47998046875,3409.47998046875,236200,000001.SS
2018-01-09,3406.112060546875,3417.22802734375,3403.5869140625,3413.89990234375,3413.89990234375,191500,000001.SS
2018-01-10,3414.113037109375,3430.214111328125,3398.842041015625,3421.833984375,3421.833984375,209100,000001.SS
2018-01-11,3415.5849609375,3426.48291015625,3405.638916015625,3425.344970703125,3425.344970703125,173800,000001.SS
2018-01-12,3423.87890625,3435.424072265625,3417.97998046875,3428.94091796875,3428.94091796875,174100,000001.SS
2018-01-15,3428.950927734375,3442.5009765625,3402.31201171875,3410.488037109375,3410.488037109375,232000,000001.SS
2018-01-16,3403.468994140625,3437.5830078125,3401.9609375,3436.593994140625,3436.593994140625,211500,000001.SS
2018-01-17,3438.575927734375,3465.205078125,3430.510986328125,3444.6708984375,3444.6708984375,261000,000001.SS
2018-01-18,3449.881103515625,3476.5458984375,3448.7890625,3474.75390625,3474.75390625,220000,000001.SS
2018-01-19,3481.6201171875,3498.43408203125,3474.2919921875,3487.864013671875,3487.864013671875,247500,000001.SS
2018-01-22,3476.993896484375,3503.385986328125,3475.673095703125,3501.362060546875,3501.362060546875,217500,000001.SS
2018-01-23,3504.343994140625,3547.221923828125,3504.343994140625,3546.5048828125,3546.5048828125,238700,000001.SS
2018-01-24,3553.47900390625,3569.489013671875,3527.112060546875,3559.465087890625,3559.465087890625,253000,000001.SS
2018-01-25,3555.16796875,3571.48095703125,3528.034912109375,3548.306884765625,3548.306884765625,243400,000001.SS
2018-01-26,3535.492919921875,3574.905029296875,3534.195068359375,3558.12890625,3558.12890625,222700,000001.SS
2018-01-29,3563.639892578125,3587.031982421875,3510.26904296875,3523.0009765625,3523.0009765625,236000,000001.SS
2018-01-30,3511.5009765625,3523.051025390625,3484.656005859375,3488.009033203125,3488.009033203125,186400,000001.SS
2018-01-31,3470.509033203125,3495.452880859375,3454.72607421875,3480.8330078125,3480.8330078125,207300,000001.SS
2018-02-01,3478.669921875,3495.093017578125,3424.4189453125,3446.97998046875,3446.97998046875,260500,000001.SS
2018-02-02,3419.22509765625,3463.1640625,3388.860107421875,3462.0810546875,3462.0810546875,208100,000001.SS
2018-02-05,3411.669921875,3487.720947265625,3406.240966796875,3487.4970703125,3487.4970703125,217700,000001.SS
2018-02-06,3418.010009765625,3440.1240234375,3364.216064453125,3370.652099609375,3370.652099609375,280600,000001.SS
2018-02-07,3412.743896484375,3425.5380859375,3304.007080078125,3309.260009765625,3309.260009765625,260900,000001.SS
2018-02-08,3281.0458984375,3307.162109375,3225.7119140625,3262.050048828125,3262.050048828125,201300,000001.SS
2018-02-09,3172.85107421875,3180.110107421875,3062.742919921875,3129.85107421875,3129.85107421875,256400,000001.SS
2018-02-12,3128.37109375,3168.1259765625,3113.60498046875,3154.125,3154.125,153300,000001.SS
2018-02-13,3176.10693359375,3219.217041015625,3176.10693359375,3184.958984375,3184.958984375,151500,000001.SS
2018-02-14,3188.248046875,3203.4970703125,3171.384033203125,3199.158935546875,3199.158935546875,100300,000001.SS
