,title,brand,Modelo,avg_price,currency,rating,reviews,scrape_link,scrape_datetime,level_9,0
0,Televisor TCL 32 pulgadas LED HD Smart TV ,TCL,32S60A,749.900,$,5.0,7,https://www.falabella.com.co/falabella-co/product/40001163/Televisor-TCL-32-pulgadas-LED-HD-Smart-TV/40001163,27/06/2023 08:48:33,Screen size,32 pulgadas
1,Televisor TCL 32 pulgadas LED HD Smart TV ,TCL,32S60A,749.900,$,5.0,7,https://www.falabella.com.co/falabella-co/product/40001163/Televisor-TCL-32-pulgadas-LED-HD-Smart-TV/40001163,27/06/2023 08:48:33,Smart TV,Sí
2,Televisor TCL 32 pulgadas LED HD Smart TV ,TCL,32S60A,749.900,$,5.0,7,https://www.falabella.com.co/falabella-co/product/40001163/Televisor-TCL-32-pulgadas-LED-HD-Smart-TV/40001163,27/06/2023 08:48:33,Definition,HD
3,Televisor TCL 32 pulgadas LED HD Smart TV ,TCL,32S60A,749.900,$,5.0,7,https://www.falabella.com.co/falabella-co/product/40001163/Televisor-TCL-32-pulgadas-LED-HD-Smart-TV/40001163,27/06/2023 08:48:33,Operating system,No aplica
4,Televisor TCL 43 Pulgadas LED 4K Ultra HD Smart TV ,TCL,43P635,1.299.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/52894398/Televisor-TCL-43-Pulgadas-LED-4K-Ultra-HD-Smart-TV/52894398,27/06/2023 08:48:49,Screen size,43 pulgadas
5,Televisor TCL 43 Pulgadas LED 4K Ultra HD Smart TV ,TCL,43P635,1.299.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/52894398/Televisor-TCL-43-Pulgadas-LED-4K-Ultra-HD-Smart-TV/52894398,27/06/2023 08:48:49,Smart TV,Sí
6,Televisor TCL 43 Pulgadas LED 4K Ultra HD Smart TV ,TCL,43P635,1.299.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/52894398/Televisor-TCL-43-Pulgadas-LED-4K-Ultra-HD-Smart-TV/52894398,27/06/2023 08:48:49,Definition,4K Ultra HD
7,Televisor TCL 43 Pulgadas LED 4K Ultra HD Smart TV ,TCL,43P635,1.299.900,$,5.0,3,https://www.falabella.com.co/falabella-co/product/52894398/Televisor-TCL-43-Pulgadas-LED-4K-Ultra-HD-Smart-TV/52894398,27/06/2023 08:48:49,Operating system,Android TV
8,Televisor LG 43 Pulgadas 4K Smart UHD ,LG,43UQ751C0SF,1.299.900,$,4.7,14,https://www.falabella.com.co/falabella-co/product/118127030/Televisor-LG-43-Pulgadas-4K-Smart-UHD/118127031,27/06/2023 08:49:06,Screen size,43
9,Televisor LG 43 Pulgadas 4K Smart UHD ,LG,43UQ751C0SF,1.299.900,$,4.7,14,https://www.falabella.com.co/falabella-co/product/118127030/Televisor-LG-43-Pulgadas-4K-Smart-UHD/118127031,27/06/2023 08:49:06,Smart TV,Not Found
10,Televisor LG 43 Pulgadas 4K Smart UHD ,LG,43UQ751C0SF,1.299.900,$,4.7,14,https://www.falabella.com.co/falabella-co/product/118127030/Televisor-LG-43-Pulgadas-4K-Smart-UHD/118127031,27/06/2023 08:49:06,Definition,Not Found
11,Televisor LG 43 Pulgadas 4K Smart UHD ,LG,43UQ751C0SF,1.299.900,$,4.7,14,https://www.falabella.com.co/falabella-co/product/118127030/Televisor-LG-43-Pulgadas-4K-Smart-UHD/118127031,27/06/2023 08:49:06,Operating system,Wear os
12,Televisor Samsung 58 pulgadas Crystal UHD 4K HDR Smart TV ,SAMSUNG,UN58CU7000KXZL,1.999.900,$,4.2,6,https://www.falabella.com.co/falabella-co/product/68305281/Televisor-Samsung-58-pulgadas-Crystal-UHD-4K-HDR-Smart-TV/68305281,27/06/2023 08:49:23,Screen size,58 pulgadas
