,country,category,brand,title,reference,no_offers,avg_price,currency,scrape_link,scrape_time,Ekran,Ekran Tipi,Ekran Boyutu,Ekran Boyutu (cm),Çözünürlük Standardı,Ekran Çözünürlüğü,Yenileme Hızı (Yazılım),Yenileme Hızı (Gerçek),Desteklenen Çözünürlükler (HDMI),HDR,HDR Özellikleri,Ekran & Görüntü Özellikleri,Ses Çıkış Gücü (RMS),Hoparlör Sistemi,Ses & Video Çözücüler,Ses Özellikleri,Subwoofer,Analog Alıcı,Karasal Alıcı (DVB-T),Kablo TV (DVB-C),HD Uydu Alıcı (DVB-S2),HD Karasal Alıcı (DVB-T2),Dahili Wi-Fi,Wi-Fi Özellikleri,DLNA,Ethernet / LAN Kablo Girişi,USB 2.0 Girişleri,HDMI 2.0 Girişleri,HDMI Özellikleri,HDMI-CEC,Dijital Ses Çıkışı,Common Interface (CI+),CI+ Özellikleri,Analog/Kablolu Anten Girişi,Uydu Anteni Girişi,3D,Smart TV,Smart TV Özellikleri,Smart TV Uygulamaları,Uygulama Yükleyebilme,Dahili Kamera,Akıllı Etkileşim (Dahili),Ses ile TV Kontrolü,Yayın Kaydetme (PVR),Program Rehberi (EPG),HbbTV,İşlemci Çekirdek Sayısı,İşletim Sistemi,İşletim Sistemi Versiyonu,Diğer Multimedya Özellikleri,SDR Enerji Tüketim Sınıfı (A-G),SDR Enerji Tüketimi (1000h),HDR Enerji Tüketim Sınıfı (A-G),HDR Enerji Tüketimi (1000h),Güç Tüketimi (Maksimum),Tüketim (Bekleme Modu),Güç Tüketimi Özellikleri,Ekran Kalınlık Tipi,Ön Çerçeve Rengi,Stand (Ayak) Tipi,Tasarım Özellikleri,Kutu Genişliği,Kutu Yüksekliği,Kutu Derinliği,TV Genişliği (Ayaklı),TV Yüksekliği (Ayaklı),TV Derinliği (Ayaklı),TV Genişliği (Ayaksız),TV Yüksekliği (Ayaksız),TV Derinliği (Ayaksız),TV Ağırlığı (Ayaksız),TV Ağırlığı (Ayaklı),Toplam Ambalaj Ağırlığı,Çıkış Yılı,Öne Çıkan Özellikler,Kullanım Kılavuzu (TR),Kontrast Oranı (Statik),Parlaklık,Kompozit Girişi (AV),Ses / Kulaklık Çıkışı,İşlemci Hızı,Chipset,RAM,Dahili Depolama,Subwoofer Özellikleri,USB 3.2 Gen 1 (3.0) Girişleri,Harici Kamera Desteği,Dinamik Kontrast,Komponent (Bileşen) Girişi,Kullanım Kılavuzu (EN),Uygun/Gerekli Android Uygulaması,Uygun/Gerekli iOS Uygulaması,IR Out,Kontrast Oranı (Dinamik),Parlaklık (Maks.),Tepki Süresi,Dahili Depolama Özellikleri,Diğer Bağlantı Özellikleri,Hbb TV Özellikleri,Ambilight,Ambilight Özellikleri,PC Girişi (VGA),HDMI 1.3/1.4/2.0 Girişleri,Akıllı Etkileşim (Uyumlu),Ses Tanıma (Uyumlu),Eski Enerji Tüketim Sınıfı (A-D),Tüketim (Ortalama),Tüketim (Tasassuf Modu),Ortalama Yıllık Tüketim
0,TR,Televizyon,Samsung,Samsung 55Q80B Ultra HD (4K) TV (QE55Q80BATXTK),(QE55Q80BATXTK),12,26167.755833333333,TL,https://www.epey.com/televizyon/samsung-55q80b.html,09/04/2023 22:46:55,LED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,PQI 3800,100/120 Hz,"3840x2160p @ 60 Hz 

3840x2160p @ 120Hz",Var,"HDR10+ Adaptive


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Quantum HDR 12x


Quantum HDR","Direct Full Array


QLED with Quantum Dot


Direct Full Array 8x


Quantum Dot Display


Quantum Processor 4K


Auto Motion Plus


Supreme UHD Dimming


Contrast Enhancer


DCI-P3 100%


Direct LED Aydınlatma


Motion Xcelerator Turbo+


Real Depth Enhancer


Wide Viewing Angle


4K AI Upscaling",60 W,2.2.2,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus","Object Tracking Sound


Q-Symphony",Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",Anynet+,Optik,Var,CI+ (1.4),1 Adet,2 Adet,Yok,Var,"Smart Hub


Web Tarayıcı","Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,Tizen,Tizen 6.5,"Bluetooth


FreeSync


FreeSync Premium Pro


Ekran Yansıtma (İki Yönlü)


Freesync Premium


Ekran Yansıtma


Tek kumanda (One Remote Control)


Bluetooth HID (Dahili)


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Connect Share (HDD)


ConnectShare


Oyun Modu


Ambient Mode


Ambient Mode Plus


Auto Low Latency Mode (ALLM)


Bixby Voice


Bluetooth 4.2


Bluetooth LE (Low Energy)


Google Duo


Multiroom Link


Samsung SmartThings


Ses Yansıtma


Wireless Dex


2 Tuner (Çift Alıcı)",G,114 kWh,G,220 kWh,250 W,0.5 W,"Akıllı Enerji Tasarrufu Sistemi 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Gri,Kare,VESA Duvar Montaj Desteği (200x200 mm),1459 mm,845 mm,178 mm,1227.6 mm,783.4 mm,255.8 mm,1227.6 mm,706.7 mm,54.7 mm,17.9 kg,21 kg,27 kg,2022,Samsung QLED TV,Samsung 55Q80B Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TR,Televizyon,Xiaomi,"Xiaomi Mi TV Q1 75"" Ultra HD (4K) TV",None,2,45999.0,TL,https://www.epey.com/televizyon/xiaomi-mi-tv-q1-75.html,09/04/2023 22:46:57,LED,Düz (Flat),75 İnç,189 cm,Ultra HD (4K),3840x2160,,100/120 Hz,1080p @ 120Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)","QLED with Quantum Dot


DCI-P3 95%


NTSC 100%


Ultra Motion (MEMC)


10 (8 bit + FRC) bit Panel Desteği",30 W,2.0,"DTS HD


DTS


Dolby Audio",,Var,,Var,Var,Var,Var,Var,,,Var,2 Adet,3 Adet,"HDMI 2.1


HDMI Enhanced Audio Return Channel (eARC)


HDMI Audio Return Channel (ARC)",,Optik,,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","Netflix


Prime Video


YouTube",Var,Yok,Var,Var,,Var,,4,Android TV,Android TV 10 (Q),"Google Assistant


Ekran Yansıtma


Chromecast


USB ile Resim/Müzik/Video Oynatma


Auto Low Latency Mode (ALLM)",G,160 kWh,G,300 kWh,,,,Slim,Siyah,Dikdörtgen Çerçeve,VESA Duvar Montaj Desteği (400x300 mm),1840 mm,1103 mm,230 mm,1673.5 mm,1029.9 mm,368.9 mm,1673.5 mm,969.8 mm,79.2 mm,31.1 kg,33.3 kg,43.9 kg,2021,,,10.000:1,1000 cd/m²,Var,Var,1.5 GHz,MediaTek MT9611,2 GB,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,
2,TR,Televizyon,Sony,Sony XR-42A90K Ultra HD (4K) TV (XR42A90KAEP),(XR42A90KAEP),5,35285.202,TL,https://www.epey.com/televizyon/sony-xr-42a90k.html,09/04/2023 22:47:00,OLED,Düz (Flat),42 İnç,105 cm,Ultra HD (4K),3840x2160,,100/120 Hz,3840x2160p @ 120Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)","IMAX Enhanced


Live Colour™


CalMAN Ready


Cognitive Processor XR


Dual Database Processing


Dynamic Contrast Enhancer


OLED XR Contrast Pro


Pixel Contrast Booster


XR 4K Upscaling


XR HDR Remaster


XR Smoothing


XR Super Resolution


XR Triluminos Pro",25 W,2.1,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


DTS


Dolby Audio","Acoustic Surface Audio


Acoustic Surface Audio+


DTS Digital Surround",Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",,Var,1 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.3


HDMI Audio Return Channel (ARC)


HDCP",BRAVIA Sync,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı (Vewd)","Google TV


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Harici Disk/USB Bellek ile,Var,Var,,Android TV,Android TV 10 (Q),"Bluetooth


Ekran Yansıtma


Variable Refresh Rate (VRR)


Chromecast


USB ile Resim/Müzik/Video Oynatma


AirPlay


AirPlay 2


Auto Low Latency Mode (ALLM)


Bluetooth 4.2",G,52 kWh,G,67 kWh,,0.5 W,"Güç Tasarrufu Modu (Ekonomik mod) 

Işık sensörü (Eco Sensor/Akıllı Sensör)",Slim,Siyah,Metal Oval,VESA Duvar Montaj Desteği (200x200 mm),1052 mm,688 mm,170 mm,933 mm,620 mm,225 mm,933 mm,546 mm,57 mm,13.3 kg,16.4 kg,21 kg,2022,Android TV,Sony XR-42A90K Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,Var,Yok,,,,16 GB,5 W,1 Adet,Var,,,,,,,,,,,,,,,,,,,,,,
3,TR,Televizyon,LG,LG OLED65A16LA Ultra HD (4K) TV,None,3,41719.34,TL,https://www.epey.com/televizyon/lg-oled65a16la.html,09/04/2023 22:47:02,OLED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)


Dolby Vision IQ


HDR Effect


HDR 10 Pro


4K Cinema HDR","Billion Rich Color (Milyar Renk)


Mükemmel Siyahlar


Perfect Color (Kusursuz Renkler)


True Color Accuracy


ULTRA Luminance


HDR Dynamic Tone Mapping


HFR 2K


HFR 4K


HGIG Mode


Object Depth Enhancer


Pixel Dimming


Resolution Upscaler (4K)


Ultra Luminance Pro


Wide Viewing Angle


α7 (Alpha7) (Gen4) Processor 4K",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


AV1 (4K@60p 10bit)


H.265/HEVC (4K/60p 10bit)


VP9


VP9 (4K@60fps 10bit)","AI Acoustic Tuning


AI Sound


apt-X Kodek


Clear Voice Pro


Dolby Surround


LG Sound Sync


OLED Surround


Smart Sound Mode


WiSA",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,3 Adet,"HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)",SIMPLINK,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"LG ThinQ AI


Web Tarayıcı","LG Store


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,webOS,webOS 6.0,"Bluetooth


FreeSync


NVIDIA G-Sync


Ekran Yansıtma


Miracast


Akıllı Kumanda (Magic Remote) Uyumu


apt-X Encoder


AirPlay 2


Auto Low Latency Mode (ALLM)


Bluetooth 5.0


Gallery Mode",G,109 kWh,G,212 kWh,,0.5 W,"Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1600 mm,970 mm,172 mm,1449 mm,891 mm,271 mm,1449 mm,830 mm,46.9 mm,23.7 kg,24 kg,31 kg,2021,,LG OLED65A16LA Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,,,,,Sonsuz,Var,LG OLED65A16LA Ultra HD (4K) TV Kullanım Kılavuzu (EN),LG OLED65A16LA Ultra HD (4K) TV Uygun/Gerekli Android Uygulaması,LG OLED65A16LA Ultra HD (4K) TV Uygun/Gerekli iOS Uygulaması,,,,,,,,,,,,,,,,,
4,TR,Televizyon,LG,LG OLED65A26LA Ultra HD (4K) TV,None,2,50099.0,TL,https://www.epey.com/televizyon/lg-oled65a26la.html,09/04/2023 22:47:05,OLED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)


Dolby Vision IQ


HDR Effect


HDR 10 Pro


4K Cinema HDR","Billion Rich Color (Milyar Renk)


Mükemmel Siyahlar


Perfect Color (Kusursuz Renkler)


AI Upscaling


HDR Dynamic Tone Mapping

 
HGIG Mode


Pixel Dimming


Resolution Upscaler (4K)


Wide Viewing Angle


α7 (Alpha7) (Gen5) AI Processor 4K",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


AV1 (4K@60p 10bit)


H.265/HEVC (4K/60p 10bit)


VP9


VP9 (4K@60fps 10bit)","AI Acoustic Tuning


AI Sound


apt-X Kodek


Clear Voice Pro


LG Sound Sync


OLED Surround


Smart Sound Mode


WiSA",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,3 Adet,"HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)",SIMPLINK,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"LG ThinQ AI


Web Tarayıcı","LG Store


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,webOS,WebOS 22,"Bluetooth


Ekran Yansıtma


Miracast


Akıllı Kumanda (Magic Remote) Uyumu


apt-X Encoder


AirPlay 2


Bluetooth 5.0


Gallery Mode


NVIDIA GeForce Now",F,90 kWh,G,191 kWh,,0.5 W,"Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1600 mm,950 mm,172 mm,1449 mm,896 mm,235 mm,1449 mm,832 mm,45.9 mm,17.1 kg,17.3 kg,24.4 kg,2022,,,,,,Yok,,,,,,,,Sonsuz,,,,,,,,,,,,,,,,,,,,,
5,TR,Televizyon,LG,LG 65QNED916PA Ultra HD (4K) TV,None,0,0,TL,https://www.epey.com/televizyon/lg-65qned916pa.html,09/04/2023 22:47:07,LED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,,100/120 Hz,3840x2160p @ 120Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)


Dolby Vision IQ


Cinema HDR


HDR 10 Pro","Mini LED

 
LG QNED Mini LED


Quantum Mini LED


Nano Cell Display


Quantum Dot Display


Full Array Dimming Pro


Nano Cell Color


Billion Rich Color (Milyar Renk)


ULTRA Luminance


AI Picture Pro


Full Array Dimming


HDR Dynamic Tone Mapping


HFR 2K


HFR 4K


HGIG Mode


Motion Pro


Nano Colour Pro


Quantum Dot NanoCell Technology


Ultra Luminance Pro


α7 (Alpha7) (Gen4) Processor 4K

 
4K AI Upscaling",40 W,2.2,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


AV1


AV1 (4K@60p 10bit)


H.265/HEVC


HEVC (4K@120p


VP9


VP9 (4K@60fps 10bit)","A.I. Sound


apt-X Kodek


Clear Voice


Clear Voice Pro


LG Sound Sync


ULTRA Surround


WiSA",Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",Var,Var,3 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.3


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",SIMPLINK,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"LG Content Store


LG ThinQ AI


Web Tarayıcı","Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,webOS,webOS 6.0,"Bluetooth


FreeSync


Google Assistant


Ekran Yansıtma


Miracast


Variable Refresh Rate (VRR)


Akıllı Kumanda (Magic Remote) Uyumu


USB ile Resim/Müzik/Video Oynatma


AirPlay


AirPlay 2


Amazon Alexa


Auto Low Latency Mode (ALLM)


Bluetooth 5.0


Bluetooth LE (Low Energy)",F,101 kWh,G,168 kWh,,0.5 W,"Akıllı Enerji Tasarrufu Sistemi 

Işık sensörü (Eco Sensor/Akıllı Sensör)",Ultra Slim,Siyah,Yay (C Tipi),VESA Duvar Montaj Desteği (400x400 mm),1600 mm,970 mm,228 mm,1444 mm,902 mm,336 mm,1444 mm,827 mm,28.9 mm,,,,2021,,LG 65QNED916PA Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,,20 W,,,,,,,,Var,,,,,,,,,,,,,,,,
6,TR,Televizyon,TCL,TCL 65C735 Ultra HD (4K) TV,None,1,24599.0,TL,https://www.epey.com/televizyon/tcl-65c735.html,09/04/2023 22:47:10,LED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,TCL PPI 3600,100/120/144 Hz,3840x2160p @ 144Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Dolby Vision IQ","QLED with Quantum Dot


Quantum Dot Display


AiPQ 2.0 Engine


Micro Dimming",20 W,2.0,"Dolby Atmos


Dolby Digital


DTS HD


Dolby AC-4


DTS


Dolby Audio


Dolby TrueHD",Onkyo Ses Geliştirme,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


MIMO",Var,Var,1 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.3


HDMI Audio Return Channel (ARC)


HDCP",T-Link,Optik,Var,,1 Adet,1 Adet,Yok,Var,Google Play Store,"Google TV


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


FreeSync


Freesync Premium


Google Assistant


Ekran Yansıtma


Variable Refresh Rate (VRR)


Chromecast


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Auto Low Latency Mode (ALLM)


Bluetooth 5.0",F,102 kWh,G,180 kWh,,0.5 W,,Slim,Siyah,Kare,VESA Duvar Montaj Desteği (300x300 mm),1645 mm,1000 mm,175 mm,1447 mm,895 mm,314 mm,1447 mm,832 mm,80 mm,18.2 kg,19.3 kg,24.8 kg,2022,Android TV,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TR,Televizyon,TCL,TCL 55C835 Ultra HD (4K) TV,None,3,32299.0,TL,https://www.epey.com/televizyon/tcl-55c835.html,09/04/2023 22:47:13,LED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,TCL PPI 4300,100/120/144 Hz,3840x2160p @ 144Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Dolby Vision IQ","Mini LED


IMAX Enhanced


Quantum Mini LED


QLED with Quantum Dot


Quantum Dot Display


Local Dimming


AiPQ 2.0 Engine


Anti-Glare


DCI-P3 100%


Ultra Motion (MEMC)


10 (8 bit + FRC) bit Panel Desteği",40 W,2.1,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


DTS HD


DTS",Onkyo Ses Geliştirme,Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 6 (802.11 a/b/g/n/ac/ax)",Var,Var,1 Adet,4 Adet,"HDMI 2.1


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",T-Link,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","Google Play Games


Google Play Movies


Google TV


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


FreeSync


Freesync Premium


Google Assistant


Ekran Yansıtma


Miracast


Variable Refresh Rate (VRR)


Chromecast


Bluetooth HID (Dahili)


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


USB Klavye ve Fare Desteği


Yayında Altyazı Desteği


AirPlay


AirPlay 2


Auto Low Latency Mode (ALLM)


Bluetooth 5.2


Google Duo",G,103 kWh,G,250 kWh,270 W,0.5 W,,Slim,Siyah,Kare,VESA Duvar Montaj Desteği (300x300 mm),1400 mm,875 mm,150 mm,1226 mm,788 mm,280 mm,1226 mm,703 mm,31.2 (68.2) mm,16.7 kg,18.7 kg,23.2 kg,2022,Android TV,TCL 55C835 Ultra HD (4K) TV Kullanım Kılavuzu (TR),6000:1,500 cd/m²,Var,Var,1.6 GHz,MT9615 (ARM Cortex-A73),3 GB,32 GB,20 W,,Var,,,,,,,10.000.000:1,1000 cd/m²,6.5 ms,eMMC 5.0,,,,,,,,,,,,
8,TR,Televizyon,Sony,Sony KD-75X81K Ultra HD (4K) TV (KD75X81KAEP),(KD75X81KAEP),4,40070.005000000005,TL,https://www.epey.com/televizyon/sony-kd-75x81k.html,09/04/2023 22:47:15,LED,Düz (Flat),75 İnç,189 cm,Ultra HD (4K),3840x2160,MF XR 400,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)","Object-based HDR Remaster


Frame Dimming

 
Live Colour™


Triluminos Ekran


Direct LED Aydınlatma


Dynamic Contrast Enhancer


Triluminos Pro


4K HDR Processor X1


4K X-Reality PRO",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


DTS


Dolby Audio","Bass Reflex Hoparlör


DTS Digital Surround",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",,Var,1 Adet,4 Adet,"HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.3


HDMI Audio Return Channel (ARC)


HDCP",BRAVIA Sync,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı (Vewd)","Google TV


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Harici Disk/USB Bellek ile,Var,,4,Android TV,,"Bluetooth


Google Assistant


Ekran Yansıtma


Miracast


Chromecast


Bluetooth HID (Dahili)


Yayında Altyazı Desteği


AirPlay

 
AirPlay 2


Auto Low Latency Mode (ALLM)


Bluetooth 4.2


Bluetooth LE (Low Energy)


Teletext (TTXT)",F,143 kWh,G,205 kWh,,0.5 W,"Akıllı Enerji Tasarrufu Sistemi 

Arka ışık kapalı modu 

Dinamik Arka Işık Kontrolü 

Güç Tasarrufu Modu (Ekonomik mod) 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Standart,Siyah,İkili Ayak (Düz),VESA Duvar Montaj Desteği (300x300 mm),1810 mm,1114 mm,187 mm,1675 mm,1041 mm,412 mm,1675 mm,962 mm,73 mm,32.2 kg,33.5 kg,48 kg,2022,Android TV,Sony KD-75X81K Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,Var,Yok,,,,16 GB,,1 Adet,Var,,,,,,,,,,,,,,,,,,,,,,
9,TR,Televizyon,Samsung,Samsung 50QN90B Ultra HD (4K) TV (QE50QN90BATXTK),(QE50QN90BATXTK),8,26237.125,TL,https://www.epey.com/televizyon/samsung-50qn90b.html,09/04/2023 22:47:18,LED,Düz (Flat),50 İnç,126 cm,Ultra HD (4K),3840x2160,PQI 4500,100/120/144 Hz,3840x2160p @ 144Hz,Var,"HDR10+ Adaptive


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Quantum HDR 24X


Quantum HDR","Mini LED


Quantum Mini LED


QLED with Quantum Dot


Neo Quantum Processor 4K


Quantum Dot Display


Quantum Matrix Technology


Anti-Glare


Contrast Enhancer


DCI-P3 100%


HGIG Mode


Motion Xcelerator Turbo Pro


Real Depth Enhancer


Ultimate UHD Dimming


Wide Viewing Angle


4K AI Upscaling",40 W,2.2,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus","Object Tracking Sound


Object Tracking Sound (OTS Lite)


Q-Symphony",Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",Anynet+,Optik,Var,CI+ (1.4),1 Adet,2 Adet,Yok,Var,"Smart Hub


Web Tarayıcı","Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,Tizen,Tizen 6.5,"Bluetooth


FreeSync


FreeSync Premium Pro


Ekran Yansıtma (İki Yönlü)


Freesync Premium


Ekran Yansıtma


Bluetooth HID (Dahili)


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Connect Share (HDD)


ConnectShare


Oyun Modu


AirPlay 2


Ambient Mode


Ambient Mode Plus


Auto Low Latency Mode (ALLM)


Bixby Voice


Bluetooth 5.2


Google Duo


Samsung SmartThings


Ses Yansıtma


Wireless Dex


2 Tuner (Çift Alıcı)",F,65 kWh,G,128 kWh,175 W,0.5 W,"Akıllı Enerji Tasarrufu Sistemi 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Ultra Slim,Siyah,Kare,VESA Duvar Montaj Desteği (200x200 mm),1261 mm,771 mm,144 mm,1113.6 mm,708.9 mm,223 mm,1113.6 mm,644.1 mm,26.9 mm,14 kg,18.6 kg,22 kg,2022,"Samsung QLED TV


Samsung Neo QLED TV",Samsung 50QN90B Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Yok,,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,
