,country_code,Reference,title,no_offers,avg_price,currency,scrape_link,scrape_date,level_8,0
0,PT,75UR78006LK | 8806087095500 | S0450427,"TV LG 75"" Série UR78 LED Smart TV 4K",35,876.586,€,https://www.kuantokusta.pt/p/10067565/lg-75-serie-ur78-led-smart-tv-4k,2023-08-09 20:45:26,Definition,4K Ultra HD
1,PT,75UR78006LK | 8806087095500 | S0450427,"TV LG 75"" Série UR78 LED Smart TV 4K",35,876.586,€,https://www.kuantokusta.pt/p/10067565/lg-75-serie-ur78-led-smart-tv-4k,2023-08-09 20:45:26,Screen size,"190,5 cm"
2,PT,75UR78006LK | 8806087095500 | S0450427,"TV LG 75"" Série UR78 LED Smart TV 4K",35,876.586,€,https://www.kuantokusta.pt/p/10067565/lg-75-serie-ur78-led-smart-tv-4k,2023-08-09 20:45:26,Smart TV,
3,PT,75UR78006LK | 8806087095500 | S0450427,"TV LG 75"" Série UR78 LED Smart TV 4K",35,876.586,€,https://www.kuantokusta.pt/p/10067565/lg-75-serie-ur78-led-smart-tv-4k,2023-08-09 20:45:26,Sistema Operativo,Web OS
4,PT,OLED77C34LA | 8806087071580 | OLED77C34LA.AEU,"TV LG 77"" C3 OLED evo Smart TV 4K",30,3314.3,€,https://www.kuantokusta.pt/p/10047915/lg-77-c3-oled-evo-smart-tv-4k,2023-08-09 20:45:50,Definition,4K Ultra HD
5,PT,OLED77C34LA | 8806087071580 | OLED77C34LA.AEU,"TV LG 77"" C3 OLED evo Smart TV 4K",30,3314.3,€,https://www.kuantokusta.pt/p/10047915/lg-77-c3-oled-evo-smart-tv-4k,2023-08-09 20:45:50,Screen size,"195,6 cm"
6,PT,OLED77C34LA | 8806087071580 | OLED77C34LA.AEU,"TV LG 77"" C3 OLED evo Smart TV 4K",30,3314.3,€,https://www.kuantokusta.pt/p/10047915/lg-77-c3-oled-evo-smart-tv-4k,2023-08-09 20:45:50,Smart TV,
7,PT,OLED77C34LA | 8806087071580 | OLED77C34LA.AEU,"TV LG 77"" C3 OLED evo Smart TV 4K",30,3314.3,€,https://www.kuantokusta.pt/p/10047915/lg-77-c3-oled-evo-smart-tv-4k,2023-08-09 20:45:50,Sistema Operativo,Web OS
8,PT,TQ43Q60CAUXXC | 8806094916799 | 01.673.002.00069,"TV Samsung Q60C (2023) 43"" QLED Smart TV 4K",31,579.926,€,https://www.kuantokusta.pt/p/10105339/samsung-q60c-2023-43-qled-smart-tv-4k,2023-08-09 20:46:36,Definition,4K Ultra HD
9,PT,TQ43Q60CAUXXC | 8806094916799 | 01.673.002.00069,"TV Samsung Q60C (2023) 43"" QLED Smart TV 4K",31,579.926,€,https://www.kuantokusta.pt/p/10105339/samsung-q60c-2023-43-qled-smart-tv-4k,2023-08-09 20:46:36,Screen size,108 cm
10,PT,TQ43Q60CAUXXC | 8806094916799 | 01.673.002.00069,"TV Samsung Q60C (2023) 43"" QLED Smart TV 4K",31,579.926,€,https://www.kuantokusta.pt/p/10105339/samsung-q60c-2023-43-qled-smart-tv-4k,2023-08-09 20:46:36,Smart TV,
11,PT,TQ43Q60CAUXXC | 8806094916799 | 01.673.002.00069,"TV Samsung Q60C (2023) 43"" QLED Smart TV 4K",31,579.926,€,https://www.kuantokusta.pt/p/10105339/samsung-q60c-2023-43-qled-smart-tv-4k,2023-08-09 20:46:36,Sistema Operativo,Tizen
12,PT,50A6K | 6942147490976 | 01.673.002.00061,"TV Hisense 50"" 50A6K UHD 4K Smart TV",27,365.559,€,https://www.kuantokusta.pt/p/10178744/hisense-50-50a6k-uhd-4k-smart-tv,2023-08-09 20:47:01,Definition,4K Ultra HD
13,PT,50A6K | 6942147490976 | 01.673.002.00061,"TV Hisense 50"" 50A6K UHD 4K Smart TV",27,365.559,€,https://www.kuantokusta.pt/p/10178744/hisense-50-50a6k-uhd-4k-smart-tv,2023-08-09 20:47:01,Screen size,"125,7 cm"
14,PT,50A6K | 6942147490976 | 01.673.002.00061,"TV Hisense 50"" 50A6K UHD 4K Smart TV",27,365.559,€,https://www.kuantokusta.pt/p/10178744/hisense-50-50a6k-uhd-4k-smart-tv,2023-08-09 20:47:01,Smart TV,
15,PT,50A6K | 6942147490976 | 01.673.002.00061,"TV Hisense 50"" 50A6K UHD 4K Smart TV",27,365.559,€,https://www.kuantokusta.pt/p/10178744/hisense-50-50a6k-uhd-4k-smart-tv,2023-08-09 20:47:01,Sistema Operativo,Not Found
16,PT,40A5KQ | 6942147489895 | TVHS40A5KQ,"TV Hisense 40"" 40A5KQ QLED FHD Smart TV",28,292.862,€,https://www.kuantokusta.pt/p/10178750/hisense-40-40a5kq-qled-fhd-smart-tv,2023-08-09 20:47:25,Definition,Full HD
17,PT,40A5KQ | 6942147489895 | TVHS40A5KQ,"TV Hisense 40"" 40A5KQ QLED FHD Smart TV",28,292.862,€,https://www.kuantokusta.pt/p/10178750/hisense-40-40a5kq-qled-fhd-smart-tv,2023-08-09 20:47:25,Screen size,"101,6 cm"
18,PT,40A5KQ | 6942147489895 | TVHS40A5KQ,"TV Hisense 40"" 40A5KQ QLED FHD Smart TV",28,292.862,€,https://www.kuantokusta.pt/p/10178750/hisense-40-40a5kq-qled-fhd-smart-tv,2023-08-09 20:47:25,Smart TV,
19,PT,40A5KQ | 6942147489895 | TVHS40A5KQ,"TV Hisense 40"" 40A5KQ QLED FHD Smart TV",28,292.862,€,https://www.kuantokusta.pt/p/10178750/hisense-40-40a5kq-qled-fhd-smart-tv,2023-08-09 20:47:25,Sistema Operativo,VIDAA U
20,PT,32LQ63806LC | 8806091256041 | 16701058,"TV LG 32"" LQ63806LC LED Smart TV FHD",41,249.943,€,https://www.kuantokusta.pt/p/7825594/lg-32-lq63806lc-led-smart-tv-fhd,2023-08-09 20:47:52,Definition,Full HD
21,PT,32LQ63806LC | 8806091256041 | 16701058,"TV LG 32"" LQ63806LC LED Smart TV FHD",41,249.943,€,https://www.kuantokusta.pt/p/7825594/lg-32-lq63806lc-led-smart-tv-fhd,2023-08-09 20:47:52,Screen size,80 cm
