,country,category,title,Valmistaja,avg_price,offers,currency,scrape_link,date_scraped,level_9,0
0,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,rating,4.6
1,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,reviews,279
2,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Resoluutio,4K Ultra HD (3840x2160)
3,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Kuvakoko,139 cm
4,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Hinta/tuuma,21.05 €/tuuma
5,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Lanseerausvuosi,2022
6,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Smart TV,Kyllä
7,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Käyttöjärjestelmä,WebOS
8,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuetut Internetpalvelut/sovellukset,"YouTube, Spotify, Selain, Netflix, Viaplay, SVT Play, TV4 Play, SF Anytime, Amazon Prime Video, Apple TV+"
9,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuotenimi,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV"
10,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Luokka,Televisiot
11,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,"TV-vastaanotin, digitaalinen",Kyllä
12,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Digitaalivastaanottimen tyyppi,"DVB-T (digitaali-tv maanpäällisessä verkossa), DVB-C (digitaali-tv kaapeliverkossa), DVB-S (satelliitti-TV), DVB-T2 (digitaali-tv maanpäällisessä verkossa, 2. sukupolvi), DVB-S2 (satelliitti-tv, 2. sukupolvi)"
13,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Kaksoisvastaanotin,Ei
14,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuki CI/CA-moduulille,Kyllä
15,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,CI+,Kyllä
16,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,"Analoginen 3,5mm-sisääntulo",
17,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Digitaalinen optinen ulostulo (S/PDIF),Kyllä
18,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,HDMI,Kyllä
19,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,HDCP-versio,2.2
20,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,HDMI-sisääntulojen lukumäärä,4 kpl
21,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,HDMI-versio,2.1
22,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuetut standardit,eARC
23,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Komponentti-sisääntulo (YPbPr/YCbCr),0 kpl
24,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Komposiitti-sisääntulo,0 kpl
25,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Kuulokeulostulo,
26,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Muut liitännät,
27,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,USB-liitin,Kyllä
28,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tallennustoiminto USB:n kautta (PVR),Ei
29,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,USB 2.0,
30,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,USB 3.1 Gen 1 (5Gbps),
31,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,USB-liittimet (yhteensä),
32,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,VGA-sisääntulo,Ei
33,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Bildstorlek,55 tuumaa
34,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Kuvasuhde,16:09
35,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Kuvataajuus,"24p, 60p, 50p, 120p"
36,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Liiketoiston parannus (taajuus/indeksi),Kyllä
37,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Menetelmä,LG OLED Motion Pro
38,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Näyttötekniikka,OLED
39,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Näytön tyyppi,"OLED evo, OLED"
40,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Päivitystaajuus,120 Hz
41,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuetut videoformaatit,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)"
42,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Valoteho,
43,FI,Televisiot,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,148306.4545,11,€,https://hintaopas.fi/product.php?p=6003060#properties,3/4/2023 18:40,Tuetut kuvatiedostot,JPEG/JPG
