,Country Code,Category,Name,Avg Price,Currency,Nb of Offers,Rank,Rating,Reviews,Description,scrape_link,date_scraped,Produsenter,Bildestørrelse,Oppløsning,Skjermteknologi,HDR,Smart TV,Lanseringsår,Pris/tommer,Produktnavn,Kategori,"TV-mottaker, digital",Doble mottakere,Støtte for CI/CA-modul,CI+,Type av digitale mottakere,"Analog 3,5mm-inngang",Digital optisk ut (S/PDIF),HDMI,Antall HDMI-innganger,HDCP-versjon,HDMI-versjon,Standarder som støttes,Hodetelefonutgang,Komponent inn (YPbPr/YCbCr),Kompositt inn,USB-kontakt,Innspillingsfunksjon via USB (PVR),USB 2.0,USB 3.1 Gen 1 (5Gbps),USB-kontakt (totalt),VGA inn,Øvrige tilkoblinger,Bevegelsesforbedring (frekvens/indeks),Metode,Bildeforhold,Bildefrekvens,Bildestørrelse (cm),Bildstorlek,Lysstyrke,Oppdateringsfrekvens,Skjermtype,Støttede videoformater,Bildefiler som støttes,Lydfiler som støttes,Lydformat,Videofiler som støttes,Design panel,Tilgjengelige farger,Dybde uten stativ,"Høyde, uten stativ",Mål (BxHxD),Bredde,Dybde,Høyde,Produktvekt,Vekt uten stativ,Funksjoner,Internettjenester/apper som støttes,Operativsystem,Ethernet-tilkobling,Trådløst nettverk (Wi-Fi),Trådløs nettverksstandard (IEEE 802.11),3D-støtte (3D-Ready),DLNA,Full HD (HD ready 1080p),4K120,Ultra HD-sertifisert (UHD/4K),Type av HDR,Streaming-standard,VESA-feste,Type VESA-feste,Integrerte høyttalere,Prosessorhastighet,Energiforbruk i HDR-modus (per 1000 t),Energiforbruk i SDR-modus (per 1000 t),Energiklasse (A-G),Energiklasse (HDR),Strømforbruk operativ (min-maks),Strømforbruk standby/hvilemodus,Tilkobling for 9V/12V/14V,Bakgrunnsbelysning,Diodeplassering,Teknologier,Paneltype,Brilleteknologi,Medfølgende briller
0,NO,TV,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",20952.50,NOK,6.0,Rangering 1,4.2,(22 anmeldelser),"Den billigste prisen for LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 13 990 ,-. Dette er det mest populære produktet i kategorien TV med en gjennomsnittlig vurdering på 4.2 av 5.  Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5732274,23/08/2022 09:04:47,LG,65 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,215.23 kr/tomme,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",0 stk,Ja,Ja,4 stk,2.2,2.1,eARC,Ja,0 stk,0 stk,Ja,Ja,3 stk,0 stk,3 stk,Nei,,Ja,LG OLED Motion Pro,16:9,"24p, 30p, 60p, 50p, 120p",165 cm,65 Tommer,,120 Hz,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, HD WMV9 (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9, AV1",Flat,"Sort, Hvit, Sølv, Grå",46 mm,831 mm,,1448 mm,251 mm,861 mm,32.61 kg,24 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Time-Shift, Støtter NFC, Mobilapp for styring av funksjoner, Støtte for HbbTV, Synkroniseringsmetode, Støtte for HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Nettleser, Netflix, Viaplay, SVT Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,222 kWh,126 kWh,G,G,126 - 222 W,0.5 W,Nei,,,,,,
1,NO,TV,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",13473.60,NOK,5.0,Rangering 2,4.1,(3 anmeldelser),"Den billigste prisen for LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 11 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 4.1 av 5.  Prisjakt sammenligner priser og tilbud fra 5 butikker. ",https://www.prisjakt.no/product.php?p=5732268,23/08/2022 09:04:52,LG,55 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,218 kr/tomme,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",0 stk,Ja,Ja,4 stk,2.2,2.1,eARC,Ja,0 stk,0 stk,Ja,Ja,3 stk,0 stk,3 stk,Nei,,Ja,LG OLED Motion Pro,16:9,"24p, 30p, 60p, 50p, 120p",139 cm,55 Tommer,,120 Hz,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, HD WMV9 (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9",Flat,"Sort, Hvit, Sølv, Grå",46.9 mm,810 mm,,1345 mm,251 mm,738 mm,18.8 kg,18.9 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Time-Shift, Støtter NFC, Mobilapp for styring av funksjoner, Støtte for HbbTV, Synkroniseringsmetode, Støtte for HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Nettleser, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,171 kWh,106 kWh,G,G,106 W,0.5 W,Nei,,,,,,
2,NO,TV,"LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",14829.00,NOK,10.0,Rangering 3,4.4,(6 anmeldelser),"Den billigste prisen for LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 10 490 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 4.4 av 5.  Prisjakt sammenligner priser og tilbud fra 10 butikker. ",https://www.prisjakt.no/product.php?p=5724833,23/08/2022 09:04:56,LG,65 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,161.38 kr/tomme,"LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",0 stk,Ja,Ja,4 stk,2.2,2.1,eARC,Ja,0 stk,,Ja,,,,3 stk,Nei,,Ja,LG OLED Motion Pro,16:9,"24p, 30p, 60p, 50p, 120p",165 cm,65 Tommer,,120 Hz,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,"MP3, WMA, AAC",Dolby Atmos,"HEVC/H.265, AV1",Flat,"Sort, Sølv, Grå",46.9 mm,830 mm,,1449 mm,246 mm,869 mm,25 kg,24 kg,"Bluetooth, Talestyring, Synkroniseringsmetode, ALLM, Variable Refresh Rate (VRR)","YouTube, Nettleser, Netflix, Viaplay, SVT Play, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG",,Ja,300x200mm,2.0 (Stereo),,235 kWh,122 kWh,G,G,122 W,0.5 W,Nei,,,,,,
3,NO,TV,"Samsung The Frame QE55LS03A 55"" 4K Ultra HD (3840x2160) QLED Smart TV",11842.00,NOK,4.0,Rangering 4,,(1),"Den billigste prisen for Samsung The Frame QE55LS03A 55"" 4K Ultra HD (3840x2160) QLED Smart TV akkurat nå er 8 888 ,-. Det er et av de 10 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 4 butikker. ",https://www.prisjakt.no/product.php?p=5734742,23/08/2022 09:05:00,Samsung,55 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,161.6 kr/tomme,"Samsung The Frame QE55LS03A 55"" 4K Ultra HD (3840x2160) QLED Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,,,,Nei,,,Ja,,,,2 stk,,,,,,,138 cm,55 Tommer,,100 Hz,,2160p (4K Ultra HD),,,,,,Sort,24.9 mm,846 mm,,1237.9 mm,227.8 mm,743.4 mm,17 kg,16.6 kg,"Bluetooth, Talestyring, Time-Shift, Synkroniseringsmetode, One Connect",Nettleser,Tizen OS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",,Ja,Ja,,Ja,HDR10,,Ja,,,,233 kWh,129 kWh,,G,170 W,0.5 W,Nei,LED (lysdiode),,Quantum dot,,,
4,NO,TV,"Samsung Neo QLED QE65QN90A 65"" 4K Ultra HD (3840x2160) Smart TV",22114.40,NOK,5.0,Rangering 5,3.5,(4 anmeldelser),"Den billigste prisen for Samsung Neo QLED QE65QN90A 65"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 21 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 3.5 av 5.  Prisjakt sammenligner priser og tilbud fra 5 butikker. ",https://www.prisjakt.no/product.php?p=5727077,23/08/2022 09:05:03,Samsung,65 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,338.31 kr/tomme,"Samsung Neo QLED QE65QN90A 65"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,,Ja,4 stk,,2.1,eARC,Nei,,,Ja,Ja,,,2 stk,,,Ja,,16:9,"24p, 30p, 60p, 50p, 120p",163 cm,65 Tommer,,120 Hz,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,Dolby Digital Plus,,,"Sort, Sølv, Titan",26.9 mm,829.3 mm,,1446.3 mm,285.4 mm,891.4 mm,31.4 kg,24.4 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Støtter NFC, Støtte for HbbTV, Synkroniseringsmetode, ALLM, Variable Refresh Rate (VRR)",,Tizen OS,,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"HDR10, HLG, HDR10+",,Ja,,,,260 kWh,102 kWh,F,G,285 W,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),"Quantum dot, Lokal dimming, Mini-LED",IPS,,
5,NO,TV,"Samsung The Frame QE65LS03A 65"" 4K Ultra HD (3840x2160) QLED Smart TV",13826.67,NOK,3.0,Rangering 6,2.9,(4 anmeldelser),"Den billigste prisen for Samsung The Frame QE65LS03A 65"" 4K Ultra HD (3840x2160) QLED Smart TV akkurat nå er 11 490 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 2.9 av 5.  Prisjakt sammenligner priser og tilbud fra 3 butikker. ",https://www.prisjakt.no/product.php?p=5734739,23/08/2022 09:05:08,Samsung,65 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,176.77 kr/tomme,"Samsung The Frame QE65LS03A 65"" 4K Ultra HD (3840x2160) QLED Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,,,eARC,Nei,0 stk,0 stk,Ja,Ja,,,2 stk,Nei,,Ja,Samsung Picture Quality Index (PQI) 3400,16:9,,163 cm,65 Tommer,,100 Hz,,2160p (4K Ultra HD),,,,,Flat,Sort,25 mm,832 mm,,1457 mm,261 mm,869 mm,23 kg,22.1 kg,"Bluetooth, Talestyring, Time-Shift, One Connect",,Tizen OS,Ja,Ja,802.11ac (Wi-Fi 5),Nei,Ja,Ja,,Ja,HDR10+,,Ja,,2.0 (Stereo),,233 kWh,129 kWh,G,G,215 W,0.4 W,Nei,LED (lysdiode),,"Quantum dot, Lokal dimming",,,
6,NO,TV,"Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV",10226.17,NOK,6.0,Rangering 7,4.5,(4 anmeldelser),"Den billigste prisen for Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 6 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 4.5 av 5.  Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5785187,23/08/2022 09:05:11,Philips,70 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,,99.86 kr/tomme,"Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",1 stk,Ja,Ja,4 stk,2.3,,"eARC, ARC",,,,Ja,,1 stk,1 stk,2 stk,Nei,,,,16:9,"24p, 30p, 60p, 50p",177 cm,70 Tommer,,50 Hz,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP, GIF","MP3, WMA, WAV (PCM), AAC, eAAC+",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265, AV1",Flat,Grå,85 mm,876.3 mm,,1572 mm,1572 mm,948 mm,82.4 kg,27.1 kg,"Bluetooth, Talestyring, Omgivelseslys (Ambilight), Støtte for HbbTV, Synkroniseringsmetode, Variable Refresh Rate (VRR)","YouTube, Spotify, Netflix, SVT Play",Android,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Nei,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,300x300mm,2.0 (Stereo),,203 kWh,126 kWh,G,G,126 W,0.3 W,Nei,LED (lysdiode),,,,,
7,NO,TV,"Samsung QLED QE85Q80A 85"" 4K Ultra HD (3840x2160) Smart TV",29870.83,NOK,6.0,Rangering 8,3.8,(1 anmeldelse),"Den billigste prisen for Samsung QLED QE85Q80A 85"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 22 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 3.8 av 5.  Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5753159,23/08/2022 09:05:16,Samsung,85 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,270.47 kr/tomme,"Samsung QLED QE85Q80A 85"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,,Ja,4 stk,,2.1,eARC,,,,Ja,Ja,,,2 stk,Nei,,,,16:9,"24p, 30p, 60p, 50p, 120p",214 cm,85 Tommer,,120 Hz,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,"Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos",,Flat,"Sort, Sølv, Grå",,1083 mm,,1892 mm,,,,50.1 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Time-Shift, Mobilapp for styring av funksjoner, Støtte for HbbTV, Synkroniseringsmetode, ALLM, Variable Refresh Rate (VRR)",,Tizen OS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"HDR10, HLG, HDR10+",,Ja,600x400mm,,,,,G,,475 W,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),"Quantum dot, Lokal dimming",,,
8,NO,TV,"Samsung QLED QE65Q80B 65"" 4K Ultra HD (3840x2160) Smart TV",20528.88,NOK,8.0,Rangering 9,,(1),"Den billigste prisen for Samsung QLED QE65Q80B 65"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 12 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 8 butikker. ",https://www.prisjakt.no/product.php?p=6016432,23/08/2022 09:05:20,Samsung,65 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2022,199.85 kr/tomme,"Samsung QLED QE65Q80B 65"" 4K Ultra HD (3840x2160) Smart TV",TV,,,,,,,,Ja,4 stk,,,,,,,,,,,,,,,,16:9,"24p, 30p, 60p, 50p",,65 Tommer,,,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,,,,"Sort, Sølv",,,,,,,,,Synkroniseringsmetode,,Tizen OS,,Ja,,,,Ja,,Ja,,,Ja,,,,,,,,,,Nei,LED (lysdiode),,Quantum dot,,,
9,NO,TV,"LG 75UP7500 75"" 4K Ultra HD (3840x2160) LCD Smart TV",12990.00,NOK,2.0,Rangering 10,,(1),"Den billigste prisen for LG 75UP7500 75"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 11 990 ,-. Det er et av de 10 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 2 butikker. ",https://www.prisjakt.no/product.php?p=5754086,23/08/2022 09:05:23,LG,75 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,159.87 kr/tomme,"LG 75UP7500 75"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,2 stk,,2.0,,,,,Ja,,1 stk,,1 stk,,,Nei,,16:9,,189 cm,75 Tommer,,60 Hz,LED,2160p (4K Ultra HD),,,,,Flat,Sort,88.8 mm,964 mm,,1693 mm,345 mm,1048 mm,35.4 kg,34.6 kg,"Bluetooth, Talestyring, Støtte for HomeKit, ALLM",Nettleser,WebOS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,,Ja,"HDR10, HLG",,Ja,600x400mm,2.0 (Stereo),,191 kWh,171 kWh,G,G,171 W,0.5 W,Nei,LED (lysdiode),,,,,
