,country,category,title,Produsenter,avg_price,offers,currency,scrape_link,date_scraped,level_9,0
0,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,rating,4.8
1,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,reviews,500+
2,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Oppløsning,4K Ultra HD (3840x2160)
3,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Bildestørrelse,42 Tommer
4,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Pris/tommer,261.88 kr/tomme
5,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Lanseringsår,2022
6,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Smart TV,Ja
7,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Internettjenester/apper som støttes,"YouTube, Spotify, Nettleser, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, Amazon Prime Video, Apple TV+"
8,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Operativsystem,WebOS
9,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Produktnavn,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV"
10,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Kategori,TV
11,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,"TV-mottaker, digital",Ja
12,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Doble mottakere,Nei
13,NO,TV,"LG OLED42C2 42"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,13870.666666666666,6,NOK,https://www.prisjakt.no/product.php?p=6003056#properties,30/03/2023 11:04:50,Støtte for CI/CA-modul,Ja
