,Country Code,Category,Name,Avg Price,Currency,Nb of Offers,Rank,Rating,Reviews,Description,scrape_link,date_scraped,Varumärke,Bildstorlek,Upplösning,Bildskärmsteknik,HDR,Smart TV,Lanseringsår,Pris/tum,Produktnamn,Kategori,"TV-mottagare, digital",Dubbla mottagare,Stöd för CI/CA-modul,CI+,Typ av digital-mottagare,"Analog 3,5mm-ingång (Aux)",Digital optisk ut (S/PDIF),HDMI,Antal HDMI-ingångar,HDCP-version,HDMI-version,Standarder som stöds,Hörlursutgång,Komponent in (YPbPr/YCbCr),Komposit in,USB-kontakt,Inspelningsfunktion via USB (PVR),USB 2.0,USB 3.1 Gen 1 (5Gbps),USB-kontakter (totalt),VGA in,Övriga anslutningar,Bildfrekvens,Bildförhållande,Bildstorlek (cm),Ljusstyrka,Rörelseförbättring (frekvens/index),Typ av index/mätmetod,Skärmtyp,Stödda videoformat,Uppdateringsfrekvens,Bildfiler som stöds,Ljudfiler som stöds,Ljudformat,Videofiler som stöds,Tillgängliga färger,Utformning panel,"Djup, utan stativ","Höjd, utan stativ",Mått (BxHxD),Bredd,Djup,Höjd,Produktvikt,"Vikt, utan stativ",Funktioner,Internettjänster/appar som stöds,Operativsystem,Ethernet-anslutning,Trådlöst nätverk (Wi-Fi),Trådlös nätverkstandard (IEEE 802.11),3D-stöd (3D-ready),DLNA,Full HD (HD ready 1080p),4K120,Ultra HD-certifierad (UHD/4K),Typ av HDR,Streaming-standarder,VESA-fäste,Typ av VESA-fäste,Inbyggda högtalare,Processorhastighet,Anslutning för 9V/12V/14V,Effektförbrukning drift (min-max),Effektförbrukning standby/viloläge,Energiförbrukning i HDR-läge (per 1000h),Energiförbrukning i SDR-läge (per 1000h),Energiklass (A-G),Energiklass (HDR),Bakbelysning,Diodplacering,Teknologier,Paneltyp,Glasögonteknik,Medföljande glasögon
0,NO,TV,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",86349628.63,NOK,19.0,Rank 1,4.2,(22 omdömen),"Det billigaste priset för LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 13 990 kr. Det är den populäraste produkten i kategorin TV med ett genomsnittligt betyg på 4.2 av 5.  Prisjakt jämför priser och erbjudanden från 19 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732274,23/08/2022 15:07:28,LG,65 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,215.23 kr/tum,"LG OLED65C1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,165 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9, AV1","Svart, Vit, Silver, Grå",Platt,46 mm,831 mm,,1448 mm,251 mm,861 mm,32.61 kg,24 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, SVT Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,126 - 222 W,0.5 W,222 kWh,126 kWh,G,G,,,,,,
1,NO,TV,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",13602.28,NOK,18.0,Rank 2,4.1,(3 omdömen),"Det billigaste priset för LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 10 746 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.1 av 5.  Prisjakt jämför priser och erbjudanden från 18 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732268,23/08/2022 15:07:31,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,195.38 kr/tum,"LG OLED55C1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,139 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå",Platt,46.9 mm,810 mm,,1345 mm,251 mm,738 mm,18.8 kg,18.9 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,106 W,0.5 W,171 kWh,106 kWh,G,G,,,,,,
2,NO,TV,"Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV",9590.00,NOK,8.0,Rank 3,3.7,(2 omdömen),"Det billigaste priset för Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV just nu är 4 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.7 av 5.  Prisjakt jämför priser och erbjudanden från 8 butiker. ",https://www.prisjakt.nu/produkt.php?p=5785188,23/08/2022 15:07:34,Philips,58 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,,86.03 kr/tum,"Philips 58PUS9006 58"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,4 st,,2.1,,Ja,,,Ja,,,,2 st,,,"24p, 30p, 60p, 50p",16:9,146 cm,,,,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,"JPEG/JPG, BMP, GIF","MP3, WMA, WAV (PCM), AAC",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265, AV1",Grå,Platt,80 mm,749.7 mm,,1290 mm,1290 mm,820 mm,20.2 kg,17.4 kg,"Bluetooth, Röststyrning, Omgivningsljus (Ambilight), Stöd för HbbTV, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Netflix, SVT Play, Amazon Prime Video",Android TV,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,200x300mm,2-kanal (Stereo),,Nej,90 W,0.3 W,128 kWh,90 kWh,,G,LED (lysdiod),Bakbelyst (Back),,VA,,
3,NO,TV,"LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",13273.00,NOK,11.0,Rank 4,4.4,(6 omdömen),"Det billigaste priset för LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 10 787 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.4 av 5.  Prisjakt jämför priser och erbjudanden från 11 butiker. ",https://www.prisjakt.nu/produkt.php?p=5724833,23/08/2022 15:07:38,LG,65 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,165.95 kr/tum,"LG OLED65B1 65"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,eARC,Ja,0 st,,Ja,,,,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,165 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,,"MP3, WMA, AAC",Dolby Atmos,"HEVC/H.265, AV1","Svart, Silver, Grå",Platt,46.9 mm,830 mm,,1449 mm,246 mm,869 mm,25 kg,24 kg,"Bluetooth, Röststyrning, Adaptiv synk-teknik, ALLM, Variable Refresh Rate (VRR)","YouTube, Webbläsare, Netflix, Viaplay, SVT Play, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG",,Ja,300x200mm,2-kanal (Stereo),,Nej,122 W,0.5 W,235 kWh,122 kWh,G,G,,,,,,
4,NO,TV,"Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV",11167.57,NOK,7.0,Rank 5,4.5,(4 omdömen),"Det billigaste priset för Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV just nu är 6 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.5 av 5.  Prisjakt jämför priser och erbjudanden från 7 butiker. ",https://www.prisjakt.nu/produkt.php?p=5785187,23/08/2022 15:07:43,Philips,70 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,,99.86 kr/tum,"Philips 70PUS9006 70"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nej,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",1 st,Ja,Ja,4 st,2.3,,"eARC, ARC",,,,Ja,,1 st,1 st,2 st,Nej,,"24p, 30p, 60p, 50p",16:9,177 cm,,,,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,"JPEG/JPG, PNG, BMP, GIF","MP3, WMA, WAV (PCM), AAC, eAAC+",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265, AV1",Grå,Platt,85 mm,876.3 mm,,1572 mm,1572 mm,948 mm,82.4 kg,27.1 kg,"Bluetooth, Röststyrning, Omgivningsljus (Ambilight), Stöd för HbbTV, Adaptiv synk-teknik, Variable Refresh Rate (VRR)","YouTube, Spotify, Netflix, SVT Play",Android TV,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Nej,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,300x300mm,2-kanal (Stereo),,Nej,126 W,0.3 W,203 kWh,126 kWh,G,G,LED (lysdiod),,,,,
5,NO,TV,"LG OLED77B1 77"" 4K Ultra HD (3840x2160) OLED Smart TV",23323.33,NOK,3.0,Rank 6,4.1,(4 omdömen),"Det billigaste priset för LG OLED77B1 77"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 19 990 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.1 av 5.  Prisjakt jämför priser och erbjudanden från 3 butiker. ",https://www.prisjakt.nu/produkt.php?p=5724842,23/08/2022 15:07:46,LG,77 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NO,TV,"Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV",7246.40,NOK,15.0,Rank 7,,(1),"Det billigaste priset för Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV just nu är 5 490 kr. Det är en av de 10 mest populära produkterna i kategorin TV.  Prisjakt jämför priser och erbjudanden från 15 butiker. ",https://www.prisjakt.nu/produkt.php?p=5731001,23/08/2022 15:07:51,Samsung,50 tum,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,109.8 kr/tum,"Samsung QLED QE50Q60A 50"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,3 st,,2.0,,,,,Ja,Ja,,,2 st,,,"24p, 30p, 60p, 50p",16:9,125 cm,,Ja,Samsung Picture Quality Index (PQI) 3100,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",50 Hz,,,Dolby Digital Plus,,Svart,Platt,25.7 mm,644.5 mm,,1118.3 mm,228.8 mm,683.6 mm,12.2 kg,11.5 kg,"Bluetooth, Röststyrning, Time-shift, Stöd för HbbTV, ALLM",Webbläsare,Tizen OS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",,Ja,Ja,,Ja,"HDR10, HLG",,Ja,200x200mm,,,Nej,67 W,0.5 W,100 kWh,67 kWh,G,G,LED (lysdiod),Bakbelyst (Back),Quantum dot,,,
7,NO,TV,"LG OLED48C1 48"" 4K Ultra HD (3840x2160) OLED Smart TV",11998.69,NOK,13.0,Rank 8,3.7,(4 omdömen),"Det billigaste priset för LG OLED48C1 48"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 8 876 kr. Det är en av de 10 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 3.7 av 5.  Prisjakt jämför priser och erbjudanden från 13 butiker. ",https://www.prisjakt.nu/produkt.php?p=5732267,23/08/2022 15:07:54,LG,48 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,184.92 kr/tum,"LG OLED48C1 48"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,2.2,2.1,"eARC, ARC",Ja,0 st,0 st,Ja,Ja,3 st,0 st,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,121 cm,,Ja,LG OLED Motion Pro,OLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",120 Hz,"JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","MPEG1, MPEG2, MPEG4, WMV, AVC/H.264, WMV9 HD (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9","Svart, Vit, Silver, Grå, Rosa",Platt,46.9 mm,745 mm,,1071 mm,469 mm,6180 mm,15.45 kg,14.9 kg,"Bild-i-Bild (PiP), Bluetooth, Röststyrning, Time-shift, Stöd för NFC, Mobilapp för styrning av funktioner, Stöd för HbbTV, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Webbläsare, Netflix, Viaplay, SVT Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,300x200mm,Flerkanal,,Nej,88 W,0.5 W,142 kWh,88 kWh,G,G,,,,,,
8,NO,TV,"LG OLED55B1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",10884.80,NOK,10.0,Rank 12,4.2,(5 omdömen),"Det billigaste priset för LG OLED55B1 55"" 4K Ultra HD (3840x2160) OLED Smart TV just nu är 8 986 kr. Det är en av de 100 mest populära produkterna i kategorin TV med ett genomsnittligt betyg på 4.2 av 5.  Prisjakt jämför priser och erbjudanden från 10 butiker. ",https://www.prisjakt.nu/produkt.php?p=5724832,23/08/2022 15:07:58,LG,55 tum,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,163.38 kr/tum,"LG OLED55B1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (marksänd digital-TV), DVB-C (digital kabel-TV), DVB-S (satellit-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",0 st,Ja,Ja,4 st,,2.1,eARC,Ja,0 st,0 st,Ja,Ja,,,3 st,Nej,,"24p, 30p, 60p, 50p, 120p",16:9,139 cm,,Ja,LG OLED Motion Pro,OLED,2160p (4K Ultra HD),120 Hz,,"MP3, WMA, AAC","Dolby Digital 5.1, Dolby Atmos",HEVC/H.265,"Svart, Silver, Grå",Platt,49.6 mm,810 mm,,1228 mm,246 mm,744 mm,19.9 kg,18.9 kg,"Bluetooth, Röststyrning, Adaptiv synk-teknik, Stöd för HomeKit, ALLM, Variable Refresh Rate (VRR)","Webbläsare, Netflix",WebOS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nej,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG",,Ja,"400x200mm, 300x200mm",2-kanal (Stereo),,Nej,104 W,0.5 W,182 kWh,104 kWh,G,G,,,,,,
9,NO,TV,"Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV",4375.00,NOK,15.0,Rank 9,,(1),"Det billigaste priset för Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV just nu är 3 549 kr. Det är en av de 10 mest populära produkterna i kategorin TV.  Prisjakt jämför priser och erbjudanden från 22 butiker. ",https://www.prisjakt.nu/produkt.php?p=5855235,23/08/2022 15:08:06,Samsung,32 tum,Full HD (1920x1080),LCD,Ja,Ja,2020,110.91 kr/tum,"Samsung The Frame QE32LS03T 32"" Full HD (1920x1080) QLED Smart TV",TV,Ja,,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (marksänd digital-TV, 2:a gen.), DVB-S2 (satellit-TV, 2:a gen.)",,Ja,Ja,2 st,,,ARC,,,,Ja,,,,2 st,,,,16:9,80 cm,,Ja,Samsung Picture Quality Index (PQI) 1000,,"720p, 1080p (Full HD), 1080i, 2160p (4K Ultra HD)",,,MP3,,,"Svart, Vit, Rosa, Titan",Platt,24.7 mm,419.4 mm,,728.9 mm,143 mm,452 mm,5.3 kg,5.3 kg,"Bluetooth, One Connect",,Tizen OS,,Ja,802.11ac (Wi-Fi 5),,,Ja,,Nej,,,,,2-kanal (Stereo),,,33 - 55 W,0.5 W,55 kWh,33 kWh,G,,LED (lysdiod),,Quantum dot,,,
