,country,category,title,Mærke,avg_price,offers,currency,scrape_link,date_scraped,level_9,0
0,DEK,TV,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",,12486.538461538461,13,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled55c2-55-4k-ultra-hd-3840x2160-oled-smart-tv--p6003060,22/05/2023 00:16:06,rating,4.7
1,DEK,TV,"LG OLED55C2 55"" 4K Ultra HD (3840x2160) OLED Smart TV",,12486.538461538461,13,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled55c2-55-4k-ultra-hd-3840x2160-oled-smart-tv--p6003060,22/05/2023 00:16:06,reviews,500+
2,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,rating,4.7
3,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,reviews,None
4,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Opløsning,4K Ultra HD (3840x2160)
5,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Skærmstørrelse,65 tommer
6,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Pris/tomme,215.23 kr/tommer
7,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Udgivelsesår,2022
8,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Smart TV,Ja
9,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Indbyggede internettjenester,"YouTube, Spotify, Browser, Netflix, Viaplay, SVT Play, TV4 Play, SF Anytime, Amazon Prime Video, Apple TV+"
10,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Operativsystem,WebOS
11,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Produktnavn,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV"
12,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Kategori,TV
13,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,"TV-tuner, digital",Ja
14,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Digital tunertype,"DVB-T (terrestisk digital-tv), DVB-C (digitalt kabel-tv), DVB-S (satellit-TV), DVB-T2 (terrestisk digital-TV, 2. gen.), DVB-S2"
15,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Dobbelt tuner,Nej
16,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Understøttelse af CI/CA-modul,Ja
17,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,CI+,Ja
18,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,"Analog 3,5 mm indgang (Aux)",
19,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Andre stik,
20,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Digital optisk udgang (S/PDIF),Ja
21,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,HDMI,Ja
22,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Antal HDMI-indgange,4 stk
23,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,HDCP-version,2.2
24,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,HDMI-version,2.1
25,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Understøttede standarder,eARC
26,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Hovedtelefonudgang,
27,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Komponentudgang (YPbPr/YCbCr),0 stk
28,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Komposit indgang,0 stk
29,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,USB,Ja
30,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,USB (i alt),
31,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,USB 2.0,
32,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,USB 3.1 Gen 1 (5Gbps),
33,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,USB-optagelsesfunktion (PVR),Nej
34,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,VGA ind,Nej
35,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Bevægelsesforbedring (frekvens/indeks),Ja
36,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Type af indeks/målemetode,LG OLED Motion Pro
37,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Bildstorlek,65 tommer
38,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Billedfrekvens,"24p, 60p, 50p, 120p"
39,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Lysstyrke,
40,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Opdateringshastighed,120 Hz
41,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Paneltype,"OLED evo, OLED"
42,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Skærmstørrelse (cm),165 cm
43,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Skærmteknologi,OLED
44,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Størrelsesforhold,16:9
45,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Understøttede videoformater,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)"
46,DEK,TV,"LG OLED65C25 65"" 4K Ultra HD (3840x2160) OLED Smart TV",LG,17268.666666666668,9,KR,https://prisjagt.dk/lyd-billede/tv/lg-oled65c25-65-4k-ultra-hd-3840x2160-oled-smart-tv--p6003062,22/05/2023 00:16:30,Lydformat,"Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos"
