,countrycode,tv_title,tv_make,tv_price,numberofoffers,averageprice,currency,tvspecifications,scrapelink,scrapedate
0,TN,"Vega Téléviseur 42"" - Récepteur intégré - FULL HD - L42F1FBE - Garantie 3 Ans",Vega,749.00 TND,4,889.00,TND,"{'Ecran ': ' 42""\xa0Aspect ratio ', 'FULL HD': 'FULL HD', 'Résolution ': ' 1920*1080', 'Brillance ': ' 230+20nit', 'Contraste ': ' 3000', 'Maximum colors ': ' 16.7M', 'Temps de réponse ': ' 8ms', 'Réduction de bruit ': ' Oui', 'Filtre en peigne ': ' 3DHDMI / USB / Sortie Casque / Entrée RF / AV Input &R,L / COAXIAL', 'SKU': ' VE380EA0WX014NAFAMZ', 'Modèle': ' L42F1FBE', 'Taille (Longueur x Largeur x Hauteur cm)': ' 97.7 x 62 x 18.7 cm', 'Poids (kg)': ' 4', 'Couleur': ' Noir'}",https://www.jumia.com.tn/televiseur-42-recepteur-integre-full-hd-l42f1fbe-garantie-3-ans-vega-mpg25475.html,15/09/2022 19:40:18
1,TN,"Vega Téléviseur 32"" LED HD - A32F1HB1 - Granatie 3 Ans",Vega,399.00 TND,1,399.00 TND,TND,"{'Résolution': '\xa01366 x 768 Pixels', 'Sortie Audio': '\xa02× 8W', 'Temps de réponse': ' 6.5 ms', 'Aspect ratio': '\xa016', 'Luminosité': '\xa0200 cd/m²', 'Contraste': '\xa01000', 'Angle de vue': ' 178° x 178°', 'Maximum colors': '\xa016.7M', 'Connecteurs': ' 3x HDMI, 1x USB', 'Dimensions': ' 72.7 x 46.5 x 7.6 cm', 'Poids': ' 3.77 Kg', 'Couleur Noir': 'Couleur Noir', 'SKU': ' VE380EA1FIB3CNAFAMZ', 'Poids (kg)': ' 3.8'}",https://www.jumia.com.tn/vega-televiseur-32-led-hd-a32f1hb1-granatie-3-ans-641568.html,15/09/2022 19:40:21
2,TN,"Samsung Téléviseur 40"" Full HD - Smart -T5300 - Noir - Garantie 2 ans",Samsung,"1,185.00 TND",1,1185.00,TND,"{'Téléviseur SAMSUNG\xa040""\xa0Full HD Smart TV': 'Téléviseur SAMSUNG\xa040""\xa0Full HD Smart TV', 'Serie 5': 'Serie 5', 'Résolution': '\xa01920 x 1080\xa0pixels', 'Picture Engine': '\xa0HyperReal', 'Rapport de Contraste': '\xa0Méga-contraste', 'Audio': '\xa0Dolby Digital Plus', 'Tuner analogique': 'Tuner analogique', 'Connecteurs': '\xa0 2\xa0x HDMI -\xa01 x USB, 1 x\xa0Entreé composant, 1 x Entrée AV, 1 x Sortie Audio\xa0numérique, 1 x Entreé', 'Garantie': ' 2 ans', 'SKU': ' SA024EA0UWK08NAFAMZ', 'Gamme de produits': ' TV', 'Modèle': ' T5300 - Samsung', 'Taille (Longueur x Largeur x Hauteur cm)': ' X', 'Poids (kg)': ' 7.3', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/televiseur-40-full-hd-smart-t5300-garantie-2-ans-samsung-mpg21207.html,15/09/2022 19:40:23
3,TN,"LG Téléviseur 43"" - Récepteur intégré - 4K Smart - Garantie 2 ans",LG,"1,544.90 TND",1,"1,544.90 TND",TND,"{'TV\xa0LG 43"" UHD 4K Série UP77': 'TV\xa0LG 43"" UHD 4K Série UP77', 'Résolution 1920\xa0x 1080': 'Résolution 1920\xa0x 1080', 'Smart TV': 'Smart TV', 'Résolution\xa03840 x 2160': 'Résolution\xa03840 x 2160', 'Taux de rafraîchissement 50 Hz': 'Taux de rafraîchissement 50 Hz', 'Processeur\xa0quadricœur\xa04K\xa0K7Lp': 'Processeur\xa0quadricœur\xa04K\xa0K7Lp', 'Téléviseur intelligent webOS -\xa0HDR10 Pro': 'Téléviseur intelligent webOS -\xa0HDR10 Pro', 'HEVC\xa04K@60p, 10 bits -\xa0Réponse instantanée au jeu': 'HEVC\xa04K@60p, 10 bits -\xa0Réponse instantanée au jeu', '9 modes\xa0image': '9 modes\xa0image', 'Haut-parleur\xa020W': 'Haut-parleur\xa020W', 'Son AI': 'Son AI', 'Ultra Surround': 'Ultra Surround', 'Reconnaissance vocale intelligente': 'Reconnaissance vocale intelligente', 'Télécommande magique': 'Télécommande magique', 'Bluetooth': 'Bluetooth', '2x HDMI': '2x HDMI', 'USB': 'USB', 'LAN': 'LAN', ""Mode économie d'énergie"": ""Mode économie d'énergie"", 'Garantie 2 ans': 'Garantie 2 ans', 'SKU': ' LG178EA01YWUSNAFAMZ', 'Gamme de produits': ' derniers génération', 'Modèle': ' 7750', 'Taille (Longueur x Largeur x Hauteur cm)': ' 963.9 x 558.9 x 59.6 mm', 'Poids (kg)': ' 9', 'Couleur': ' Noir'}",https://www.jumia.com.tn/lg-televiseur-43-recepteur-integre-4k-smart-garantie-2-ans-580330.html,15/09/2022 19:40:24
4,TN,"Samsung Téléviseur FHD - 40"" Full HD - Smart - T5300 - Garantie 2 ans",Samsung,"1,185.00 TND",2,1185.00,TND,"{'Téléviseur SAMSUNG': 'Téléviseur SAMSUNG', '40""': '40""', 'Full HD': 'Full HD', 'Smart TV': 'Smart TV', 'Série 5': 'Série 5', 'Résolution': '\xa01920 x 1080\xa0pixels', 'Picture Engine': '\xa0HyperReal', 'Rapport de Contraste': '\xa0Méga-contraste', 'Audio': '\xa0Dolby Digital Plus', 'Tuner analogique': 'Tuner analogique', 'Connecteurs': '\xa0 2\xa0x HDMI -\xa01 x USB, 1 x\xa0Entreé composant, 1 x Entrée AV, 1 x Sortie Audio\xa0numérique, 1 x Entreé', 'Garantie': ' 2 ans', 'Téléviseur SAMSUNG\xa040""\xa0Full HD Smart TV': 'Téléviseur SAMSUNG\xa040""\xa0Full HD Smart TV', 'Serie 5': 'Serie 5', 'SKU': ' SA024EA151P58NAFAMZ', 'Gamme de produits': ' TV', 'Modèle': ' SAMSUNG 40T5300', 'Poids (kg)': ' 7.3', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/televiseur-fhd-40-full-hd-smart-t5300-garantie-2-ans-samsung-mpg31220.html,15/09/2022 19:40:26
5,TN,"LG Téléviseur 43"" Smart  Series 6 Full HDR - Récepteur Intégré",LG,"1,479.00 TND",1,"1,479.00 TND",TND,"{'HDR\xa0actif optimise': 'HDR\xa0actif optimise', 'format multi-HDR, y compris HDR10': 'format multi-HDR, y compris HDR10', 'technologie de réglage dynamique scène par scène de LG': 'technologie de réglage dynamique scène par scène de LG', 'qualité HDR incroyable': 'qualité HDR incroyable', 'haut-parleurs intégrés': 'haut-parleurs intégrés', 'diffusent un son sous tous les angles': 'diffusent un son sous tous les angles', 'Un nouveau niveau de Full HD': 'Un nouveau niveau de Full HD', ""Processeur quadricœur, l'origine d'images réalistes"": ""Processeur quadricœur, l'origine d'images réalistes"", 'HDR actif pour des détails incroyables': 'HDR actif pour des détails incroyables', 'DTS VirtualX qui ajoute une autre dimension au son': 'DTS VirtualX qui ajoute une autre dimension au son', 'Garantie 2 ans': 'Garantie 2 ans', 'SKU': ' LG178EA1IYHP0NAFAMZ', 'Gamme de produits': ' derniers génération', 'Modèle': ' 6370', 'Taille (Longueur x Largeur x Hauteur cm)': ' 973 x 572 x 85', 'Poids (kg)': ' 8', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/lg-televiseur-43-smart-series-6-full-hdr-recepteur-integre-580329.html,15/09/2022 19:40:29
6,TN,Biolux TV LED - 40'' - FULL HD - Récepteur intégré - Noir - Garantie 3 ans,Biolux,719.00 TND,1,719.00 TND,TND,"{'FULL HD': 'FULL HD', 'TNT/PAL/SECAM/H.265HEVC': 'TNT/PAL/SECAM/H.265HEVC', 'RECEPTEUR INTEGRE': 'RECEPTEUR INTEGRE', '2.USB': '2.USB', '2.HDMI': '2.HDMI', 'DIGITAL AUDIO OUT (COAXIAL)': 'DIGITAL AUDIO OUT (COAXIAL)', 'DOLBY DIGITAL PLUS': 'DOLBY DIGITAL PLUS', 'Garantie 3 ans': 'Garantie 3 ans', 'SKU': ' BI395EA1N4BZGNAFAMZ', 'Taille (Longueur x Largeur x Hauteur cm)': ' 40', 'Poids (kg)': ' 7', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/biolux-tv-led-40-full-hd-recepteur-integre-noir-garantie-3-ans-599299.html,15/09/2022 19:40:30
7,TN,"LG Téléviseur 43"" – HDR – UHD 4K Smart + RÉCEPTEUR INTÉGRÉ – 43UP7750 PVB – Garantie 2 ans",LG,"1,594.00 TND",1,"1,594.00 TND",TND,"{'Real 4K UHD': 'Real 4K UHD', 'Optimiseur de jeu': 'Optimiseur de jeu', 'HGIG': 'HGIG', 'Alerte sportive': 'Alerte sportive', '4K upscaling': '4K upscaling', 'Garantie 2 ans': 'Garantie 2 ans', 'SKU': ' LG178EA05K80WNAFAMZ', 'Gamme de produits': ' Télévision', 'Modèle': ' 43UP7750 PVB', 'Poids (kg)': ' 5'}",https://www.jumia.com.tn/lg-televiseur-43-hdr-uhd-4k-smart-recepteur-integre-43up7750-pvb-garantie-2-ans-614390.html,15/09/2022 19:40:31
8,TN,Biolux LED TV 32'' - HD - Récepteur intégré - Noir - Garantie 3 ans,Biolux,498.90 TND,1,498.90 TND,TND,"{'HD': 'HD', 'TNT/PAL/SECAM/H.265HEVC': 'TNT/PAL/SECAM/H.265HEVC', 'RECEPTEUR INTEGRE': 'RECEPTEUR INTEGRE', '1.USB': '1.USB', '2.HDMI': '2.HDMI', 'DIGITAL AUDIO OUT (COAXIAL)': 'DIGITAL AUDIO OUT (COAXIAL)', 'DOLBY DIGITAL PLUS': 'DOLBY DIGITAL PLUS', 'Garantie 3 ans': 'Garantie 3 ans', 'SKU': ' BI395EA05JBJGNAFAMZ', 'Taille (Longueur x Largeur x Hauteur cm)': ' 32', 'Poids (kg)': ' 5', 'Couleur': ' NOIR'}",https://www.jumia.com.tn/biolux-led-tv-32-hd-recepteur-integre-noir-garantie-3-ans-599290.html,15/09/2022 19:40:32
9,TN,"TCL Téléviseur P735 43""-GOOGLE TV-Avec Cadeaux- Garantie 3 ans",TCL,"1,689.00 TND",1,"1,689.00 TND",TND,"{""Taille 43''"": ""Taille 43''"", 'Résolution 3840 x 2160': 'Résolution 3840 x 2160', 'HDR10': 'HDR10', 'Dolby Vision': 'Dolby Vision', 'Angle de vue 178°/178°': 'Angle de vue 178°/178°', 'GOOGLE TV': 'GOOGLE TV', 'TV Connectée ': ' Navigateur Internet', 'Wi-Fi • Bluetooth • DLNA v.1.5': 'Wi-Fi • Bluetooth • DLNA v.1.5', 'Traitements spéciaux ': ' HDR (HDR10, HDR HLG, Dolby Vision)', 'Dimming': 'Dimming', 'Garantie 3 ans': 'Garantie 3 ans', 'SKU': ' TC197EA06FD38NAFAMZ', 'Gamme de produits': ' dernière generation', 'Modèle': ' p735', 'Taille (Longueur x Largeur x Hauteur cm)': ' 965 x 621 x 229 mm', 'Poids (kg)': ' 7', 'Couleur': ' Noir'}",https://www.jumia.com.tn/tcl-televiseur-p735-43-google-tv-avec-cadeaux-garantie-3-ans-549701.html,15/09/2022 19:40:33
