,countrycode,category1,category2,tv_title,tv_make,Modèle,tv_price,numberofoffers,averageprice,currency,scrapelink,scrapedate,level_12,0
0,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Marque Thomson,Marque Thomson
1,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Référence ,  32TG7
2,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Taille de l'écran , 32 pouces / 81 cm
3,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Catégorie ,  LED TV
4,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Haute Définition (HD) ,HD TV
5,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Résolution Écran , 1366 x 768
6,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Taux de contraste , 3000
7,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Luminosité , 200cd/m2
8,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Angle de vision , 170/170
9,ALG,"TV, Vidéo & Home Cinéma",Télévisions,"THOMSON Téléviseur 32""- 32TG72 LED HD -Garantie 2 ans - Noir",THOMSON,,22500.0,1,22500.0,DZD,https://www.jumia.dz/thomson-televiseur-32-32tg72-led-hd-garantie-2-ans-noir-330349.html,30/03/2023 20:42:47,Format d’écran , 16
