,countrycode,category1,category2,tv_title,tv_make,Modèle,tv_price,numberofoffers,averageprice,currency,scrapelink,scrapedate,level_12,0
0,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,Afficher32 pouce sans cadre,Afficher32 pouce sans cadre
1,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,HD Ready,HD Ready
2,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,1366×768 Screen Resolution,1366×768 Screen Resolution
3,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,60Hz Refresh Rate,60Hz Refresh Rate
4,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,Brightness (cd/m2) , 200 nits
5,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,Taille Avec Support , 72cm * 48 cm
6,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,Taille Sans Support , 72cm * 42cm
7,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,Connectivité1 USB Ports,Connectivité1 USB Ports
8,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,2 HDMI Ports,2 HDMI Ports
9,TN,Télévisions,TV LED & LCD,"Echolink 32"" TV LED -HD32WG6 -Sans cadre - Récepteur intégré - & TNT Garantie 1an - Noir",Echolink, 32 Echolink Normal-03,1030.0,1,1030.0,TND,https://www.jumia.ma/echolink-32-tv-led-hd32wg6-sans-cadre-recepteur-integre-tnt-garantie-1an-noir-58614578.html,30/03/2023 19:51:02,DVD-S2 (Récepteur intégré),DVD-S2 (Récepteur intégré)
