,countrycode,category1,category2,tv_title,tv_make,Modèle,tv_price,numberofoffers,averageprice,currency,scrapelink,scrapedate,level_12,0
0,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Taille de l'écran," 32"""
1,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,TFT LED HD,TFT LED HD
2,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,réf , A32F1HB1
3,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Résolution, 1366 x 768 pixels
4,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Rapport de contraste, 3000
5,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Aspect Ratio, 16
6,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Luminosité, 200 cd/m²
7,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Angle de Vision, 176° H/176° V
8,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Temps de Réponse, 6.5 ms
9,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Indice de qualité d'image, 60Hz
10,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Haut-parleurs RMS, 2 x 8 Watts
11,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Connecteurs," 1 x Din (Antenne), 2 x USB, 3 x HDMI, 1 x Connecteur Coaxial, 1 x RCA (Audio/Vidéo)"
12,TN,Télévisions,TV LED & LCD,"Vega TV LED HD 32""  - Noir - Garantie 3 ans",Vega, A32F1HB1,359.0,1,359.0,TND,https://www.jumia.com.tn/vega-tv-led-hd-32-noir-garantie-3-ans-712641.html,30/03/2023 20:11:31,Couleur, Noir
