,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Submodelo,Edición,Tipo de consola,Tipo de alimentación,Formatos de juegos,Incluye juegos,Resolución máxima de salida de video,Cantidad de puertos USB,CPU,GPU,Velocidad del procesador,Cantidad de núcleos de CPU,Capacidad,Tipos de memoria,Memoria RAM,Conectividad de red móvil,Con Wi-Fi,Con S/PDIF,Con Bluetooth,Versión de Bluetooth,Incluye controles,Cantidad de controles incluidos,Conectividades de los controles,Altura x Ancho x Profundidad,Con apagado automático,Cantidad de puertos HDMI,Con ethernet,Apps integradas,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Memoria interna,Tipos de tarjeta de memoria,Capacidad máxima de la tarjeta de memoria,Con ranura para tarjeta de memoria,Cantidad de núcleos del procesador,Mes de lanzamiento,Año de lanzamiento,Tipo de resolución de la pantalla ,Resolución de la pantalla,Tecnología de la pantalla,Píxeles por pulgada de la pantalla,Brillo máximo de la pantalla,Relación de aspecto de la pantalla,Con pantalla táctil,Capacidad de la batería,Tipo de batería,Con carga rápida,Con carga inalámbrica,Con batería removible,Con lector de huella digital,Con reconocimiento facial,Clasificación IP,Con teclado QWERTY físico,Es resistente al agua,Es a prueba de agua,Es resistente al polvo,Con acelerómetro,Con sensor de proximidad,Con giroscopio,Con brújula,Con barómetro,Es Dual SIM,Tamaños de tarjeta SIM compatibles,Cantidad de ranuras para tarjeta SIM,Nombre del sistema operativo,Versión original del sistema operativo,Última versión compatible del sistema operativo,Capa original de personalización del sistema operativo,Red,Tipo de conector de carga,Con conector USB,Con conector jack 3.5 mm,Con GPS,Con NFC,Con sintonizador de TV,Resolución de la cámara trasera principal,Resolución de video de la cámara trasera,Resolución de la cámara frontal principal,Características principales de las cámaras,Resolución de las cámaras traseras,Apertura del diafragma de la cámara trasera,Apertura del diafragma de la cámara frontal,Cantidad de cámaras traseras,Cantidad de cámaras frontales,Zoom óptico,Zoom digital,Resolución de video de la cámara frontal,Con cámara,Con flash en la cámara frontal,Con IMEI,Incluye lápiz,Con VGA,Brillo,Tiempo de respuesta,Títulos de juegos incluidos,Aplicaciones soportadas,Cantidad máxima de FPS,Cantidad de juegos incluidos
0,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,BO,None,Televisores,bolivianos,,1380,,25,1380,(59 disponibles),,https://articulo.mercadolibre.com.bo/MBO-520822504-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=1&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:31:36,Samsung,Samsung,UN43AU7000PCZE,"Whats""""App  +1 (845) 8430031",Negro,200,Sí,Sí,LED,"43 """,4K,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Televisor Samsung 65 Qled 4k Smart Tv Hdmi Usb,BO,None,Televisores,bolivianos,,2071,,5,2071,(77 disponibles),,https://articulo.mercadolibre.com.bo/MBO-520809504-televisor-samsung-65-qled-4k-smart-tv-hdmi-usb-_JM#position=2&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:31:52,Samsung,QLED,PTV65P50AGSG,"Whats""""App  +1 (845) 8430031",Negro,200,Sí,Sí,QLED,"65 """,4K,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,BO,None,Televisores,bolivianos,,2085,,25,2085,(96 disponibles),,https://articulo.mercadolibre.com.bo/MBO-521674032-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=3&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:32:05,Samsung,,Au8000 85 Class Hdr 4k Uhd Smart Led Tv,,Negro,,Sí,Sí,OLED,"85 """,4K,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Samsung Un65tu7000 65 Smart Led Tv Crystal 4k-ultra Hd,BO,None,Televisores,bolivianos,,2150,,5,2150,(286 disponibles),,https://articulo.mercadolibre.com.bo/MBO-522064102-samsung-un65tu7000-65-smart-led-tv-crystal-4k-ultra-hd-_JM#position=4&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:32:19,Samsung,Au8000 85 Class Hdr 4k Uhd Smart Led Tv,Au8000 85 Class Hdr 4k Uhd Smart Led Tv,Samsung,Lavanda,110,Sí,Sí,LED,"65 """,4K,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Samsung - 70 Class 7 Series Led 4k Uhd Smart Tizen Tv,BO,None,Televisores,bolivianos,,2433,,5,2433,(79 disponibles),,https://articulo.mercadolibre.com.bo/MBO-521765008-samsung-70-class-7-series-led-4k-uhd-smart-tizen-tv-_JM#position=5&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:32:31,Samsung,,70 Class 7 Series Led 4k Uhd Smart Tizen Tv,,Negro,,Sí,Sí,LED,"70 """,4K,Sí,Sí,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Consola Sony Playstation 4 Pro 1tb 4k Consola De Videojuegos,BO,None,Televisores,bolivianos,,900,,25,900,(970 disponibles),,https://articulo.mercadolibre.com.bo/MBO-520822505-consola-sony-playstation-4-pro-1tb-4k-consola-de-videojuegos-_JM#position=6&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0ece,06/04/2023 17:32:44,Sony,PlayStation,PlayStation 4,,,,Sí,Sí,,,,,,,,,Pro,Standard,Plug and play TV game,Corriente eléctrica,"Digital,Blu-ray,DVD",Sí,3840 px x 2160 px,3,AMD Jaguar,AMD Radeon,2.1 GHz,8,1 TB,GDDR5,8 GB,4G,Sí,Sí,Sí,4,Sí,1,Inalámbrico,55 mm x 295 mm x 327 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65,BO,None,Televisores,bolivianos,,9552053,,3,9552053,(97 disponibles),,https://articulo.mercadolibre.com.bo/MBO-522077058-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=7&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:32:55,Sony,Bravia,A80k 4k Oled  65,Sony Bravia Xr A80k 4k Hdr,Negro,220V,Sí,Sí,OLED,"65 """,4K,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,BO,None,Televisores,bolivianos,,1650,,5,1650,(93 disponibles),,https://articulo.mercadolibre.com.bo/MBO-521147510-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=8&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:33:07,Samsung,,Au8000 85 Class Hdr 4k Uhd Smart Led Tv,"Whats""""App  +1 (408) 3573347",Negro,,Sí,Sí,OLED,"85 """,4K,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,BO,None,Televisores,bolivianos,,1642,,5,1642,(92 disponibles),,https://articulo.mercadolibre.com.bo/MBO-521193008-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=9&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:33:21,Samsung,Neo QLE,Qe75qn900a,"Whats""""App  +1 (408) 3573347",Negro,200,Sí,Sí,QLED,"75 """,4K,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,BO,None,Televisores,bolivianos,,3080,,3,3080,(97 disponibles),,https://articulo.mercadolibre.com.bo/MBO-521856116-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=10&search_layout=stack&type=item&tracking_id=8401fed7-b29e-4d2e-ac5e-f9e0eceb0784,06/04/2023 17:33:33,Sony,Bravia,KD-70X690E,,,110V/240V,Sí,Sí,LED,"70 """,4K,Sí,Sí,,,,,,,,,,,3,,,,,,,,,Sí,,No,,,,,,Sí,3,Sí,"Web browser,YouTube",3840 px - 2160 px,16:9,240 Hz,132.6 cm x 8.6 cm x 78.6 cm,27.7 kg,2,10 W,"Dolby Digital,Surround","Baterías,Cable de alimentación,Control remoto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
