,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Modelo alfanumérico,Voltagem,Frequência,É smart,É curvo,Sistema operativo,Com cabos escondidos,Com sistema de montagem VESA incorporado,Largura x Profundidade x Altura,Peso,Largura com suporte,Profundidade com suporte,Altura com suporte,Peso com suporte,Quantidade de alto-falantes,Potência máxima dos alto-falantes,Modos de som,Com função screen share,Com comando de voz integrado,Assistentes virtuais integrados,Apps integradas,Tipo de tela,Tamanho da tela,Tipo de resolução,Com HDR,Resolução máxima,Relação de aspecto,Taxa de atualização da tela,Com USB,Com HDMI,Quantidade de portas HDMI,Quantidade de portas USB,Com Wi-Fi,Com Bluetooth,Com ethernet,Com entrada S/PDIF,Com entrada por vídeo componente,Com entrada por vídeo composto,Com entrada de antena RF,Acessórios incluídos,Linha,Cor,É 3D,É portátil,Com desligamento automático,Ângulo de visão horizontal,Ângulo de visão vertical,Com VGA,Quantidade de núcleos do processador,Relação de contraste,Capacidade de armazenamento,Número de registro/certificação INMETRO,É kit,Organismo de certificação (OCP),Número de certificado de segurança elétrica,Brilho,Tempo de resposta,Países com controle mágico incluido,Largura x Altura,Largura
0,"Smart TV Samsung UN43AU7700GXZD LED Tizen 4K 43"" 100V/240V",BR,4.7,Televisores,reales,2899,1999,31,10,1999,(3648 disponíveis),620,https://www.mercadolivre.com.br/smart-tv-samsung-un43au7700gxzd-led-tizen-4k-43-100v240v/p/MLB18500640?pdp_filters=category:MLB1002#searchVariation=MLB18500640&position=1&search_layout=grid&type=produ,06/04/2023 17:57:24,Samsung,UN43AU7700G,UN43AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,192.5 mm,627.8 mm,8.3 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa, Bixby, Google Assistant","Web browser, Gallery, Netflix, Prime Video, GloboPlay, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",LED,"43 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
1,Smart Tv LG Ai Thinq 50uq801c0sb Led 4k 50  100v/240v,BR,4.9,Televisores,reales,2899,2499,13,5,2499,(1384 disponíveis),576,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-50uq801c0sb-led-4k-50-100v240v/p/MLB19600635?pdp_filters=category:MLB1002#searchVariation=MLB19600635&position=2&search_layout=grid&type=product&tr,06/04/2023 17:57:41,LG,50UQ801C,50UQ801C0SB,100V/240V,50 Hz/60 Hz,Sim,Não,webOS 6.0,Não,Sim,112 cm x 5.7 cm x 65.1 cm,11.8 kg,112 cm,23.1 cm,71.3 cm,12 kg,2,20 W,Ultra Surround,Sim,Sim,"Alexa, Google Assistant",Apple airplay,LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Não,Não,Não,Não,Sim,"Controle smart magic, Cabo de alimentação",AI ThinQ,Preto,Não,Não,Sim,178°,178°,Não,,,,,,,,,,,,
2,"Smart TV Philco PTV43D10AG11SKF LED Android TV Full HD 43"" 110V/220V",BR,4.8,Televisores,reales,2998,1698,43,1000,1698,(1061 disponíveis),289,https://www.mercadolivre.com.br/smart-tv-philco-ptv43d10ag11skf-led-android-tv-full-hd-43-110v220v/p/MLB21918644?pdp_filters=category:MLB1002#searchVariation=MLB21918644&position=3&search_layout=grid&,06/04/2023 17:57:55,Philco,PTV43D10AG11SKF,,110V/220V,,Sim,Não,Android TV,,Sim,955 mm x 100 mm x 555 mm,6.9 kg,955 mm,190 mm,603 mm,7.1 kg,2,30 W,Dolby Audio,Sim,Sim,Google Assistant,"Netflix, GloboPlay, Prime Video, YouTube, Google Play Store",LED,"43 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação, Base, Parafusos, Manual",,,,,,,,,4,,,,,,,,,,,
3,Smart Tv Aiwa 50  Android 4k Hdr10 Dolby Aws-tv-50-bl-02-a,BR,4.7,Televisores,reales,4528,2199,51,500,2199,(127 disponíveis),91,https://www.mercadolivre.com.br/smart-tv-aiwa-50-android-4k-hdr10-dolby-aws-tv-50-bl-02-a/p/MLB20921202?pdp_filters=category:MLB1002#searchVariation=MLB20921202&position=4&search_layout=grid&type=prod,06/04/2023 17:58:10,Aiwa,AWS-TV-50-BL-02-A,5026-01,110V/220V,,Sim,Não,,,,,,,,,,,,,,,,,LED,"50 """,4K,Sim,3840 px - 2160 px,,,Sim,Sim,,,Sim,,,,,,,,bl02a,Preto,Não,Não,,178°,178°,,,4000:01:00,,,,,,,,,,
4,Tv Smart LG 32'' Hd 32lq620 Wifi Bluetooth Hdr Thinqai Compatível Com Smart Magic Google Alexa 100v/240v,BR,4.7,Televisores,reales,1399,1245,11,5,1245,(36 disponíveis),437,https://www.mercadolivre.com.br/tv-smart-lg-32-hd-32lq620-wifi-bluetooth-hdr-thinqai-compativel-com-smart-magic-google-alexa-100v240v/p/MLB19570010?pdp_filters=category:MLB1002#searchVariation=MLB1957,06/04/2023 17:58:25,LG,32LQ620,,100V/240V,60Hz,Sim,Não,webOS 22,,,740 mm x 86 mm x 440 mm,4.9 kg,740 mm,180 mm,470 mm,4.95 kg,,,,,,,,LED,"32 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Sim,Sim,,,,,,ThinQ AI,Preto,Não,Não,,,,,,,,,,,,,,,,
5,"Smart TV Philips 6900 Series 43PFG6917/78 LED Android 10 Full HD 43"" 110V/240V",BR,4.7,Televisores,reales,2649,1799,32,5,1799,(2303 disponíveis),489,https://www.mercadolivre.com.br/smart-tv-philips-6900-series-43pfg691778-led-android-10-full-hd-43-110v240v/p/MLB19689638?pdp_filters=category:MLB1002#searchVariation=MLB19689638&position=6&search_lay,06/04/2023 17:58:39,Philips,43PFG6917,43PFG6917/78,110V/240V,50 Hz x 60 Hz,Sim,Não,Android 10,,,,,,,,,2,16 W,Dolby Atmos,,Sim,Google Assistant,"YouTube, Prime Video, Netflix, Disney+, Google Play Store",LED,"43 """,Full HD,Sim,1920 px - 1080 px,16:9,,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,,Sim,"Baterias, Cabo de alimentação, Guia de instalação, Suporte para mesa, Controle remoto",6900 Series,,,,Sim,,,,,,8 GB,,,,,,,,,
6,"Smart TV Samsung QN85Q70AAGXZD QLED Tizen 4K 85"" 100V/240V",BR,5.0,Televisores,reales,,18531,15,25,18531,(22 disponíveis),1,https://www.mercadolivre.com.br/smart-tv-samsung-qn85q70aagxzd-qled-tizen-4k-85-100v240v/p/MLB19051971?pdp_filters=category:MLB1002#searchVariation=MLB19051971&position=7&search_layout=grid&type=produ,06/04/2023 17:58:52,Samsung,QN85Q70AAG,QN85Q70AAGXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,,Sim,1901.7 mm x 26.9 mm x 1086.5 mm,41.5 kg,1901.7 mm,368.3 mm,1153 mm,43.2 kg,2,20 W,"Dolby Digital Plus, Adaptive Sound, Sound in Motion Plus, Q-Symphony",Sim,Sim,"Bixby, Google Assistant, Alexa","Web browser, Gallery, SmartThings, Samsung TV Plus, Netflix, Prime Video, GloboPlay, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",QLED,"85 """,4K,Sim,3840 px - 2160 px,16:9,120 Hz,Sim,Sim,4,2,Sim,Sim,Sim,Sim,Não,Sim,Sim,"Smart control TM2180E, Manual, Manual eletronico, Cabo de alimentação",,,,,Sim,,,,,,,,,,,,,,,
7,Smart Tv 43'' 4k Uhd Crystal Alexa 43au7700 Samsung Bivolt,BR,4.7,Televisores,reales,2899,1999,31,1000,1999,(3648 disponíveis),146,https://produto.mercadolivre.com.br/MLB-1848066223-smart-tv-43-4k-uhd-crystal-alexa-43au7700-samsung-bivolt-_JM#position=45&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70f,06/04/2023 17:59:06,Samsung,UN43AU7700G,UN43AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,19.25 cm,627.8 mm,8.3 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa,Bixby,Google Assistant","Web browser,Gallery,Netflix,Prime Video,GloboPlay,YouTube,Apple TV,TELECINE,Disney+,DAZN,HBO Go,Spotify,Deezer",LED,"43 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A,Baterias,Manual,Manual eletronico,Cabo de alimentação",2021,Cinza Titan,Não,Não,Sim,,,,,,,,,,,,,,,
8,Smart Tv 50'' 4k Android Hdr10 Dolby Aws-tv-50-bl-02-a Aiwa,BR,4.9,Televisores,reales,4528,2199,51,100,2199,(127 disponíveis),15,https://produto.mercadolivre.com.br/MLB-2850043621-smart-tv-50-4k-android-hdr10-dolby-aws-tv-50-bl-02-a-aiwa-_JM#position=46&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70,06/04/2023 17:59:20,Aiwa,AWS-TV-50-BL-02-A,5026-01,220V/240V,60,Sim,Não,Android,Não,Sim,111.3 cm x 3.1 cm x 64.3 cm,9.9 kg,111.3 cm,7.2 cm,70.1 cm,9.9 kg,2,10 W,Dolby Digital,Sim,Sim,Google Assistant,"Netflix,Prime Video,YouTube",LED,"50 """,4K,Sim,3840 px - 2160 px,,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Não,Sim,Não,Sim,Controle remoto,bl02a,Preto,Não,Não,Sim,178°,178°,Não,4,4000:01:00,,004.904/2022,Não,,,,,,,
9,Projetor Pj005 Tv Box,BR,None,Televisores,reales,,159,5,5,159,(87 disponíveis),,https://produto.mercadolivre.com.br/MLB-3275605703-projetor-pj005-tv-box-_JM#position=47&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70f8,06/04/2023 17:59:33,Generic,Mini projetor portátil,1,110V/220V,,Sim,Não,,,,,,,,,,,,,,,,,LED,"24 """,4K,Não,,,,Sim,Sim,,,,,,,,,,,1,Água,Não,Sim,,,,,,,,1,,Bureau Veritas Argentina S.A.,1,,,,,
