,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Con USB,Con HDMI,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es curvo,Es portátil,Voltaje,Es 3D,Tipo de pantalla,Peso,Cantidad de núcleos del procesador,Con Wi-Fi,Con Bluetooth,Con ethernet,Capacidad de almacenamiento,Sistema operativo,Cantidad de puertos HDMI,Cantidad de puertos USB,Con apagado automático,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Apps integradas,Frecuencia,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Brillo,Tiempo de respuesta,Es inflamable,Es kit,Con sistema de montaje VESA incorporado,Ancho x Altura,Ancho con soporte,Profundidad con soporte,Altura con soporte,Con entrada S/PDIF,Con entrada por video componentes,Con entrada de antena RF
0,Samsung  Qled New+sellados ,BO,None,Televisores,₡,,530000,,25,170,(170 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524275028-samsung-qled-newsellados-_JM#position=3&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:39:43,Samsung,QLED,QLED,Samsung,Negro,Sí,Sí,"48.5 """,4K,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pantalla Xiaomi Mi Tv P1 43  Smart Led Ultrahd 4k,BO,None,Televisores,U$S,,200,,25,74,(74 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523313085-pantalla-xiaomi-mi-tv-p1-43-smart-led-ultrahd-4k-_JM#position=4&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:39:47,Xiaomi,,Mi TV P1 43,,Negro,Sí,Sí,"43 """,4K,Sí,Sí,No,Sí,120,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Smart Tv Samsung 65  Nuevos + Accesorios ,BO,None,Televisores,₡,,320000,,5,89,(89 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524918513-smart-tv-samsung-65-nuevos-accesorios-_JM#position=5&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:39:51,Samsung,Smart,Au8000,Uhd,Turquesa,Sí,Sí,"65 """,4K,Sí,Sí,No,Sí,110V/220V,No,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Televisor Smart Tv Samsung  32 Pulgadas + Base + Obsequios,BO,None,Televisores,₡,,127000,,5,13,(13 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523352220-televisor-smart-tv-samsung-32-pulgadas-base-obsequios-_JM#position=7&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:39:56,Samsung,TV,Smart TV,Samsung,Negro,Sí,Sí,"32 """,4K,Sí,Sí,No,No,110V,No,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,BO,None,Televisores,₡,,185299,,5,86,(86 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525939140-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=11&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c,22/03/2023 08:40:10,Hisense,Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,,Negro,Sí,Sí,"75 """,4K,Sí,Sí,No,No,,Sí,ULED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pantalla Xiaomi Mi Tv P1e 65  4k Smart Led Nuevos Sellados,BO,None,Televisores,₡,,390000,,5,9,(9 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525705238-pantalla-xiaomi-mi-tv-p1e-65-4k-smart-led-nuevos-sellados-_JM#position=12&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c56,22/03/2023 08:40:13,Xiaomi,,Mi TV P1E 65,,Negro,Sí,Sí,"65 """,,Sí,Sí,,,,Sí,,18.4 kg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Samsung 65  Black S95b Oled 4k Smart Tv (2022),BO,None,Televisores,₡,,336000,,5,95,(95 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523638216-samsung-65-black-s95b-oled-4k-smart-tv-2022-_JM#position=13&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:40:16,Samsung,S95B Series 4K 2022,OLED,QN65S95BAFXZA,Negro,,Sí,"65 """,4K,,Sí,No,,"Whats""""App  +1 (920) 2386392",,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,BO,None,Televisores,₡,,289800,,5,91,(91 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523294620-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=15&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3,22/03/2023 08:40:22,Hisense,75 Class U9dg Serie 4k Uled 2022,Dual-cell,,Negro,,Sí,"85 """,,,Sí,,Sí,240,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Smart Tv De 75 Pulgadas 4k,BO,None,Televisores,₡,,200000,,5,116,(116 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524288195-smart-tv-de-75-pulgadas-4k-_JM#position=17&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:40:29,Samsung,TV,Smart TV,,,Sí,,"75 """,,No,Sí,No,No,,No,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pantalla Sony De 40 Pulgadas Smart Tv,BO,None,Televisores,₡,,210120,,1,97,(97 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523410501-pantalla-sony-de-40-pulgadas-smart-tv-_JM#position=18&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:40:32,Sony,Pulgadas,Smart Tv,,Negro,,,"75 """,Full HD,,Sí,,Sí,100V/240V,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Samsung 75  Tu7000 Titan Gray Crystal Uhd 4k Smart Hdtv ,BO,None,Televisores,₡,,166000,,1,97,(97 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524229604-samsung-75-tu7000-titan-gray-crystal-uhd-4k-smart-hdtv-_JM#position=20&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:40:40,Samsung,UHD 7 Series,UN75TU7000FXZA,75TU7000FXZA,Cristal gris titán,,,"75 """,4K,,Sí,,,"Whats""""App  +1 (920) 2386392",,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pantalla Xiaomi Mi Tv P1 55  Smart Led Ultrahd 4k,BO,None,Televisores,₡,,270000,,5,30,(30 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524619607-pantalla-xiaomi-mi-tv-p1-55-smart-led-ultrahd-4k-_JM#position=2&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:42:04,Xiaomi,P1,Mi TV P1 55,,Negro,Sí,Sí,"55 """,,Sí,Sí,,,,,Plasma,11.9 kg,,Sí,Sí,Sí,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,BO,None,Televisores,₡,,188387,,5,83,(83 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525217683-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=9&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:42:23,Sony,65 Class A8h Series Oled 4k Uhd Smart Android Tv,,,Negro,Sí,Sí,"65 """,4K,Sí,Sí,No,No,,Sí,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pantalla Samsung 50  Au7000 Uhd 4k Smart Tv,BO,None,Televisores,₡,,265000,,5,26,(26 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524567702-pantalla-samsung-50-au7000-uhd-4k-smart-tv-_JM#position=10&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:42:29,Samsung,TV,Smart TV,Samsung,Negro,Sí,Sí,"50 """,,Sí,Sí,,,,,,25.6 lb,,Sí,Sí,,,Tizen,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Xiaomi Mi 55'' P1 Smart 4k Tv Televisión + Garantía,BO,None,Televisores,U$S,,250,,5,93,(93 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523293996-xiaomi-mi-55-p1-smart-4k-tv-television-garantia-_JM#position=16&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:42:43,Xiaomi,P1,Smart 4k,,Negro,Sí,Sí,"55 """,4K,Sí,Sí,No,Sí,120/220,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
