,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Tamaño de la pantalla,Es smart,Con USB,Con HDMI,Color,Voltaje,Tipo de resolución,Es curvo,Es 3D,Tipo de pantalla,Con HDR,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Ancho,Es inflamable,Es kit,Capacidad de almacenamiento,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Frecuencia
0,Smart Tv Tcl 4k De 50 Pulgadas Uhdtv Con Garantía,BO,None,Televisores,$,,23999,,5,1,None,,https://articulo.mercadolibre.com.do/MRD-525853365-smart-tv-tcl-4k-de-50-pulgadas-uhdtv-con-garantia-_JM#position=2&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:07,TCL,Serie UHD,50S435,50S435,"50 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sony - 65 Class Bravia Xr A80j Series Oled 4k Uhd,BO,None,Televisores,$,,20000,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525665344-sony-65-class-bravia-xr-a80j-series-oled-4k-uhd-_JM#position=5&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:18,Sony,,,,"70 """,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Samsung Smart Tv 65 Pulgadas 4k Uhd Pantalla Curva Modelo,BO,None,Televisores,$,,17643,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525985555-samsung-smart-tv-65-pulgadas-4k-uhd-pantalla-curva-modelo-_JM#position=6&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f62970,22/03/2023 09:00:21,Samsung,,,,"65 """,Sí,Sí,,Negro,100V/240V,4K,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Smart Tv LG 32pulgadas 2 Años De Garantia ,BO,None,Televisores,$,,8000,,25,1,None,,https://articulo.mercadolibre.com.do/MRD-528071378-smart-tv-lg-32pulgadas-2-anos-de-garantia-_JM#position=9&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:32,LG,Smart TV,,,"32 """,Sí,Sí,Sí,,,4K,,Sí,LED,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,BO,None,Televisores,$,,25500,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-527306132-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=10&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f6,22/03/2023 09:00:35,Hisense,M5000 Series,HLE5017RTU,,"50 """,Sí,Sí,Sí,,100V/240V,4K,,,ULED,Sí,Sí,Sí,4,4,Sí,Sí,Sí,No,3840 px - 2160 px,16:9,460 cd/m²,9.5 ms,111.5 cm x 25.5 cm x 68.9 cm,14.2 kg,2,10 W,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,
5,Smart Tv De 24 Pulgadas De La Marca Onn,BO,None,Televisores,$,,7990,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-525814772-smart-tv-de-24-pulgadas-de-la-marca-onn-_JM#position=11&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:39,Onn,HD,,,"24 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Televisor Smart De 32 Pulgadas Livin Full Hd Tv Televisión ,BO,None,Televisores,$,,10450,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-527228018-televisor-smart-de-32-pulgadas-livin-full-hd-tv-television-_JM#position=13&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629,22/03/2023 09:00:46,,,,,"32 """,Sí,,,,,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tv Smart Hd Led Hyunday 32  Pulgadas,BO,None,Televisores,$,,14500,,,1,None,,https://articulo.mercadolibre.com.do/MRD-526770224-tv-smart-hd-led-hyunday-32-pulgadas-_JM#position=15&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:52,,,,,"32 """,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tv 32  Marca Livin Smart Tv Hd Pantalla Led Televisor,BO,None,Televisores,$,,10999,,,1,None,,https://articulo.mercadolibre.com.do/MRD-525040610-tv-32-marca-livin-smart-tv-hd-pantalla-led-televisor-_JM#position=16&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:00:54,,,,,"32 """,Sí,,,Brillante,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Televisor Samsung 40 , Smart Full Hd Tv ",BO,None,Televisores,$,,27450,,1,1,None,,https://articulo.mercadolibre.com.do/MRD-527305240-televisor-samsung-40-smart-full-hd-tv-_JM#position=18&search_layout=stack&type=item&tracking_id=da5f2a53-731a-40fe-9cc7-ad51f629706b,22/03/2023 09:01:01,Samsung,TV,Samsung,Samsung,"40 """,Sí,,,,,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
