,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Frecuencia,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Con entrada S/PDIF,Con entrada de antena RF,Países con control mágico incluido,Ángulo de visión horizontal,Ángulo de visión vertical,Con VGA,Cantidad de núcleos del procesador,Frecuencia de actualización de la pantalla,Capacidad de almacenamiento,Con entrada por video compuesto,Relación de contraste,Brillo,Tiempo de respuesta,Con entrada por video componentes
0,Televisor Samsung 65  Modelo Bu8000 2022 4k Uhd + Regalos ,EC,None,Televisores,U$S,,879,,100,1,None,,https://articulo.mercadolibre.com.ec/MEC-529081030-televisor-samsung-65-modelo-bu8000-2022-4k-uhd-regalos-_JM#position=24&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:38:46,Samsung,Series 8,UN65BU8000,UN65BU8000,Negro,110V/220V,Sí,Sí,LED,"65 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Smart TV Samsung Series 8 UN60AU8000FXZX LED 4K 60"" 110V - 127V",EC,None,Televisores,U$S,,789,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un60au8000fxzx-led-4k-60-110v-127v/p/MEC18535939?pdp_filters=category:MEC1002#searchVariation=MEC18535939&position=11&search_layout=stack&type,22/03/2023 09:38:52,Samsung,Series 8,UN60AU8000F,UN60AU8000FXZX,,110V - 127V,Sí,Sí,LED,"60 """,4K,Sí,Sí,,No,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1353 mm x 25.7 mm x 776.8 mm,18.6 kg,"Smart control TM2180A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Web browser, Gallery, Samsung TV Plus, Netflix, Prime Video, Hulu, Apple TV, Disney+, HBO Max, YouTube, Vudu, YouTube TV, ESPN, Samsung Health",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony, OTS-Lite",,,,,,,,,,,,,,,,,,
2,"Smart TV Samsung Series 7 UN55AU7000GCZB LED 4K 55"" 220V - 240V",EC,None,Televisores,U$S,,320,,50,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-7-un55au7000gczb-led-4k-55-220v-240v/p/MEC18718085?pdp_filters=category:MEC1002#searchVariation=MEC18718085&position=12&search_layout=stack&type,22/03/2023 09:38:55,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,220V - 240V,Sí,Sí,LED,"55 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,"Manual, Cable de alimentación, Manual electrónico, Adaptador AV, Control remoto TM2140A",Sí,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube TV",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony, Adaptive Sound",1230.5 mm,250.2 mm,783.3 mm,14.2 kg,Sí,Sí,,,,,,,,,,,,
3,Televisor Tcl 65 Pulgadas Qled C635 4k Android 2023 + Regalo,EC,None,Televisores,U$S,,789,,100,1,None,,https://articulo.mercadolibre.com.ec/MEC-529153024-televisor-tcl-65-pulgadas-qled-c635-4k-android-2023-regalo-_JM#position=25&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd,22/03/2023 09:38:58,TCL,C6-Series,65C635,65C635,Negro,110V,Sí,Sí,QLED,"65 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Televisor Samsung 50 Bu8000 2022 Control Carga Solar Regalos,EC,None,Televisores,U$S,,559,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-530688520-televisor-samsung-50-bu8000-2022-control-carga-solar-regalos-_JM#position=26&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4,22/03/2023 09:39:02,Samsung,Series 8,UN50BU8000,UN50BU8000,Negro,110V,Sí,Sí,LED,"50 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Smart Tv LG 50uq7500 Uhd 4k Thinq Ai 50  ,EC,None,Televisores,U$S,,489,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-528815160-smart-tv-lg-50uq7500-uhd-4k-thinq-ai-50-_JM#position=27&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:39:05,LG,AI ThinQ,50UQ7500,,Negro,100V/240V,Sí,Sí,LED,"50 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Televisor Tcl 55 Pulgadas P735 4k Android 2023 + Regalos ,EC,None,Televisores,U$S,,509,,25,1,None,,https://articulo.mercadolibre.com.ec/MEC-529094496-televisor-tcl-55-pulgadas-p735-4k-android-2023-regalos-_JM#position=28&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:39:08,TCL,P-Series,55P735,55P735,Negro,110V,Sí,Sí,LED,"55 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Televisor Tcl 75 Pulgadas P735 4k Android Uhd 2023 + Regalos,EC,None,Televisores,U$S,,1179,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529153012-televisor-tcl-75-pulgadas-p735-4k-android-uhd-2023-regalos-_JM#position=29&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd,22/03/2023 09:39:12,TCL,P-Series,75P735,75P735,Negro,110V/220V,Sí,Sí,LED,"75 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Smart TV LG OLED55E7P 4K 55"" 120V",EC,None,Televisores,U$S,,320,,5,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-oled55e7p-4k-55-120v/p/MEC8956550?pdp_filters=category:MEC1002#searchVariation=MEC8956550&position=15&search_layout=stack&type=product&tracking_id=a2289fa2-,22/03/2023 09:39:39,LG,,OLED55E7P,,,120V,Sí,Sí,OLED,"55 """,4K,Sí,Sí,,,,,webOS,,,,"48.7 "" x 2.2 "" x 30.2 """,37.7 lb,"Control remoto, Cable de alimentación",Sí,Sí,,"Netflix, Web browser",3840 px - 2160 px,16:9,4,3,Sí,,Sí,4,40 W,"Dolby Atmos, DTS-HD",,,,,,,México,,,,,,,,,,,
9,Televisor Samsung 43  Modelo Au7090 4k 2022 + Regalos ,EC,None,Televisores,U$S,,399,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529133018-televisor-samsung-43-modelo-au7090-4k-2022-regalos-_JM#position=35&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:39:42,Samsung,Series 7,un43AU7090,un43AU7090,Negro,110V,Sí,Sí,LED,"43 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
