,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Con HDR,Frecuencia,Con Wi-Fi,Con Bluetooth,Con ethernet,Con función screen share,Apps integradas,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Con comando de voz integrado,Asistentes virtuales integrados,Submodelo,Capacidad,Conectividad de red móvil,Tipo de consola,Cantidad de núcleos del procesador,Tiempo de respuesta,Países con control mágico incluido,Brillo,Con VGA,Memoria interna,Memoria RAM,Con ranura para tarjeta de memoria,Red,Tipo de conector de carga,Con conector USB,Con conector jack 3.5 mm,Con GPS,Con NFC,Con radio,Con sintonizador de TV,Resolución de la cámara trasera principal,Resolución de video de la cámara trasera,Resolución de la cámara frontal principal,Características principales de las cámaras,Resolución de las cámaras traseras,Apertura del diafragma de la cámara trasera,Resolución de las cámaras frontales,Apertura del diafragma de la cámara frontal,Cantidad de cámaras traseras,Cantidad de cámaras frontales,Zoom óptico,Zoom digital,Resolución de video de la cámara frontal,Con cámara,Con flash en la cámara frontal,Con lector de huella digital,Con reconocimiento facial,Con reconocimiento de iris,Altura x Ancho x Profundidad,Altura cerrado,Ancho cerrado,Profundidad cerrado,Con IMEI,Compañía telefónica,Incluye lápiz,Es Dual SIM,Tamaños de tarjeta SIM compatibles,Cantidad de ranuras para tarjeta SIM,Con eSIM,Nombre del sistema operativo,Versión original del sistema operativo,Capa original de personalización del sistema operativo,Modelo del procesador,Velocidad del procesador,Modelo de GPU,Tipo de resolución de la pantalla ,Resolución de la pantalla,Tecnología de la pantalla,Tecnología de la pantalla secundaria,Píxeles por pulgada de la pantalla,Brillo máximo de la pantalla,Tamaño de la pantalla secundaria,Píxeles por pulgada de la pantalla secundaria,Frecuencia de actualización de la pantalla secundaria,Resolución de la pantalla secundaria,Relación de aspecto de la pantalla,Relación de aspecto de la pantalla secundaria,Con pantalla táctil,Con pantalla secundaria táctil,Capacidad de la batería,Tipo de batería,Con carga rápida,Con carga inalámbrica,Con batería removible,Clasificación IP,Con teclado QWERTY físico,Es resistente al agua,Es resistente al polvo,Con acelerómetro,Con sensor de proximidad,Con giroscopio,Con brújula,Con barómetro
0,Televisor Samsung 65 Qled Smart Tv Hdmi Usb,GT,None,Televisores,Q,,1791,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-520736533-televisor-samsung-65-qled-smart-tv-hdmi-usb-_JM#position=2&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:04:46,Samsung,QLED,HG32ND450,HG32ND450SGXZD,Negro,100V/240V,No,No,No,No,74.5 cm x 6.9 cm x 44.2 cm,3.7 kg,"Cable de alimentación,Control remoto",LED,"32 """,HD,1366 px - 768 px,16:9,120 Hz,Sí,Sí,2,1,2,10 W,Dolby Digital Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LG 55 Pulgadas Clase Uq8000 Aub Serie Led 4k Uhd Inteligente,GT,None,Televisores,Q,,1550,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521997557-lg-55-pulgadas-clase-uq8000-aub-serie-led-4k-uhd-inteligente-_JM#position=5&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596,22/03/2023 11:04:56,LG,AI ThinQ,55UQ8000AUB,50UP7750PSB,Verde oscuro,220V,Sí,Sí,No,No,,,,LED,"55 """,,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Samsung Un65ks9800 Curved 65-inch 4k Super Ultra Hd Smart,GT,None,Televisores,Q,,1901,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520905523-samsung-un65ks9800-curved-65-inch-4k-super-ultra-hd-smart-_JM#position=6&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596572,22/03/2023 11:04:59,Samsung,Ultra Hd Smart,Curved 65-inch 4k Super,Un65ks9800,,100V/240V,Sí,,Sí,,,,,QLED,"65 """,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Smart Tv Philips 7000 Series 55pud7406/77 Led 4k 55  110v/24,GT,None,Televisores,Q,,951,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521653014-smart-tv-philips-7000-series-55pud740677-led-4k-55-110v24-_JM#position=7&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596572,22/03/2023 11:05:03,Philips,7000 Series,55PUD7406,,Negro,110V/240V,Sí,,No,No,,,,LED,"55 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,GT,None,Televisores,Q,,2650,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520938016-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=10&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:13,Sony,Bravia,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,,Verde oscuro,,Sí,Sí,,,,,,LED,"85 """,4K,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tv Samsung 43 Pulgadas Smart Tv,GT,None,Televisores,Q,,2509,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521555501-tv-samsung-43-pulgadas-smart-tv-_JM#position=11&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:16,Samsung,Series 7,UN55TU7000,UN55TU7000GCZB,Negro,220V - 240V,Sí,,,,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,"Cable de alimentación,Manual,Manual electrónico,Smart control TM1940A",LED,"55 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,2,1,2,20 W,Dolby Digital Plus,Sí,50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Apple TV,Gallery,Google Play Movies & TV,Netflix,Prime Video,Samsung Promotion,SmartThings,Web browser,YouTube",Tizen,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Smart Tv Samsung Series 6 Qn55q60aagczb Qled 4k 55  220v - 2,GT,None,Televisores,Q,,2330,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-521874005-smart-tv-samsung-series-6-qn55q60aagczb-qled-4k-55-220v-2-_JM#position=12&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd59657,22/03/2023 11:05:19,Samsung,Series 6,QN55Q60AAG,QN55Q60AAGCZB,Negro,100V/240V,Sí,,No,,1232.1 mm x 25.7 mm x 708.8 mm,15.5 kg,"Cable de alimentación,Manual,Manual electrónico,Smart control TM2180E",QLED,"55 """,4K,3840 px - 2160 px,16:9,,Sí,Sí,3,2,2,20 W,"Adaptive Sound,Dolby Digital Plus,OTS-Lite,Object Tracking Sound,Q-Symphony",Sí,50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Gallery,SmartThings,Web browser",Tizen,Sí,,Sí,Sí,Bixby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Xbox Series S Edicion Especial Fornite Rocket League Tienda,GT,None,Televisores,Q,,1570,,1,1,None,,https://articulo.mercadolibre.com.gt/MGT-520912021-xbox-series-s-edicion-especial-fornite-rocket-league-tienda-_JM#position=17&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd596,22/03/2023 11:05:36,Microsoft,Xbox,Xbox Series,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,S,512 GB,4G,Plug and play TV game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,GT,None,Televisores,Q,,1226,,50,1,None,,https://articulo.mercadolibre.com.gt/MGT-524012506-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=19&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:42,Samsung,Samsung,UN43AU7000PCZE,"Whats""""App  +1 (845) 8430031",Negro,100,Sí,Sí,No,Sí,,,,Plasma,"43 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Samsung Au8000 85 Class Hdr 4k Uhd Smart Led Tv,GT,None,Televisores,Q,,1960,,5,1,None,,https://articulo.mercadolibre.com.gt/MGT-520931506-samsung-au8000-85-class-hdr-4k-uhd-smart-led-tv-_JM#position=20&search_layout=stack&type=item&tracking_id=bef94e59-11bd-48a1-ac13-1ccd5965721f,22/03/2023 11:05:45,Samsung,Au8000,Au8000,,Negro,,Sí,Sí,No,No,,,,QLED,"75 """,4K,,,,Sí,Sí,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
