,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Con apagado automático,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Resolución máxima,Relación de aspecto,Brillo,Tiempo de respuesta,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Sistema operativo,Frecuencia de actualización de la pantalla,Modos de sonido,Color,Generación,Interfaces de audio y video,Resolución máxima de video,Calidad de audio,Aplicaciones compatibles,Dispositivos compatibles,Sistemas operativos mínimos requeridos,Formato del dispositivo,Tecnologías de streaming,CPU,Procesador gráfico,Tipos de puertos y conectores,Estándares Wi-Fi,Frecuencias,Largo,Ancho,Altura,Cantidad de núcleos del procesador,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Países con control mágico incluido,Con sistema de montaje VESA incorporado
0,Smartv Samsung 32 Pulgadas,HN,None,Televisores,U$S,,117,,5,1,None,,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:16:50,Samsung,Samsung,Samsung,UN32T4310AFXZX,110V,Sí,Sí,LED,"32 """,UHD,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Televisor Hisense 75 Class U9dg Serie Dual-cell 4k Uled 2022,HN,None,Televisores,L,,11050,,1,1,None,,https://articulo.mercadolibre.com.hn/MHN-514474508-televisor-hisense-75-class-u9dg-serie-dual-cell-4k-uled-2022-_JM#position=3&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288,22/03/2023 11:16:56,Hisense,M5000 Series,HLE5017RTU,,100V/240V,Sí,Sí,ULED,"50 """,4K,Sí,Sí,,,,Sí,4,4,Sí,Sí,Sí,No,3840 px - 2160 px,16:9,460 cd/m²,9.5 ms,111.5 cm x 25.5 cm x 68.9 cm,14.2 kg,2,10 W,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,HN,None,Televisores,L,,11050,,1,1,None,,https://articulo.mercadolibre.com.hn/MHN-514409508-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=5&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:03,Sony,Bravia,KD-60X690E,,110V/240V,Sí,Sí,LED,"60 """,4K,Sí,Sí,,,,Sí,3,3,Sí,No,Sí,,3840 px - 2160 px,16:9,,,135.68 cm x 8.6 cm x 78.61 cm,19 kg,2,20 W,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",Linux,240 Hz,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse",,,,,,,,,,,,,,,,,,,,,,,,
3,LG 55  Class 4k Uhd Oled Web Os Smart Tv With Dolby Vision ,HN,None,Televisores,U$S,,700,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514409504-lg-55-class-4k-uhd-oled-web-os-smart-tv-with-dolby-vision-_JM#position=8&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662,22/03/2023 11:17:12,LG,Smart TV,,,,,,,"55 """,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,HN,None,Televisores,U$S,,350,,5,1,None,,https://articulo.mercadolibre.com.hn/MHN-513441010-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=9&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:15,Samsung,Neo QLED 8K,Smart TV,Samsung,,,,,"65 """,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,HN,None,Televisores,L,,7444,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514539522-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=10&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:19,Sony,65 Class A8h Series Oled 4k Uhd Smart Android Tv,65 Class A8h Series Oled 4k Uhd Smart Android Tv,65 Class A8h Series Oled 4k Uhd Smart Android Tv,,Sí,Sí,OLED,"65 """,4K,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,,,,Negro,,,,,,,,,,,,,,,,,,,,,,,
6,Smart Tv Samsung 40 Pulgadas,HN,None,Televisores,U$S,,203,,5,1,None,,https://articulo.mercadolibre.com.hn/MHN-513428004-smart-tv-samsung-40-pulgadas-_JM#position=11&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:22,Samsung,Series 4,Smart TV,Samsung,100V/240V,Sí,Sí,LED,"40 """,Full HD,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tcl 6 Series/r635 2020 Qled Tv,HN,None,Televisores,U$S,,300,,1,1,None,,https://articulo.mercadolibre.com.hn/MHN-513395521-tcl-6-seriesr635-2020-qled-tv-_JM#position=13&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:28,TCL,,,,,,,,"55 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phillips 65  4k Android Smarttv Hdr Led Uhd Google Assistant,HN,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.hn/MHN-514435506-phillips-65-4k-android-smarttv-hdr-led-uhd-google-assistant-_JM#position=14&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288,22/03/2023 11:17:31,Philips,,,,,,,,"65 """,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,HN,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.hn/MHN-513454003-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=15&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,22/03/2023 11:17:35,Sony,Bravia XR,XR-65X90J,,,,,,"65 """,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
