,Country Code,Marca,Modelo,Modelo alfanumérico,category,name,quantity_available,Currency,original_price,offer_price,sales,date_scraped,scrape_link,level_13,Specification Value
0,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,state,None
1,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Línea,Samsung
2,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Voltaje,110V
3,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Con USB,Sí
4,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Con HDMI,Sí
5,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Tipo de pantalla,LED
6,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Tamaño de la pantalla,"32 """
7,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Tipo de resolución,UHD
8,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Con HDR,Sí
9,HN,Samsung,Samsung,UN32T4310AFXZX,Televisores,Smartv Samsung 32 Pulgadas,1,U$S,,117,5,22/03/2023 11:16:50,https://articulo.mercadolibre.com.hn/MHN-513389006-smartv-samsung-32-pulgadas-_JM#position=1&search_layout=stack&type=item&tracking_id=c5f5959a-90e4-484d-9c58-fea4288662a3,Es smart,Sí
