,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Voltaje,Tamaño de la pantalla,Con HDR,Es smart,Es portátil,Con USB,Con HDMI,Color,Tipo de pantalla,Tipo de resolución,Submodelo,Edición,Tipo de consola,Año de lanzamiento,Tipo de alimentación,Formatos de juegos,Incluye juegos,Resolución máxima de salida de video,CPU,GPU,Velocidad del procesador,Cantidad de núcleos de CPU,Capacidad,Tipos de memoria,Memoria RAM,Conectividad de red móvil,Con Wi-Fi,Con S/PDIF,Con Bluetooth,Incluye controles,Cantidad de controles incluidos,Conectividades de los controles,Altura x Ancho x Profundidad,Generación,Interfaces de audio y video,Resolución máxima de video,Calidad de audio,Aplicaciones compatibles,Dispositivos compatibles,Sistema operativo,Sistemas operativos mínimos requeridos,Formato del dispositivo,Tecnologías de streaming,Procesador gráfico,Tipos de puertos y conectores,Estándares Wi-Fi,Frecuencias,Largo,Ancho,Altura,Incluye cable HDMI,Es 3D,Es curvo,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Cantidad de puertos HDMI,Cantidad de puertos USB,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Con ethernet
0,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,NI,None,Televisores,C$,,8000,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,22/03/2023 11:49:10,LG,Class,UQ9000,UQ9000,100V/240V,"43 """,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,NI,None,Televisores,C$,,13876,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513915004-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=3&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:17,Samsung,Qe75qn900a,75 Neo Qled,8k Quantum Hdr Smart Tv,110V/220V,"75 """,Sí,Sí,,,,Negro,OLED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Samsung 75 The Terrace Black Qled 4k Full Sun Outdoor Smart,NI,None,Televisores,C$,,11679,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513785020-samsung-75-the-terrace-black-qled-4k-full-sun-outdoor-smart-_JM#position=5&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723,22/03/2023 11:49:24,Samsung,Qled 4k,75 The Terrace Black,Full Sun Outdoor Smart,110V/220V,"65 """,,Sí,Sí,,,Negro,OLED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sony Playstation 4 Pro 1tb Console ,NI,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513076504-sony-playstation-4-pro-1tb-console-_JM#position=6&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:27,Sony,PlayStation,PlayStation 4,,,,,,,Sí,Sí,,,,Pro,500 Million Limited Edition,Plug and play TV game,2018,Corriente eléctrica,"Blu-ray,Digital",No,3840 px x 2160 px,AMD Jaguar,AMD Radeon,2.13 GHz,8,1 TB,GDDR5,8 GB,4G,Sí,Sí,Sí,Sí,1,Inalámbrico,55 mm x 295 mm x 327 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tv Tcl 32 Smart Android Control Voz S7000 2 Regalos Año 2022,NI,None,Televisores,C$,,403932,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513850014-tv-tcl-32-smart-android-control-voz-s7000-2-regalos-ano-2022-_JM#position=7&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,22/03/2023 11:49:30,TCL,32 Smart,Android Control,Voz S7000 2 2,100V/240V,"42 """,,Sí,Sí,,,Negro,QLED,5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nvidia Shield Tv Pro 4k Hdr Streaming Media Player - ,NI,None,Televisores,C$,,5500,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513011503-nvidia-shield-tv-pro-4k-hdr-streaming-media-player--_JM#position=9&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:37,Nvidia,Shield,Shield TV Pro Versión 2019,,,,,,,,,,,,,,,,,,,,Cortex-A57 Quad-Core,,,,,,,,Sí,,Sí,,,,,1.ª generación,HDMI,4K,"DTS-HD,DTS-X,Dolby Atmos,Dolby Digital,Dolby Digital Plus,Dolby TrueHD","Amazon Music,Amazon Prime Video,Google Play Games,Google Play Movies & TV,Google Play Store,IMDb TV,Netflix,Plex,Vudu,YouTube,YouTube Music","Celulares,Computadoras,Televisores",Android TV 9.0 Pie,"Android,iOS",TV Box,Chromecast,Nvidia Maxwell 256-Core,"Ethernet,USB-A",IEEE 802.11ac,"2.4 GHz,5 GHz",15.9 cm,2.593 cm,9.8 cm,,,,,,,,,,,,,,,
6,Sunbrite 55 Veranda 3 Series Full-shade Outdoor 4k Smart Hdr,NI,None,Televisores,C$,,300012,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513746022-sunbrite-55-veranda-3-series-full-shade-outdoor-4k-smart-hdr-_JM#position=12&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf7,22/03/2023 11:49:47,Sunbrite,55 Veranda 3 Series Full-shade,Outdoor 4k Smart,Hdr,100V/240V,"55 """,Sí,Sí,,,,Negro,LED,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Roku Streaming Stick 4k (2021) - 3820r ,NI,None,Televisores,U$S,,55,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513135007-roku-streaming-stick-4k-2021-3820r-_JM#position=13&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:50,Roku,,Streaming Stick 4K,3820,,,,,,,,,,,,,,,,,,,Cortex-A55,,,,,,,,Sí,,,,,,,,HDMI,4K,"DTS,Dolby","Apple TV,CBS,Discovery+,Disney+,ESPN,HBO Max,Hulu,iHeartRadio,Netflix,News,Paramount+,Peacock,Redbox,Roku Channel,Telemundo,Amazon Prime Video,Run Time,Pluto TV,DirecTV Go,Crunchyroll,Plex",Televisores,Roku OS,Roku OS 10.5,Stick,,,"Micro-USB,USB",IEEE 802.11ac,,94.5 mm,21.1 mm,11.5 mm,,,,,,,,,,,,,,,
8,LG 75 Nanocell 99 Series 8k Smart Uhd Tv Con Ai Thinq,NI,None,Televisores,C$,,399375,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513889012-lg-75-nanocell-99-series-8k-smart-uhd-tv-con-ai-thinq-_JM#position=14&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:53,LG,75 Nanocell,99 Series 8k,Smart Uhd Tv Con Ai Thinq,220,"75 """,,Sí,Sí,,,Negro,ULED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Roku Streambar Pro - 9101r2 ,NI,None,Televisores,U$S,,120,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513044029-roku-streambar-pro-9101r2-_JM#position=15&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:56,Roku,,Streambar,9102,,,,,,,,,,,,,,,,,,,MStar-C2,,,,,,,,Sí,,Sí,,,,,,"HDMI,S/PDIF óptico",4K,Dolby Audio,"Amazon Prime Video,All 4,BBC iPlayer,Disney+,ITV Hub,My5,Netflix,Now,Plex,Roku Channel","Televisores,Celulares",Roku OS,,TV Box,AirPlay,,USB-A,IEEE 802.11ac,"2.4 GHz,5 GHz",106.6 mm,355.6 mm,60.9 mm,Sí,,,,,,,,,,,,,,
