,Country Code,Marca,Modelo,Modelo alfanumérico,category,name,quantity_available,Currency,original_price,offer_price,sales,date_scraped,scrape_link,level_13,Specification Value
0,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,state,None
1,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Línea,Class
2,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Voltaje,100V/240V
3,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Tamaño de la pantalla,"43 """
4,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Con HDR,Sí
5,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Es smart,Sí
6,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Es portátil,Sí
7,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Con USB,Sí
8,NI,LG,UQ9000,UQ9000,Televisores,LG 43-inch Class Uq9000 Series Alexa Built-in 4k Smart Tv-20,1,C$,,8000,1,22/03/2023 11:49:10,https://articulo.mercadolibre.com.ni/MNI-512992001-lg-43-inch-class-uq9000-series-alexa-built-in-4k-smart-tv-20-_JM#position=1&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,Con HDMI,Sí
9,NI,Samsung,75 Neo Qled,8k Quantum Hdr Smart Tv,Televisores,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,1,C$,,13876,,22/03/2023 11:49:17,https://articulo.mercadolibre.com.ni/MNI-513915004-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=3&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,state,None
