,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Tamaño de la pantalla,Con HDR,Es smart,Marca,Modelo,Interfaces de audio y video,Resolución máxima de video,Capacidad de almacenamiento,Memoria RAM,Formato del dispositivo,Tipo de pantalla,Tipo de resolución,Con USB,Con HDMI,Línea,Color,Voltaje,Es portátil,Modelo alfanumérico
0,New Bravia Xr77a80ju 77  Smart 4k Ultra Hd Hdr Oled Tv ,PA,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.pa/MPA-520875506-new-bravia-xr77a80ju-77-smart-4k-ultra-hd-hdr-oled-tv-_JM#position=32&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:03:34,"82 """,Sí,Sí,,,,,,,,,,,,,,,,
1,Android Tv Box Cajilla X98q Con Un Mes Gratis De Iptv,PA,None,Televisores,B/.,,60,,,1,None,,https://articulo.mercadolibre.com.pa/MPA-522539534-android-tv-box-cajilla-x98q-con-un-mes-gratis-de-iptv-_JM#position=35&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:03:45,,,,X98Q,X98Q,HDMI,4K,16 GB,2 GB,TV Box,,,,,,,,,
2,Televisor Sankey Smartv 32 ,PA,None,Televisores,B/.,,100,,,1,None,,https://articulo.mercadolibre.com.pa/MPA-522929584-televisor-sankey-smartv-32-_JM#position=37&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:03:51,"32 """,,Sí,,,,,,,,LED,Full HD,Sí,Sí,,,,,
3,Brand New Sony Bravia Xr 65 X90j 4k Ultra Smart Tv,PA,None,Televisores,B/.,,300,,1,1,None,,https://articulo.mercadolibre.com.pa/MPA-522071530-brand-new-sony-bravia-xr-65-x90j-4k-ultra-smart-tv-_JM#position=1&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:05:26,"65 """,,Sí,Brand New Sony,X90j 4k Ultra Smart Tv,,,,,,OLED,Full HD,,,Bravia Xr 65,Negro,220V,Sí,
4,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,PA,None,Televisores,B/.,,300,,1,1,None,,https://articulo.mercadolibre.com.pa/MPA-522006548-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=2&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833,22/03/2023 12:05:33,"75 """,,,Hisense,75-inch U7g,,,,,,OLED,Full HD,,,Uled Premium,Negro,110V/220V,Sí,Quantum Dot Qled Series Tv
5,Controles Para Todas Las Marca Tv Smart Tv,PA,None,Televisores,B/.,,7,,,1,None,,https://articulo.mercadolibre.com.pa/MPA-521545032-controles-para-todas-las-marca-tv-smart-tv-_JM#position=3&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:05:39,,,,,,,,,,,,,,,,,,,
6,Selectron Técnico Taller Tv Y Domicilio En Area Centrica. ,PA,None,Televisores,B/.,,10,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-513322503-selectron-tecnico-taller-tv-y-domicilio-en-area-centrica-_JM#position=4&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9a,22/03/2023 12:05:46,,,,,,,,,,,,,,,,,,,
7,Control Remoto Universal Para Tv Smart Tv,PA,None,Televisores,B/.,,7,,5,1,None,,https://articulo.mercadolibre.com.pa/MPA-521629526-control-remoto-universal-para-tv-smart-tv-_JM#position=5&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:05:51,,,,,,,,,,,,,,,,,,,
8,Venta De Tarjetas De Tv Video Led LG,PA,None,Televisores,U$S,,90,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-517723030-venta-de-tarjetas-de-tv-video-led-lg-_JM#position=6&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-9ab2-b1508833e8dc,22/03/2023 12:05:58,,,,,,,,,,,,,,,,,,,
9,Samsung Tecnico Taller Reparaciones Tv Lavadora Microondas,PA,None,Televisores,B/.,,10,,,1,None,,https://reparacion-instalacion.mercadolibre.com.pa/MPA-509487630-samsung-tecnico-taller-reparaciones-tv-lavadora-microondas-_JM#position=7&search_layout=stack&type=item&tracking_id=2d2c75a2-0b1d-4b28-,22/03/2023 12:06:04,,,,,,,,,,,,,,,,,,,
