,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Tipo de resolución,Resolución máxima,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Relación de aspecto,Frecuencia de actualización de la pantalla,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Apps integradas
0,Televisor Samsung 65 Qled 4k Smart Tv Hdmi Usb,PY,None,Televisores,₲,,2522268,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-521166528-televisor-samsung-65-qled-4k-smart-tv-hdmi-usb-_JM#position=2&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:23,Samsung,QLED,PTV65P50AGSG,Samsung,Negro,110V/220V,Sí,Sí,QLED,"65 """,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,
1,Smart Tv Samsung Qled 65 Inches,PY,None,Televisores,U$S,,300,,5,1,None,,https://articulo.mercadolibre.com.py/MPY-520711502-smart-tv-samsung-qled-65-inches-_JM#position=3&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:27,Samsung,Qled,Qled,Q802,Negro,220V,Sí,Sí,QLED,"65 """,Sí,Sí,Sí,Sí,Sí,4K,,,,,,,,,,,,,,,,,
2,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,PY,None,Televisores,U$S,,300,,5,1,None,,https://articulo.mercadolibre.com.py/MPY-519931502-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=4&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:30,Sony,TV,,,,,,,,"65 """,,Sí,,,,,,,,,,,,,,,,,,,,,
3,LG Signature Z9 88 Inch Class 8k Smart Oled Tv With Ai Th,PY,None,Televisores,U$S,,600,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520178503-lg-signature-z9-88-inch-class-8k-smart-oled-tv-with-ai-th-_JM#position=5&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a042607,22/03/2023 12:18:34,LG,Signature,Z9,,Coral   wa`tsA K +1  (202   984-   5105),220V,Sí,Sí,QLED,"88 """,Sí,Sí,No,,Sí,5K,,,,,,,,,,,,,,,,,
4,Samsung Js9500 65 Clase 4k Suhd Smart 3d Televisor Led Curvo,PY,None,Televisores,U$S,,600,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520360519-samsung-js9500-65-clase-4k-suhd-smart-3d-televisor-led-curvo-_JM#position=6&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a042,22/03/2023 12:18:37,Samsung,Samsung JS9500 65 Clase 4K SUHD Smart 3D Televisor LED curvo,Samsung JS9500 65 Clase 4K SUHD Smart 3D Televisor LED curvo,Samsung JS9500 65 Clase 4K SUHD Smart 3D Televisor LED curvo,,,Sí,Sí,,"65 """,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,
5,Samsung Qled 8k Uhd Smart Tv,PY,None,Televisores,₲,,500,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520867512-samsung-qled-8k-uhd-smart-tv-_JM#position=7&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:40,Samsung,QLED,8k,8kUHD,Negro,220V,,,ULED,"85 """,,Sí,Sí,,,,,,,,,,,,,,,,,,,,
6,LG Bx Tv Oled Inteligente 4k Clase De 65 Pulgadas Ai Think,PY,None,Televisores,U$S,,700,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520113550-lg-bx-tv-oled-inteligente-4k-clase-de-65-pulgadas-ai-think-_JM#position=8&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a04260,22/03/2023 12:18:44,LG,AI ThinQ,LG OLED65BXPUA,LG OLED65BXPUA,,,,,,"65 """,,,,,,,,,,,,,,,,,,,,,,,
7,"Hisense 4k 50  Clase 50r63g, Último Modelo",PY,None,Televisores,U$S,,350,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520594507-hisense-4k-50-clase-50r63g-ultimo-modelo-_JM#position=9&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:47,HISENSE 4K 50,HISENSE 4K 50,HISENSE 4K 50,HISENSE 4K 50,,110V/220V,Sí,Sí,LED,"50 """,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,
8,2020 Samsung 70 Class 6-series 4k Ultra,PY,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-521907586-2020-samsung-70-class-6-series-4k-ultra-_JM#position=10&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:51,Samsung,series-6,4k Ultra,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Samsung Qn85qn900bfxza 85  Class Neo Qled 8k Smart Tv (2022),PY,None,Televisores,U$S,,2399,,,1,None,,https://articulo.mercadolibre.com.py/MPY-522297556-samsung-qn85qn900bfxza-85-class-neo-qled-8k-smart-tv-2022-_JM#position=11&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a04260,22/03/2023 12:18:54,Samsung,Series 4,QN85QN900BFXZA,QN85QN900BFXZA,Plateado,4k,Sí,Sí,LED,"85 """,Sí,Sí,Sí,,Sí,4K,,,,,,,,,,,,,,,,,
