,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Voltaje,Frecuencia,Es smart,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con entrada S/PDIF,Con entrada por video compuesto,Con entrada de antena RF,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Línea,Modelo alfanumérico,Color,Tipo de pantalla,Es 3D,Es curvo,Es portátil,Con sistema de montaje VESA incorporado,Con entrada por video componentes,Países con control mágico incluido,Con apagado automático,Con VGA,Tiempo de respuesta,Duración del producto,Brillo,Ancho x Altura
0,"Smart TV Xiaomi Mi TV P1 55 4K 55"" 100V/240V",PE,4.8,Televisores,S/,2299,1499,34,100,1,None,34,https://www.mercadolibre.com.pe/smart-tv-xiaomi-mi-tv-p1-55-4k-55-100v240v/p/MPE18916946?pdp_filters=category:MPE1002#searchVariation=MPE18916946&position=1&search_layout=stack&type=product&tracking_i,22/03/2023 12:30:26,Xiaomi,Mi TV P1 55,100V/240V,50 Hz x 60 Hz,Sí,4,16 GB,Android 10,Sí,Sí,3,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,"Netflix, Prime Video","55 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,60 Hz,1234.9 mm x 89.2 mm x 724.6 mm,11.7 kg,1234.9 mm,285.3 mm,782.2 mm,11.9 kg,2,20 W,"Dolby Audio, DTS-HD","Tornillos, Base, Manual, Cable de alimentación, Control remoto",,,,,,,,,,,,,,,,
1,Televisor Samsung Smart Tv 55  Uhd 4k Un55au7090gxpe,PE,4.9,Televisores,S/,2399,1499,37,100,1,None,15,https://www.mercadolibre.com.pe/televisor-samsung-smart-tv-55-uhd-4k-un55au7090gxpe/p/MPE21835850?pdp_filters=category:MPE1002#searchVariation=MPE21835850&position=2&search_layout=stack&type=product&t,22/03/2023 12:30:30,Samsung,UN55AU7090G,,,Sí,,,,,,,,,,,,,,,,,,"55 """,,,,,,,,,,,,,,,,,,TV,UN55AU7090G,Negro,LED,No,No,No,,,,,,,,,
2,Televisor Samsung Smart Tv 65  Uhd 4k Un65au7090g,PE,4.6,Televisores,S/,3099,1899,38,50,1,None,5,https://www.mercadolibre.com.pe/televisor-samsung-smart-tv-65-uhd-4k-un65au7090g/p/MPE21835848?pdp_filters=category:MPE1002#searchVariation=MPE21835848&position=3&search_layout=stack&type=product&trac,22/03/2023 12:30:33,Samsung,UN65AU7090G,,,Sí,,,,,,,,,,,,,,,,,,"65 """,4K,,,,,,,,,,,,,,,,,Series 7,UN65AU7090G,Negro,,No,No,No,,,,,,,,,
3,"Smart TV LG AI ThinQ 55UP7750PSB LED 4K 55"" 100V/240V",PE,5.0,Televisores,S/,1999,1799,10,100,1,None,11,https://www.mercadolibre.com.pe/smart-tv-lg-ai-thinq-55up7750psb-led-4k-55-100v240v/p/MPE18453149?pdp_filters=category:MPE1002#searchVariation=MPE18453149&position=5&search_layout=stack&type=product&t,22/03/2023 12:30:41,LG,55UP7750,100V/240V,50 Hz x 60 Hz,Sí,4,,webOS 6.0,Sí,Sí,3,2,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,ThinQ AI,"Web browser, Apple TV, Disney+, Netflix","55 """,4K,Sí,3840 px - 2160 px,,,16:9,60 Hz,1235 mm x 57.5 mm x 715 mm,14 kg,1235 mm,231 mm,776 mm,14.2 kg,2,20 W,"Ultra Surround, Clear Voice, AI Sound, Dolby Digital","Control remoto, Cable de alimentación, Base, Baterías",AI ThinQ,55UP7750PSB,,LED,,,,Sí,No,"Colombia, Perú",,,,,,
4,"Smart TV LG Evo OLED55C2PSA 4K 55"" 100V/240V",PE,5.0,Televisores,S/,,5399,,5,1,None,3,https://www.mercadolibre.com.pe/smart-tv-lg-evo-oled55c2psa-4k-55-100v240v/p/MPE21283984?pdp_filters=category:MPE1002#searchVariation=MPE21283984&position=6&search_layout=stack&type=product&tracking_i,22/03/2023 12:30:44,LG,OLED55C2,100V/240V,50 Hz x 60 Hz,Sí,4,,webOS 22,Sí,Sí,4,3,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,ThinQ AI,"Netflix, Disney+, Prime Video, Apple TV+, HBO Max, LG Channels, LG Content Store, Gallery, Music, Web browser, YouTube, Claro Video, Directv GO","55 """,4K,Sí,3840 px - 2160 px,,,16:9,120 Hz,1222 mm x 45.1 mm x 703 mm,12.7 kg,1222 mm,230 mm,757 mm,14.6 kg,4,40 W,"Dolby Atmos, AI Sound Pro, AI Acoustic Tuning, LG Sound Sync, Clear Voice Pro, Dolby Digital, Sound Share","Control remoto, Cable de alimentación, Guía de instalación, Tornillos, Manual, Baterías, Base",Evo,OLED55C2PSA,,OLED,,No,,Sí,,"Brasil, México, Argentina, Chile, Colombia, Uruguay",Sí,,,,,
5,Tv Samsung Smart Tv 50  Uhd 4k Un50au7090gxpe,PE,4.5,Televisores,S/,2199,1459,33,25,1,None,2,https://www.mercadolibre.com.pe/tv-samsung-smart-tv-50-uhd-4k-un50au7090gxpe/p/MPE21788043?pdp_filters=category:MPE1002#searchVariation=MPE21788043&position=7&search_layout=stack&type=product&tracking,22/03/2023 12:30:48,Samsung,UN50AU7090GXPE,,,Sí,,,,,,,,,,,,,,,,,,"50 """,4K,,,,,,,,,,,,,,,,,TV,UN50AU7090GXPE,Negro,LED,No,No,No,,,,,,,,,
6,Televisor Samsung Smart Tv 43  Uhd 4k Un43au7090gxpe,PE,4.0,Televisores,S/,2099,1389,33,5,1,None,1,https://www.mercadolibre.com.pe/televisor-samsung-smart-tv-43-uhd-4k-un43au7090gxpe/p/MPE21643360?pdp_filters=category:MPE1002#searchVariation=MPE21643360&position=10&search_layout=stack&type=product&,22/03/2023 12:31:00,Samsung,UN43AU7090G,,,Sí,,,,,,,,,,,,,,,,,,"43 """,,,,,,,,,,,,,,,,,,Series 7,UN43AU7090G,Negro,LED,No,No,No,,,,,,,,,
7,Televisor Samsung Smart Tv 55  Qled 4k Qn55q65bagxpe (2022),PE,5.0,Televisores,S/,2599,1919,26,50,1,None,4,https://articulo.mercadolibre.com.pe/MPE-620006019-televisor-samsung-smart-tv-55-qled-4k-qn55q65bagxpe-2022-_JM#position=21&search_layout=stack&type=item&tracking_id=61298ac8-411d-4ed2-a5f3-10198e83d8,22/03/2023 12:31:04,Samsung,Smart TV,,,Sí,,,,,,,,,,,,,,,,,,"55 """,,,,,,,,,,,,,,,,,,The Frame,Samsung,,,,,,,,,,,,,,
8,"Smart TV Xiaomi Mi TV P1 50 LED 4K 50"" 100V/240V",PE,None,Televisores,S/,1829,1572,14,5,1,None,,https://www.mercadolibre.com.pe/smart-tv-xiaomi-mi-tv-p1-50-led-4k-50-100v240v/p/MPE18926048?pdp_filters=category:MPE1002#searchVariation=MPE18926048&position=11&search_layout=stack&type=product&track,22/03/2023 12:31:07,Xiaomi,Mi TV P1 50,100V/240V,50 Hz x 60 Hz,Sí,4,16 GB,Android 10,Sí,Sí,3,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,"Netflix, Prime Video, YouTube, Google Play Store, Google Play Movies & TV, PatchWall","50 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,60 Hz,1117.2 mm x 83.6 mm x 652.5 mm,9.8 kg,1117.2 mm,276.8 mm,710.6 mm,9.9 kg,2,20 W,"Dolby Audio, DTS-HD, Standard","Control remoto, Manual, Cable de alimentación, Base, Tornillos",,,,LED,,,,,,,,,,,,
9,"Smart TV Sony X85J Series KD-65X85J LCD 4K 65"" 220V - 240V",PE,None,Televisores,S/,5999,4499,25,5,1,None,,https://www.mercadolibre.com.pe/smart-tv-sony-x85j-series-kd-65x85j-lcd-4k-65-220v-240v/p/MPE18562453?pdp_filters=category:MPE1002#searchVariation=MPE18562453&position=12&search_layout=stack&type=prod,22/03/2023 12:31:10,Sony,KD-65X85J,220V - 240V,50 Hz x 60 Hz,Sí,,16 GB,Android TV,Sí,Sí,4,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,,"Google Play Store, Web browser","65 """,4K,Sí,3840 px - 2160 px,,,16:9,100 Hz,1452 mm x 72 mm x 834 mm,22.1 kg,1452 mm,338 mm,905 mm,,2,20 W,"DTS, Dolby Audio, Dolby Atmos, DTS Digital Surround","Soporte para la mesa, Baterías, Guía de instalación, Control remoto, Manual, Cable de alimentación",X85J Series,,,LCD,,,,Sí,No,,Sí,,,,,
