,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Con USB,Con HDMI,Con Wi-Fi,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con VGA,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Modos de sonido,Relación de contraste,Brillo,Tiempo de respuesta,Con Bluetooth,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Con comando de voz integrado,Asistentes virtuales integrados,Frecuencia,Con sistema de montaje VESA incorporado,Con función screen share,Frecuencia de actualización de la pantalla,Países con control mágico incluido,Con cables ocultos
0,Smart Tv Motorola Android Tv 43 Fullhd + Hdr + Comando De Voz + Bluetooth,UY,4.8,Televisores,U$S,469,333,28,100,629,(629 disponibles),84,https://www.mercadolibre.com.uy/smart-tv-motorola-android-tv-43-fullhd-hdr-comando-de-voz-bluetooth/p/MLU19738325?pdp_filters=category:MLU1002#searchVariation=MLU19738325&position=3&search_layout=grid,22/03/2023 12:58:08,Motorola,Smart TV,MOT43FLC13,BCDH-43A,Negro,110V/240V,Sí,No,No,No,LCD,"43 """,Full HD,Sí,1920 px - 1080 px,178°,178°,16:9,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Smart TV Enxuta LEDENX1232SDF2KA HD 32"" 110V/240V",UY,4.5,Televisores,U$S,,167,50,1000,1000,(1000 disponibles),164,https://www.mercadolibre.com.uy/smart-tv-enxuta-ledenx1232sdf2ka-hd-32-110v240v/p/MLU16639088?pdp_filters=category:MLU1002#searchVariation=MLU16639088&position=4&search_layout=grid&type=product&tracki,22/03/2023 12:58:12,Enxuta,,LEDENX1232SDF2KA,,,110V/240V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,Sí,4,4 GB,Android Nougat,Sí,731.5 mm x 88.1 mm x 433.4 mm,4,80 W,"Control remoto, Baterías, Manual, Soporte para la mesa",Web browser,2,2,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,
2,Smart Tv Motorola Android Tv 55 Uhd 4k Hdr + Comando De Voz + Bluetooth,UY,4.8,Televisores,U$S,752,569,24,100,712,(712 disponibles),57,https://www.mercadolibre.com.uy/smart-tv-motorola-android-tv-55-uhd-4k-hdr-comando-de-voz-bluetooth/p/MLU19745921?pdp_filters=category:MLU1002#searchVariation=MLU19745921&position=5&search_layout=grid,22/03/2023 12:58:16,Motorola,Smart TV,MOT55ULC13,BCDH-55,Negro,110V/240V,Sí,No,No,No,LCD,"55 """,4K,Sí,3840 px - 2160 px,176°,176°,16:9,Sí,Sí,Sí,4,8 GB,Android 11,Sí,122.8 cm x 7.3 cm x 71.1 cm,2,16 W,Control remoto,"Disney+, Netflix, YouTube",3,2,Sí,No,12.5 kg,122.8 cm,29.9 cm,76.3 cm,12.8 kg,Dolby Digital,1200:1,300 cd/m²,9 ms,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,,,,,,
3,"Smart TV LG AI ThinQ 43UP7500PSF LCD 4K 43"" 100V/240V",UY,4.8,Televisores,U$S,759,469,38,1000,969,(969 disponibles),230,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-43up7500psf-lcd-4k-43-100v240v/p/MLU18241783?pdp_filters=category:MLU1002#searchVariation=MLU18241783&position=8&search_layout=grid&type=product&tr,22/03/2023 12:58:28,LG,AI ThinQ,43UP7500,43UP7500PSF,,100V/240V,Sí,,No,,LCD,"43 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,4,,webOS 6.0,Sí,973 mm x 85 mm x 572 mm,2,20 W,"Control remoto, Baterías, Cable de alimentación, Manual, Soporte para la mesa, Tornillos","Apple TV, Netflix, Disney+, YouTube, HBO Go, Spotify, Movistar Play, Zapping TV, Web browser, LG Content Store, LG Channels",2,1,Sí,No,8 kg,973 mm,187 mm,611 mm,8.1 kg,"Ultra Surround, AI Sound, Clear Voice, LG Sound Sync, Dolby Digital, Sound Mode Sync, AI Acoustic Tuning, Sound Share, Sound Alive, Dolby Digital Plus",,,,Sí,Sí,,,Sí,Sí,ThinQ AI,50 Hz x 60 Hz,Sí,Sí,120 Hz,,
4,"Smart TV LG AI ThinQ 50UP7500PSF LCD 4K 50"" 100V/240V",UY,4.6,Televisores,U$S,969,599,38,100,834,(834 disponibles),45,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-50up7500psf-lcd-4k-50-100v240v/p/MLU18546699?pdp_filters=category:MLU1002#searchVariation=MLU18546699&position=14&search_layout=grid&type=product&t,22/03/2023 12:58:50,LG,AI ThinQ,50UP7500,50UP7500PSF,,100V/240V,Sí,,,,LCD,"50 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,4,,webOS 6.0,Sí,1130 mm x 86.3 mm x 663 mm,2,20 W,"Cable de alimentación, Base, Manual, Baterías, Control remoto MR21","Disney+, Apple TV, Netflix, Web browser, HBO Go, YouTube, Spotify, Movistar Play, Zapping TV, LG Channels, Music Player, LG Content Store",2,1,Sí,No,11.3 kg,1130 mm,235 mm,719 mm,11.4 kg,"Ultra Surround, AI Sound, Clear Voice, OLED Surround, Sound Share, Sound Mode Sync, LG Sound Sync, Dolby Digital, Sound Alive, AI Sound Pro",,,,Sí,Sí,,,Sí,Sí,"ThinQ AI, Google Assistant, Alexa",50 Hz x 60 Hz,Sí,Sí,60 Hz,"Colombia, México",
5,"Smart TV LG AI ThinQ 43LM6370PSB LED Full HD 43"" 100V/240V",UY,4.8,Televisores,U$S,639,399,37,100,805,(805 disponibles),80,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-43lm6370psb-led-full-hd-43-100v240v/p/MLU18455206?pdp_filters=category:MLU1002#searchVariation=MLU18455206&position=16&search_layout=grid&type=prod,22/03/2023 12:58:57,LG,AI ThinQ,43LM6370,43LM6370PSB,,100V/240V,Sí,,,,LED,"43 """,Full HD,Sí,1920 px - 1080 px,,,16:9,Sí,Sí,Sí,4,,,,973 mm x 85 mm x 572 mm,2,20 W,"Control remoto, Manual, Cable de alimentación, Baterías, Base, Tornillos","Web browser, LG Content Store, LG Channels, YouTube, Netflix, Music Player",3,2,Sí,,8 kg,973 mm,216 mm,623 mm,8.1 kg,"Virtual Surround Plus, Dolby Audio, Virtual Surround, Clear Voice, DTS Decoder, LG Sound Sync",,,,Sí,Sí,Sí,Sí,Sí,Sí,ThinQ AI,50 Hz x 60 Hz,Sí,Sí,60 Hz,,
6,"Smart TV Samsung Series 4 UN32T4300AGXUG LED HD 32"" 100V/240V",UY,4.8,Televisores,U$S,399,257,35,500,581,(581 disponibles),116,https://www.mercadolibre.com.uy/smart-tv-samsung-series-4-un32t4300agxug-led-hd-32-100v240v/p/MLU17974125?pdp_filters=category:MLU1002#searchVariation=MLU17974125&position=17&search_layout=grid&type=p,22/03/2023 12:59:00,Samsung,Series 4,UN32T4300,UN32T4300AGXUG,,100V/240V,Sí,,No,,LED,"32 """,HD,Sí,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,737.4 mm x 74.1 mm x 438 mm,2,10 W,"Control remoto TM1240A, Baterías, Manual, Manual electrónico, Cable de alimentación","Gallery, Web browser, Netflix, Prime Video, Hulu, Apple TV, Disney+, Google Play Movies & TV, Vudu, YouTube, YouTube TV, ESPN",2,1,Sí,,4 kg,,,,,Dolby Digital Plus,,,,No,,,,,,,50 Hz x 60 Hz,Sí,Sí,,,
7,"Smart TV Philips 6800 Series 32PHD6825/77 LED HD 32"" 110V/240V",UY,None,Televisores,$,,8990,,100,9,(9 disponibles),,https://www.mercadolibre.com.uy/smart-tv-philips-6800-series-32phd682577-led-hd-32-110v240v/p/MLU18369376?pdp_filters=category:MLU1002#searchVariation=MLU18369376&position=18&search_layout=grid&type=p,22/03/2023 12:59:03,Philips,6800 Series,32PHD6825,32PHD6825/77,,110V/240V,Sí,No,No,No,LED,"32 """,HD,Sí,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Saphi,Sí,719.2 mm x 75.6 mm x 425.7 mm,2,10 W,"Control remoto, Baterías, Soporte para la mesa, Cable de alimentación, Guía de instalación","YouTube, Netflix, Prime Video, Web browser",3,2,Sí,,4 kg,719.2 mm,177.4 mm,486.2 mm,4.1 kg,Surround,,,,,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,
8,"Smart TV North Tech SMS Series NT-32SMS LED HD 32"" 100V/240V",UY,4.6,Televisores,U$S,169,152,10,1000,9,(9 disponibles),337,https://www.mercadolibre.com.uy/smart-tv-north-tech-sms-series-nt-32sms-led-hd-32-100v240v/p/MLU8679281?pdp_filters=category:MLU1002#searchVariation=MLU8679281&position=21&search_layout=grid&type=prod,22/03/2023 12:59:13,North Tech,SMS Series,NT-32SMS,,,100V/240V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,178°,178°,16:9,Sí,Sí,Sí,,4 GB,Android TV,,,2,16 W,"Control remoto, Baterías, Cable de alimentación",,3,2,,Sí,,,,,,,1200:1,,,,,,,,,,,,,,,
9,"Smart TV Samsung Crystal UHD UN65BU8000GXZD LED 4K 65"" 100V/240V",UY,4.6,Televisores,U$S,1499,1119,25,50,939,(939 disponibles),10,https://www.mercadolibre.com.uy/smart-tv-samsung-crystal-uhd-un65bu8000gxzd-led-4k-65-100v240v/p/MLU19725706?pdp_filters=category:MLU1002#searchVariation=MLU19725706&position=24&search_layout=grid&typ,22/03/2023 12:59:24,Samsung,Crystal UHD,UN65BU8000G,UN65BU8000GXZD,,100V/240V,Sí,,No,,LED,"65 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,1450.9 mm x 25.7 mm x 831.9 mm,2,20 W,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación","Samsung TV Plus, Netflix, Prime Video, GloboPlay, Disney+, Apple TV, YouTube, Web browser, Home Yoga, Music, SmartThings",3,2,Sí,,20.9 kg,1450.9 mm,281.8 mm,869.6 mm,21.3 kg,"Dolby Digital Plus, Adaptive Sound, Q-Symphony",,,,Sí,Sí,No,No,Sí,Sí,"Google Assistant, Alexa, Bixby",50 Hz x 60 Hz,Sí,Sí,60 Hz,,
