,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Voltaje,Es smart,Es 3D,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con Wi-Fi,Modelo,Color,Con USB,Con HDMI,Con HDR,Es curvo,Es portátil,Modelo alfanumérico,Cantidad de puertos USB,Con ethernet,Cantidad de núcleos del procesador,Sistema operativo,Cantidad de puertos HDMI,Con función screen share,Apps integradas,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Duración del producto,Con apagado automático
0,Smart Tv Cinema 3d De 42  ,VE,None,Televisores,U$S,,400,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-700155583-smart-tv-cinema-3d-de-42-_JM#position=1&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:14:48,LG,Cinema 3D,110,Sí,Sí,3D,"42 """,Full HD,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tv Philips 21  Usado Hc069743 100% Operativo Sin Control,VE,None,Televisores,U$S,,5,,1,1,None,,https://articulo.mercadolibre.com.ve/MLV-732104557-tv-philips-21-usado-hc069743-100-operativo-sin-control-_JM#position=4&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:14:59,Philips,,110,No,No,CRT,"21 """,,,HCO69743,Gris,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
2,Tv Marca Aoc. Lcd 32. Perfecto Estado 100% Funcional,VE,None,Televisores,U$S,,7,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-728419644-tv-marca-aoc-lcd-32-perfecto-estado-100-funcional-_JM#position=7&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:10,AOC,,,,,LCD,"32 """,,,lcd 32,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Monitor/tv Siragon De 24 Pulgadas Usado. Con Base Para Pared,VE,None,Televisores,U$S,,5,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-737287275-monitortv-siragon-de-24-pulgadas-usado-con-base-para-pared-_JM#position=10&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd,22/03/2023 13:15:20,,,110V/220V,No,No,LCD,"24 """,HD,,,Gris,,Sí,,No,Sí,,,,,,,,,,,,,,,,,,,,,,,,
4,Tv Plasma Samsung 43 Pn430ea1f,VE,None,Televisores,U$S,,110,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-735588551-tv-plasma-samsung-43-pn430ea1f-_JM#position=11&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:24,Samsung,Samsung,110V,No,No,Plasma,"43 """,,,Samsung,,Sí,Sí,,No,,Samsung,,,,,,,,,,,,,,,,,,,,,,,
5,Televisor Samsung 37 Pulgadas,VE,None,Televisores,U$S,,75,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-726706314-televisor-samsung-37-pulgadas-_JM#position=13&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:31,Samsung,Samsung,120,No,No,,"37 """,HD,,LN32B360C5DXZA,Negro,,Sí,,No,,Samsung,,,,,,,,,,,,,,,,,,,,,,,
6,Tv Samsung 32 Pulgadas,VE,None,Televisores,U$S,,6,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-733991716-tv-samsung-32-pulgadas-_JM#position=14&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:34,Samsung,32,110,No,No,LCD,"32 """,,,Samsung,Negro,Sí,Sí,Sí,No,No,Samsung,,,,,,,,,,,,,,,,,,,,,,,
7,Tarjeta Inverter Lcd 40  Soneview Lcd-4000,VE,None,Televisores,U$S,,30,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-729455678-tarjeta-inverter-lcd-40-soneview-lcd-4000-_JM#position=18&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:47,Soneview,,,,,LCD,"40 """,,,LCD-4000,,,,,,,LCD-4000,,,,,,,,,,,,,,,,,,,,,,,
8,Tv Siragon Modelo 7443,VE,None,Televisores,U$S,,80,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-735105345-tv-siragon-modelo-7443-_JM#position=20&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:15:52,Síragon,,110-240,Sí,,LED,"39 """,Full HD,,7443,Negro,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Flex Yagi Awm E309746 Lcd 32p,VE,None,Televisores,U$S,,12,,,1,None,,https://articulo.mercadolibre.com.ve/MLV-719010204-flex-yagi-awm-e309746-lcd-32p-_JM#position=23&search_layout=grid&type=item&tracking_id=500aed2d-53be-47db-9f1b-e4fa17ccd9ae,22/03/2023 13:16:01,,,,,,LCD,"32 """,,,e309746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
