,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada de antena RF,Accesorios incluidos,Frecuencia,Con apagado automático,Con cables ocultos,Con función screen share,Con entrada S/PDIF,Modos de sonido,Capacidad de almacenamiento,Ancho x Altura,Con entrada por video componentes,Con entrada por video compuesto,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Es inflamable,Es kit,Ancho,Países con control mágico incluido,Organismo de certificación (OCP),Con impacto positivo,Ancho x Profundidad
0,Smart Tv Noblex Dk32x7000pi Led Hd 32 Android Tv,AR,4.7,Televisores,pesos,52501,48999,6,5,48999,(12 disponibles),618,https://www.mercadolibre.com.ar/smart-tv-noblex-dk32x7000pi-led-hd-32-android-tv/p/MLA19820351?pdp_filters=category:MLA1002#searchVariation=MLA19820351&position=2&search_layout=stack&type=product&trac,05/04/2023 02:56:55,Noblex,DK,DK32X7000PI,91DK32X7000PI,Negro,220V,Sí,No,No,No,Android,Sí,71.7 cm x 8.6 cm x 42.7 cm,3.7 kg,71.7 cm,16 cm,46.9 cm,5.5 kg,2,12 W,Sí,Google Assistant,"Netflix, YouTube",LED,"32 """,HD,No,1366 px - 768 px,16:9,3000:1,180 cd/m²,6.5 ms,60 Hz,Sí,Sí,2,2,Sí,Sí,Sí,No,Sí,Control remoto,,,,,,,,,,,,,,,,,,,,
1,Smart Tv Noblex Dk43x7100pi Led 43'' Full Hd Con Android Tv,AR,4.7,Televisores,pesos,109999,90999,17,1000,90999,(636 disponibles),155,https://www.mercadolibre.com.ar/smart-tv-noblex-dk43x7100pi-led-43-full-hd-con-android-tv/p/MLA19712050?pdp_filters=category:MLA1002#searchVariation=MLA19712050&position=3&search_layout=stack&type=pro,05/04/2023 02:57:07,Noblex,DK,DK43X7100PI,91DK43X7100PI,Negro,220V,Sí,No,No,No,Android,Sí,95.5 cm x 8.3 cm x 55.8 cm,6.5 kg,95.5 cm,18.2 cm,60.6 cm,,2,14 W,Sí,Google Assistant,YouTube,LED,"43 """,Full HD,No,1920 px - 1080 px,16:9,3000:1,250 cd/m²,8 ms,60 Hz,Sí,Sí,2,2,Sí,No,Sí,No,Sí,,,,,,,,,,,,,,,,,,,,,
2,"Smart TV Samsung Series 7 UN55AU7000GCZB LED Tizen 4K 55"" 220V - 240V",AR,4.8,Televisores,pesos,194999,152099,22,5,152099,(6 disponibles),480,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un55au7000gczb-led-tizen-4k-55-220v-240v/p/MLA18718085?pdp_filters=category:MLA1002#searchVariation=MLA18718085&position=4&search_layout=stack,05/04/2023 02:58:18,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,2,20 W,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube TV",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Manual, Cable de alimentación, Manual electrónico, Adaptador AV, Control remoto TM2140A",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Dolby Digital Plus, Q-Symphony, Adaptive Sound",,,,,,,,,,,,,,
3,"Smart TV Philips 6900 Series 43PFD6917/77 LED Android 10 Full HD 43"" 110V/240V",AR,4.6,Televisores,pesos,,95999,23,5,95999,(603 disponibles),738,https://www.mercadolibre.com.ar/smart-tv-philips-6900-series-43pfd691777-led-android-10-full-hd-43-110v240v/p/MLA19465098?pdp_filters=category:MLA1002#searchVariation=MLA19465098&position=5&search_lay,05/04/2023 02:58:30,Philips,6900 Series,43PFD6917,43PFD6917/77,,110V/240V,Sí,,No,,Android 10,Sí,958 mm x 82 mm x 568 mm,7.2 kg,958 mm,227 mm,587 mm,7.13 kg,2,16 W,Sí,Google Assistant,"YouTube, Prime Video, Disney+, Google Play Movies & TV, Google Play Music, Netflix, Google Play Store",LED,"43 """,Full HD,Sí,1920 px - 1080 px,16:9,,,,,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Baterías, Cable de alimentación, Soporte para la mesa, Control remoto, Guía de instalación",50 Hz x 60 Hz,Sí,,,Sí,"Dolby Atmos, Surround",8 GB,,,,,,,,,,,,,
4,Smart Tv Noblex Db39x7000pi 39'' Led Hd Android Tv,AR,4.1,Televisores,pesos,89999,62799,30,100,62799,(164 disponibles),8,https://articulo.mercadolibre.com.ar/MLA-1297496855-smart-tv-noblex-db39x7000pi-39-led-hd-android-tv-_JM#position=40&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 02:58:41,Noblex,Series X7,DB39X7000,91DB39X7000PI,Negro,220V,Sí,No,No,No,Android 11,,88.7 cm x 8.1 cm x 51.3 cm,5.6 kg,887 mm,180 cm,930 mm,,2,,,,,LED,"39 """,HD,No,1366 px - 768 px,16:9,3000:1,200 cd/m²,8.5 ms,60 Hz,Sí,Sí,3,2,Sí,No,Sí,No,,,,,,,,,,,,,,,,,,,,,,
5,Smart Tv 4k Led 50 Pulgadas Telefunken F5022uk6 Uhd Hdmi,AR,4.6,Televisores,pesos,97999,91009,7,100,91009,(64 disponibles),8,https://articulo.mercadolibre.com.ar/MLA-1336881016-smart-tv-4k-led-50-pulgadas-telefunken-f5022uk6-uhd-hdmi-_JM#position=41&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f,05/04/2023 02:58:52,Telefunken,TK5022UK6,TK5022UK6,TK5022UK6,Negro,220V,Sí,No,No,No,,,,,,,,,,,,,,LED,"50 """,4K,No,3840x2160,16:9,5000:1,300 cd/m²,9.5 ms,,Sí,Sí,,,Sí,,,,,,50/60,,,,,,,112.4 cm x 71.1 cm,,,,,,,,,,,,
6,"Smart TV Motorola 91MT32E3A LED Android TV HD 32"" 220V",AR,4.6,Televisores,pesos,,57999,6,1000,57999,None,120,https://www.mercadolibre.com.ar/smart-tv-motorola-91mt32e3a-led-android-tv-hd-32-220v/p/MLA21096755?pdp_filters=category:MLA1002#searchVariation=MLA21096755&position=6&search_layout=stack&type=product,05/04/2023 02:59:04,Motorola,,91MT32E3A,,,220V,Sí,,No,,Android TV,,,,,,,,,,,,Google Play Store,LED,"32 """,HD,Sí,1366 px - 768 px,16:9,,,,,Sí,Sí,2,2,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,
7,Smart Tv Quint 43 Qt1-43frame Led 1080p Fhd Wifi Linux,AR,4.6,Televisores,pesos,74999,59399,20,100,59399,(13 disponibles),7,https://articulo.mercadolibre.com.ar/MLA-1365500276-smart-tv-quint-43-qt1-43frame-led-1080p-fhd-wifi-linux-_JM#position=42&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f42,05/04/2023 02:59:17,Quint,Frameless,QT1-43FRAMELESS,QT1-43FRAMELESS,Negro,,Sí,No,No,No,Linux,,,,,,,,,,,,,LED,"43 """,Full HD,No,,,5000:1,240 cd/m²,8 ms,,Sí,Sí,,,Sí,,,,,,,,,,Sí,,,,,,,,,,,,,,,
8,"Smart TV TCL L55C635 QLED 4K 55"" 220V",AR,4.7,Televisores,pesos,199999,172999,13,100,172999,(24 disponibles),19,https://www.mercadolibre.com.ar/smart-tv-tcl-l55c635-qled-4k-55-220v/p/MLA21076856?pdp_filters=category:MLA1002#searchVariation=MLA21076856&position=7&search_layout=stack&type=product&tracking_id=fc07,05/04/2023 02:59:29,TCL,,L55C635,,,220V,Sí,,No,,,,,,,,,,,,,,,QLED,"55 """,4K,,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,,Sí,,Sí,,,Control remoto,,,,,,,,,,,,,,,,,,,,
9,Smart Tv 55  Samsung Series 7 Un55au7000gczb Led 4k ,AR,None,Televisores,pesos,189999,151999,20,5,151999,(55 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1139432648-smart-tv-55-samsung-series-7-un55au7000gczb-led-4k-_JM#position=43&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 02:59:40,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,2,20 W,,,"Apple TV,Gallery,Netflix,Prime Video,Web browser,YouTube TV",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Adaptador AV,Cable de alimentación,Control remoto TM2140A,Manual,Manual electrónico",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Adaptive Sound,Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,
