,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Relación de contraste,Tiempo de respuesta,Con USB,Con HDMI,Con Wi-Fi,Con Bluetooth,Voltaje,Frecuencia,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Accesorios incluidos,Con función screen share,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con entrada S/PDIF,Con entrada de antena RF,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Brillo,Frecuencia de actualización de la pantalla,Con entrada por video componentes,Con entrada por video compuesto,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Capacidad de almacenamiento,Es inflamable,Es kit,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Países con control mágico incluido,Organismo de certificación (OCP),Número de certificado de seguridad eléctrica,Duración del producto,Profundidad,Ancho x Profundidad,Ancho x Altura,Con impacto positivo,Ancho
0,"Smart TV Philips 6900 Series 43PFD6917/77 LED Full HD 43"" 110V/240V",BR,4.6,Televisores,$,96999,72499,25,5,427,(427 disponibles),685,https://www.mercadolibre.com.ar/smart-tv-philips-6900-series-43pfd691777-led-full-hd-43-110v240v/p/MLA19465098?pdp_filters=category:MLA1002#searchVariation=MLA19465098&position=1&search_layout=stack&t,16/03/2023 05:19:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Smart Tv Enova 50 Pulgadas 4k Uhd Android Tv Frameless,BR,None,Televisores,$,200000,87399,56,50,45,(45 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1294716107-smart-tv-enova-50-pulgadas-4k-uhd-android-tv-frameless-_JM#position=36&search_layout=stack&type=item&tracking_id=b7fc89ce-eea9-4889-924e-15056b6e576,16/03/2023 05:19:29,Enova,Smart TV,TE50UA10-TDFA,ATH-TE50UA10-TDFA,ne,Sí,No,No,No,Android TV,DLED,"50 """,4K,Sí,5000:1,8 ms,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Smart TV Samsung Series 7 UN55AU7000GCZB LED 4K 55"" 220V - 240V",BR,4.7,Televisores,$,184999,159999,13,5,133,(133 disponibles),424,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un55au7000gczb-led-4k-55-220v-240v/p/MLA18718085?pdp_filters=category:MLA1002#searchVariation=MLA18718085&position=2&search_layout=stack&type=,16/03/2023 05:19:35,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,Sí,,,,Tizen,LED,"55 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,Sí,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,"Manual, Cable de alimentación, Manual electrónico, Adaptador AV, Control remoto TM2140A",Sí,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube TV",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony, Adaptive Sound",,,,,,,,,,,,,,,,,,,,,,
3,"Smart TV Samsung Series 7 UN50AU7000GCZB LED 4K 50"" 220V - 240V",BR,None,Televisores,$,154999,124999,19,10,530,(530 disponibles),,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un50au7000gczb-led-4k-50-220v-240v/p/MLA18556467?pdp_filters=category:MLA1002#searchVariation=MLA18556467&position=3&search_layout=stack&type=,16/03/2023 05:19:43,Samsung,Series 7,UN50AU7000G,UN50AU7000GCZB,,Sí,,,,Tizen,LED,"50 """,4K,Sí,,,Sí,Sí,Sí,Sí,220V - 240V,50 Hz x 60 Hz,Sí,Sí,Sí,1116.8 mm x 59.9 mm x 644.2 mm,11.4 kg,1116.8 mm,250.2 mm,719.1 mm,11.6 kg,"Smart control TM2140A, Baterías, Manual, Cable de alimentación, Adaptador AV, Manual electrónico",Sí,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony",,,,,,,,,,,,,,,,,,,,,,
4,Smart Tv Noblex 39 Pulgadas Db39x7000 Hd Android Tv,BR,4.5,Televisores,$,65999,56999,13,1000,33,(33 disponibles),94,https://www.mercadolibre.com.ar/smart-tv-noblex-39-pulgadas-db39x7000-hd-android-tv/p/MLA21027041?pdp_filters=category:MLA1002#searchVariation=MLA21027041&position=4&search_layout=stack&type=product&t,16/03/2023 05:19:50,Noblex,Series X7,DB39X7000,,Negro,Sí,No,No,No,,LED,"39 """,HD,No,3000:1,8.5 ms,Sí,Sí,Sí,No,220V,,,,,,,887 mm,180 cm,930 mm,,,,,1366 px - 768 px,16:9,3,2,Sí,,,,,,200 cd/m²,60 Hz,,,,,,,,,,,,,,,,,,,,
5,Smart Tv Bgh Led Uhd 4k Android Pne040263 220v,BR,4.7,Televisores,$,120999,96999,19,1000,42,(42 disponibles),253,https://www.mercadolibre.com.ar/smart-tv-bgh-led-uhd-4k-android-pne040263-220v/p/MLA19453721?pdp_filters=category:MLA1002#searchVariation=MLA19453721&position=5&search_layout=stack&type=product&tracki,16/03/2023 05:19:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Smart TV Samsung Series 7 UN43AU7000GCZB LED 4K 43"" 220V - 240V",BR,None,Televisores,$,135999,109999,19,1000,296,(296 disponibles),,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un43au7000gczb-led-4k-43-220v-240v/p/MLA18556468?pdp_filters=category:MLA1002#searchVariation=MLA18556468&position=6&search_layout=stack&type=,16/03/2023 05:20:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Smart TV Samsung Crystal UHD UN65BU8000GXZD LED 4K 65"" 100V/240V",BR,4.7,Televisores,$,299999,287999,25,100,52,(52 disponibles),7,https://www.mercadolibre.com.ar/smart-tv-samsung-crystal-uhd-un65bu8000gxzd-led-4k-65-100v240v/p/MLA19725706?pdp_filters=category:MLA1002#searchVariation=MLA19725706&position=7&search_layout=stack&typ,16/03/2023 05:20:10,Samsung,Crystal UHD,UN65BU8000G,UN65BU8000GXZD,,Sí,,No,,Tizen,LED,"65 """,4K,Sí,,,Sí,Sí,Sí,Sí,100V/240V,50 Hz x 60 Hz,Sí,,Sí,1450.9 mm x 25.7 mm x 831.9 mm,20.9 kg,1450.9 mm,281.8 mm,869.6 mm,21.3 kg,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación",Sí,"Samsung TV Plus, Netflix, Prime Video, GloboPlay, Disney+, Apple TV, YouTube, Web browser, Home Yoga, Music, SmartThings",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Adaptive Sound, Q-Symphony",,60 Hz,No,No,Sí,"Google Assistant, Alexa, Bixby",,,,,,,,,,,,,,,,
8,"Smart TV Kodak WE-32MT005 LED HD 32"" 220V",BR,None,Televisores,$,,64789,,500,350,(350 disponibles),,https://www.mercadolibre.com.ar/smart-tv-kodak-we-32mt005-led-hd-32-220v/p/MLA20952024?pdp_filters=category:MLA1002#searchVariation=MLA20952024&position=8&search_layout=stack&type=product&tracking_id=,16/03/2023 05:20:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Smart Tv Tcl L40s66e 40  Full Hd Android Tv,BR,None,Televisores,$,76319,68999,9,5,435,(435 disponibles),,https://www.mercadolibre.com.ar/smart-tv-tcl-l40s66e-40-full-hd-android-tv/p/MLA19476156?pdp_filters=category:MLA1002#searchVariation=MLA19476156&position=9&search_layout=stack&type=product&tracking_i,16/03/2023 05:20:23,TCL,,L40S66E,L40S66EF,,Sí,No,No,No,,LED,"40 """,Full HD,Sí,,,Sí,Sí,Sí,,,,,,,,,,,,,,,"Netflix, YouTube, Spotify, Google Play Store",1920 px - 1078 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
