,channel,program name,program time,program genre,program synopsis,program link,date,scraped link,scrape date
0,Programação + Globosat Terça  2 de agosto,Mundo Visto de Cima,06:00,Temporada 1 Episódio 2 - Estados Unidos,Viajamos do norte do Rio Hudson até o coração da cidade de Nova York. O percurso inclui atrações como a lendária Academia Militar de West Point e a cidade cenário da história do Cavaleiro Sem Cabeça.,/br/programas/mundo-visto-de-cima-s01e02-rio-hudson-nova-york,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
1,Programação + Globosat Terça  2 de agosto,,,,,,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
2,Programação + Globosat Terça  2 de agosto,Mundo Visto de Cima,06:30,Temporada 1 Episódio 3 - Dinamarca,"Uma viagem pela Dinamarca, país com mais de 480 ilhas e cercado de beleza natural. O percurso inclui visitas a portos e castelos históricos, além da capital Copenhague.",/br/programas/mundo-visto-de-cima-s01e03-dinamarca,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
3,Programação + Globosat Terça  2 de agosto,Hotéis Incríveis,07:00,"Temporada 7 Episódio 18 - Canto das Águas, Pousada Tutabel e Pousada Trijunção","Começamos esse episódio na Bahia, Lençóis, com o espetacular Canto das Águas, em Trancoso conhecemos a Pousada Tutabel e por fim, situado em três estados, chegamos a Pousada Trijunção.",/br/programas/hoteis-incriveis-s07e18-canto-das-aguas-pousada-tutabel-e-pousada-trijunc-o,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
4,Programação + Globosat Terça  2 de agosto,Ruas Mundo Afora,07:30,Temporada 1 Episódio 36 - Londres,"Rodrigo Ruas cruza o mundo em busca de experiências únicas e mostra qual o melhor jeito de ir, o que levar, onde comer e a melhor época do ano para cada destino.",/br/programas/ruas-mundo-afora-s01e36-londres,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
5,Programação + Globosat Terça  2 de agosto,Brasil Visto de Cima,08:00,Temporada 3 Episódio 9 - Chapada dos Veadeiros,Quem percorre o norte de Goiás vê surgir no horizonte as monumentais muralhas de quartzito pacientemente moldadas pela natureza: a Chapada dos Veadeiros. Conheça também os rios que são uma atração à parte.,/br/programas/brasil-visto-de-cima-s03e09-chapada-dos-veadeiros,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
6,Programação + Globosat Terça  2 de agosto,Lavando a Alma,08:30,Temporada 1 Episódio 3 - Pirenópolis,"Em Pirenópolis, Antonia visita a cachoeira do Rosário e sua enorme queda d'água, conhece uma fazenda colonial e a fabricação de queijos e vinhos da região.",/br/programas/lavando-a-alma-s01e03-pirenopolis,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
7,Programação + Globosat Terça  2 de agosto,Expedições,09:00,Documentary,"Com documentários realizados em diversas regiões do país, a série é o resultado de um trabalho de mais de 30 anos de documentação do Brasil e suas populações, realizado pela jornalista Paula Saldanha e pelo biólogo Roberto Werneck.",/br/programas/expedic-es,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
8,Programação + Globosat Terça  2 de agosto,Expedições,09:30,Documentary,"Com documentários realizados em diversas regiões do país, a série é o resultado de um trabalho de mais de 30 anos de documentação do Brasil e suas populações, realizado pela jornalista Paula Saldanha e pelo biólogo Roberto Werneck.",/br/programas/expedic-es,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
9,Programação + Globosat Terça  2 de agosto,Destino ao Alvo,10:00,Temporada 2 Episódio 3 - Equador,"Sorin vai a Guayaquil, onde encontra uma lenda do tênis local e visita o clube de futebol com maior número de torcedores per capita. A equipe segue para Baños, onde Sorin come porquinhos-da-índia e sai da sua zona de conforto com atividades radicais.",/br/programas/destino-ao-alvo-s02e03-equador,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
10,Programação + Globosat Terça  2 de agosto,Destino ao Alvo,10:30,Temporada 2 Episódio 4 - Floresta Amazônica,"A equipe mergulha fundo na selva amazônica, onde encontra uma das tribos indígenas mais isoladas da região. Sorin passa o dia com eles, participa de uma cerimônia de casamento e descobre como eles sobrevivem no dia a dia.",/br/programas/destino-ao-alvo-s02e04-floresta-amazonica,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
11,Programação + Globosat Terça  2 de agosto,Os Bastidores dos Melhores Hotéis do Mundo,11:00,Temporada 2 Episódio 3 - Grand Resort Bad Ragaz - Suíça,"Monica e Giles seguem para o sopé dos Alpes suíços para visitar o Grand Resort Bad Ragaz, que abriga vários restaurantes, spas, campos de golfe e instalações esportivas de padrão olímpico.",/br/programas/os-bastidores-dos-melhores-hoteis-do-mundo-s02e03-grand-resort-bad-ragaz-suica,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
12,Programação + Globosat Terça  2 de agosto,Ruas Mundo Afora,12:00,Temporada 1 Episódio 36 - Londres,"Rodrigo Ruas cruza o mundo em busca de experiências únicas e mostra qual o melhor jeito de ir, o que levar, onde comer e a melhor época do ano para cada destino.",/br/programas/ruas-mundo-afora-s01e36-londres,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
13,Programação + Globosat Terça  2 de agosto,Hotéis Incríveis,12:30,"Temporada 7 Episódio 18 - Canto das Águas, Pousada Tutabel e Pousada Trijunção","Começamos esse episódio na Bahia, Lençóis, com o espetacular Canto das Águas, em Trancoso conhecemos a Pousada Tutabel e por fim, situado em três estados, chegamos a Pousada Trijunção.",/br/programas/hoteis-incriveis-s07e18-canto-das-aguas-pousada-tutabel-e-pousada-trijunc-o,Terça  2 de agosto,https://mi.tv/br/canais/globosat/2022-08-02,03/09/2022 08:14:12
