,item_channel,program_date,item_name,item_info,program_start_time,program_duration,program_rebroadcast,link
0,Canal + Multisports,Programmes  4 janvier    ,"Vos programmes Foot, Golf et Rugby",Multisports sur Canal + Multisports,Aujourd'hui • 11h00, 5h,EN DIRECT,https://tv-sports.fr/tennis-united-cup-2023-tv-x884216
1,beIN SPORTS 3,Programmes  4 janvier    ,Tennis United Cup 2023,Tennis • United Cup 2023 sur beIN SPORTS 3,,,,https://tv-sports.fr/denver-nuggets-boston-celtics-basket-ball-nba-2022-2023-tv-x884214
2,beIN SPORTS MAX 6,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 6,,,,https://tv-sports.fr/baltimore-ravens-pittsburgh-steelers-football-americain-nfl-2022-2023-tv-x884215
3,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,,,,https://tv-sports.fr/france-croatie-tennis-united-cup-2023-tv-x885185
4,L'Equipe,Programmes  4 janvier    ,Poursuite messieurs et dames et Mass Star messieurs et dames,Biathlon • IBU Cup à Val Ridanna 2022/2023 sur L'Equipe,Jeudi 05/01 • 01h30, 2h,EN DIRECT,https://tv-sports.fr/tennis-tournoi-wta-d-adelaide-1-2023-tv-x884333
5,Eurosport 1,Programmes  4 janvier    ,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 1,Aujourd'hui • 20h25, 2h30min,EN DIRECT,https://tv-sports.fr/le-grand-direct-tv-x610270
6,Liverpool,Programmes  4 janvier    ,Brentford / Liverpool,Foot • Premier League sur Canal+ Foot,Aujourd'hui • 18h00, 45min,Rediffusion,https://tv-sports.fr/nba-extra-tv-x868180
7,Montpellier,Programmes  4 janvier    ,Bordeaux-Bègles / Montpellier,Rugby • TOP 14 sur Canal+ Sport,,,,https://tv-sports.fr/strasbourg-troyes-ligue-1-foot-tv-x921
8,Brighton & Hove Albion,Programmes  4 janvier    ,Everton / Brighton & Hove Albion,Foot • Premier League sur Canal + Premier League,,,,https://tv-sports.fr/lille-reims-ligue-1-foot-tv-x922
9,Equidia,Programmes  4 janvier    ,Le live du Quinté+,Hippisme sur Equidia,Aujourd'hui • 17h45, 1h,EN DIRECT,https://tv-sports.fr/l-equipe-de-greg-tv-x856172
10,Liam Davies,Programmes  4 janvier    ,Ionut Baluta / Liam Davies,Boxe • Championnat du monde sur RMC Sport 1,Aujourd'hui • 17h15, 1h08min,EN DIRECT,https://tv-sports.fr/l-equipe-de-greg-tv-x856171
11,Canal + Top 14,Programmes  4 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,Dimanche 08/01 • 15h35,,Rediffusion,https://tv-sports.fr/brentford-liverpool-football-premier-league-2022-2023-tv-x884424
12,Canal+ Sport 360,Programmes  4 janvier    ,Padel Master : Best of WPT et Premier Padel,Multisports sur Canal+ Sport 360,,,,https://tv-sports.fr/montpellier-marseille-ligue-1-foot-tv-x923
13,RMC Découverte,Programmes  4 janvier    ,Pêche XXL,Pêche • Chasing Monsters sur RMC Découverte,,,,https://tv-sports.fr/usc-tulane-football-americain-championnat-ncaa-2022-tv-x884432
