channel,start_time,end_time,day,program,description,subgenre,genre,live,date_scraped
SPORT1+,05:10,06:05,Di. 20.6.,Motorsport – Australia Supercars Championship,,Motorsport,Sport,,20/06/2023 23:01:31
SPORT1+,06:05,06:25,Di. 20.6.,Baseball – MLB Regular Season,,Baseball,Sport,,20/06/2023 23:01:31
SPORT1+,06:25,08:35,Di. 20.6.,Australian Football: AFL,14. Round: Port Adelaide Power – Geelong Cats,Football,Sport,,20/06/2023 23:01:31
SPORT1+,08:40,10:50,Di. 20.6.,Australian Football: AFL,14. Round: GWS Giants – Fremantle Dockers,Football,Sport,,20/06/2023 23:01:31
SPORT1+,10:55,13:10,Di. 20.6.,Australian Football: AFL,14. Round: Carlton Blues – Gold Coast Suns,Football,Sport,,20/06/2023 23:01:31
SPORT1+,13:10,15:05,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:31
SPORT1+,15:05,16:55,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:31
SPORT1+,16:55,18:30,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:31
SPORT1+,18:35,19:30,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:31
SPORT1+,19:35,19:50,Di. 20.6.,Motorsport – NASCAR Cup Series,,"Motorsport, USA",Sport,,20/06/2023 23:01:31
SPORT1+,19:50,20:10,Di. 20.6.,Baseball – MLB Regular Season,,Baseball,Sport,,20/06/2023 23:01:31
SPORT1+,05:10,06:05,Di. 20.6.,Motorsport – Australia Supercars Championship,,Motorsport,Sport,,20/06/2023 23:01:34
SPORT1+,06:05,06:25,Di. 20.6.,Baseball – MLB Regular Season,,Baseball,Sport,,20/06/2023 23:01:34
SPORT1+,06:25,08:35,Di. 20.6.,Australian Football: AFL,14. Round: Port Adelaide Power – Geelong Cats,Football,Sport,,20/06/2023 23:01:34
SPORT1+,08:40,10:50,Di. 20.6.,Australian Football: AFL,14. Round: GWS Giants – Fremantle Dockers,Football,Sport,,20/06/2023 23:01:34
SPORT1+,10:55,13:10,Di. 20.6.,Australian Football: AFL,14. Round: Carlton Blues – Gold Coast Suns,Football,Sport,,20/06/2023 23:01:34
SPORT1+,13:10,15:05,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:34
SPORT1+,15:05,16:55,Di. 20.6.,Rugby – NRL Telstra Premiership,,"Rugby, AUS",Sport,,20/06/2023 23:01:34
